voie;name;name_norm;last_word_norm;ways
CAMIN;Camin Vielh;VIELH;PRADES;153549355
;Camì de Roqueverr;CAMÌ DE ROQUEVERR;ROQUEVERR;124794845
;Camì de la Foun de Bille;CAMÌ DE LA FOUN DE BILLE;BILLE;124794846
;Camì de la Foun de Taillol;CAMÌ DE LA FOUN DE TAILLOL;TAILLOL;124794847,187642665
;Camì del Roc Blanc;CAMÌ DEL ROC BLANC;BLANC;35459376
;Carrer Fosc;CARRER FOSC;FOSC;42859524
;Carrer Nou;CARRER NOU;NOU;124803937,124803938
;Carrer de l'Orga;CARRER DE L ORGA;ORGA;124794848,498320465
;Carrer de la Gleyse;CARRER DE LA GLEYSE;GLEYSE;124794850,124794851
;Carrer del Farradja;CARRER DEL FARRADJA;FARRADJA;124794852
;La Place;LA PLACE;PLACE;124794853
;Le Corredor;LE CORREDOR;CORREDOR;498320460
;Le Sarat;LE SARAT;SARAT;124794854
ROUTE;Route de Prades;DE PRADES;PRADES;124803941
