voie;name;name_norm;last_word_norm;ways
ALLEE;Allée du Bac;DU BAC;BAC;444119581
;Carrer del Pati;CARRER DEL PATI;PATI;84958801
CHEMIN;Chemin de la Caussine;DE LA CAUSSINE;CAUSSINE;88003493
CHEMIN;Chemin de la Rouquette;DE LA ROUQUETTE;ROUQUETTE;444119540,444119541,444119550
IMPASSE;Impasse des Jardins;DES JARDINS;JARDINS;444119545
PONT;Pont de la Forge;DE LA FORGE;FORGE;41425310
PONT;Pont de la Polideta;DE LA POLIDETA;POLIDETA;84958783
PONT;Pont des Molines;DES MOLINES;MOLINES;115402259
RUE;Rue de l'École;DE L ECOLE;ECOLE;444119544
RUE;Rue de l'Église;DE L EGLISE;EGLISE;109308905
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;444119573
RUE;Rue des Frênes;DES FRENES;FRENES;444119543,444119561,444119563
RUE;Rue des Sources;DES SOURCES;SOURCES;33286531
RUE;Rue des Trois Fontaines;DES TROIS FONTAINES;FONTAINES;33286540
RUE;Rue des Écureuils;DES ECUREUILS;ECUREUILS;33286536
RUE;Rue du Bac;DU BAC;BAC;109308895
