voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Mimosas;DES MIMOSAS;MIMOSAS;22833492
ANCIEN CHEMIN;Ancien Chemin des Mines;DES MINES;MINES;555257132
AVENUE;Avenue d'En Cassa;D EN CASSA;CASSA;22833478,22833490
;Carrer d'Avall;CARRER D AVALL;AVALL;5183095
CHEMIN;Chemin de Ambullas;DE AMBULLAS;AMBULLAS;19799807
CHEMIN;Chemin de Canoha;DE CANOHA;CANOHA;5183079,44962135,44962136,44962141,44962143,538545917
CHEMIN;Chemin de la Tuilerie;DE LA TUILERIE;TUILERIE;19799632,19799891
CHEMIN;Chemin du Castell;DU CASTELL;CASTELL;324729833
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;22879853
;Coste de Sirach;COSTE DE SIRACH;SIRACH;119132410
IMPASSE;Impasse San Vicens;SAN VICENS;VICENS;186345572
IMPASSE;Impasse d'Aragon;D ARAGON;ARAGON;19799573
IMPASSE;Impasse de la Llevantina;DE LA LLEVANTINA;LLEVANTINA;219678280
IMPASSE;Impasse des Aloès;DES ALOES;ALOES;324729836
IMPASSE;Impasse des Ambouillas;DES AMBOUILLAS;AMBOUILLAS;19799528
IMPASSE;Impasse des Cerisiers;DES CERISIERS;CERISIERS;19799745
IMPASSE;Impasse des Figuiers;DES FIGUIERS;FIGUIERS;37999302
IMPASSE;Impasse des Jardins;DES JARDINS;JARDINS;19799815
IMPASSE;Impasse des Péchers;DES PECHERS;PECHERS;19799692,19799703
IMPASSE;Impasse des Trémies;DES TREMIES;TREMIES;19799535
IMPASSE;Impasse du Soulampy;DU SOULAMPY;SOULAMPY;448115529
LOTISSEMENT;Lotissement Les Aloes;LES ALOES;ALOES;22833465,22833474
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;303998991
ROUTE;Route Nationale;NATIONALE;NATIONALE;15808072,15808073,19799553,19799831,19799900,35274615,85175896,85175900,203243809,303650168,303650169,303650171,303650649,303650650,303650651,303650652,303650653,303650654,303650656
ROUTE;Route d'En Cassa;D EN CASSA;CASSA;5558991,8653121,8653122,400550243
ROUTE;Route de Conat;DE CONAT;CONAT;5183097,90778647
ROUTE;Route de Mont-Louis à Perpignan;DE MONT LOUIS A PERPIGNAN;PERPIGNAN;15808074,19799541,19799606,19799639,19799726,19799750,35220944,35220945,35274749,248050192,248050193,248050194,248050195,248050196,248050197,303650648,303650655,303651354,303651355,303651356,303651357
ROUTE;Route de Sirach;DE SIRACH;SIRACH;19799786
RUE;Rue Bellevue;BELLEVUE;BELLEVUE;19799687,22876882
RUE;Rue Cami Dels Cruells;CAMI DELS CRUELLS;CRUELLS;206640223
RUE;Rue Guiffred d'Aria;GUIFFRED D ARIA;ARIA;22868231
RUE;Rue Joseph Marc;JOSEPH MARC;MARC;498312982
RUE;Rue Saint-Clément;SAINT CLEMENT;CLEMENT;19799824
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;19799758
RUE;Rue Sant Vicens;SANT VICENS;VICENS;5183030,8584717
RUE;Rue Sant Vincens;SANT VINCENS;VINCENS;303650657
RUE;Rue Traversière;TRAVERSIERE;TRAVERSIERE;19799886
RUE;Rue d'Aragon;D ARAGON;ARAGON;19799556
RUE;Rue de Bohère;DE BOHERE;BOHERE;19799768
RUE;Rue de Marbrerie;DE MARBRERIE;MARBRERIE;22879878
RUE;Rue de l'Alzina;DE L ALZINA;ALZINA;22833487
RUE;Rue de la Coste;DE LA COSTE;COSTE;19799543
RUE;Rue de la Grotte;DE LA GROTTE;GROTTE;5364148,19799638,19799861,25383013,27518477
RUE;Rue de la Lliça;DE LA LLICA;LLICA;22868247,22879738
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;22868137
RUE;Rue de la Riberette;DE LA RIBERETTE;RIBERETTE;37867182,37867183
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;22833445,186345556
RUE;Rue de la Tour;DE LA TOUR;TOUR;22833457
RUE;Rue des Abricotiers;DES ABRICOTIERS;ABRICOTIERS;19799711
RUE;Rue des Micocouliers;DES MICOCOULIERS;MICOCOULIERS;22833468,22868249
RUE;Rue des Roses;DES ROSES;ROSES;22833481,22833484
RUE;Rue des Sources;DES SOURCES;SOURCES;22833463
RUE;Rue des Sports;DES SPORTS;SPORTS;5183082
RUE;Rue des Treilles;DES TREILLES;TREILLES;22833495,22833497
RUE;Rue du Bac;DU BAC;BAC;22833460
RUE;Rue du Canigou;DU CANIGOU;CANIGOU;19799757
RUE;Rue du Castell;DU CASTELL;CASTELL;22833451
RUE;Rue du Clos de la Source;DU CLOS DE LA SOURCE;SOURCE;98428358,98428492
RUE;Rue du Conflent;DU CONFLENT;CONFLENT;41311871,303651358,539988105,668502075
RUE;Rue du Courral;DU COURRAL;COURRAL;19799833
RUE;Rue du Foyer;DU FOYER;FOYER;19799708
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;19799594,19799630
RUE;Rue du Mas;DU MAS;MAS;22825049,98235679,549155557
RUE;Rue du Pla;DU PLA;PLA;19799787
RUE;Rue du Pont;DU PONT;PONT;4969057,5555370,8162596,303650658
TRAVERSE;Traverse de Bellevue;DE BELLEVUE;BELLEVUE;303998681
TRAVERSE;Traverse de Sirach;DE SIRACH;SIRACH;19799611,19799690
