voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Saint-Ferréol;SAINT FERREOL;FERREOL;149408971
AVENUE;Avenue des Albères;DES ALBERES;ALBERES;204442042,539040502
AVENUE;Avenue du Canigou;DU CANIGOU;CANIGOU;152969894
;Cami de l'Aulede;CAMI DE L AULEDE;AULEDE;149408839
;Carrer Estret;CARRER ESTRET;ESTRET;204829699
;Carrer dels Hospitals;CARRER DELS HOSPITALS;HOSPITALS;330228370
CHEMIN;Chemin de Vives;DE VIVES;VIVES;370208878
CHEMIN;Chemin de l'Ille;DE L ILLE;ILLE;149408879
CHEMIN;Chemin de la Pavé;DE LA PAVE;PAVE;149408933,281136215
CHEMIN;Chemin du Mas Chambon;DU MAS CHAMBON;CHAMBON;204418377,204418378,245394645,370208880
CHEMIN;Chemin du Mas d'en Marty;DU MAS D EN MARTY;MARTY;149408906
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;149408967,216511847,554753205
CLOS;Clos des Oulieux;DES OULIEUX;OULIEUX;149404283,539046914,539046918,539046950,539046953
;Coma Lluba;COMA LLUBA;LLUBA;189945395
;El Castell;EL CASTELL;CASTELL;330228371
IMPASSE;Impasse Canaleta;CANALETA;CANALETA;149408983
IMPASSE;Impasse Coma Lluba;COMA LLUBA;LLUBA;149408886,330228372,330228373
IMPASSE;Impasse Miquel;MIQUEL;MIQUEL;149408930
IMPASSE;Impasse Saint-Sébastien;SAINT SEBASTIEN;SEBASTIEN;149408902
IMPASSE;Impasse des Albères;DES ALBERES;ALBERES;330228374
IMPASSE;Impasse des Archers;DES ARCHERS;ARCHERS;149408925
IMPASSE;Impasse des Cerisiers;DES CERISIERS;CERISIERS;189997584
IMPASSE;Impasse des Palmiers;DES PALMIERS;PALMIERS;149408891
IMPASSE;Impasse des Saules;DES SAULES;SAULES;330228375
IMPASSE;Impasse des Serenades;DES SERENADES;SERENADES;330228376
IMPASSE;Impasse du Camp Figuères;DU CAMP FIGUERES;FIGUERES;554753201
PLACE;Place Alphonse Prats;ALPHONSE PRATS;PRATS;330364953
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;224067716
PLACE;Place del Baills;DEL BAILLS;BAILLS;149408851,330364954
PLACE;Place des Oliviers;DES OLIVIERS;OLIVIERS;330364955
PLACE;Place du Souvenir;DU SOUVENIR;SOUVENIR;330228378
ROND POINT;Rond-Point Saint-Sébastien;SAINT SEBASTIEN;SEBASTIEN;5239450,281136225
ROUTE;Route de Vivès;DE VIVES;VIVES;5367384,281136216
ROUTE;Route de la Forêt;DE LA FORET;FORET;330228379,330228380,330228381,539046927,539046930,539046941
ROUTE;Route de les Aigues;DE LES AIGUES;AIGUES;149408840
RUE;Rue Alphonse Prats;ALPHONSE PRATS;PRATS;149408981
RUE;Rue Croette d'en Briqueu;CROETTE D EN BRIQUEU;BRIQUEU;207664155
RUE;Rue Jacques Tronyo;JACQUES TRONYO;TRONYO;149408960
RUE;Rue Louis Gouges;LOUIS GOUGES;GOUGES;149408956,189997585
RUE;Rue Résidence du Soleil;RESIDENCE DU SOLEIL;SOLEIL;149408935
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;149408984
RUE;Rue Saint-Michel;SAINT MICHEL;MICHEL;149408940,330364956
RUE;Rue Saint-Sébastien;SAINT SEBASTIEN;SEBASTIEN;149408836
RUE;Rue Sainte-Cécile;SAINTE CECILE;CECILE;149408864
RUE;Rue Sainte-Thérèse;SAINTE THERESE;THERESE;149408872
RUE;Rue Traverse de la Gare;TRAVERSE DE LA GARE;GARE;149408974
RUE;Rue de l'Alzine;DE L ALZINE;ALZINE;149408875
RUE;Rue de la Briqueterie;DE LA BRIQUETERIE;BRIQUETERIE;149408887,149408912
RUE;Rue de la Close;DE LA CLOSE;CLOSE;149408955
RUE;Rue de la Liberté;DE LA LIBERTE;LIBERTE;189995124
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;149408838
RUE;Rue de la Poste;DE LA POSTE;POSTE;149408947,539040516
RUE;Rue de la Rive;DE LA RIVE;RIVE;330228382
RUE;Rue de la Tallada d'Empurda;DE LA TALLADA D EMPURDA;EMPURDA;149408952
RUE;Rue de la Tranquillité;DE LA TRANQUILLITE;TRANQUILLITE;149408923
RUE;Rue de la Ville;DE LA VILLE;VILLE;330228383
RUE;Rue de lo Pilo;DE LO PILO;PILO;149408841
RUE;Rue des Grives;DES GRIVES;GRIVES;204441102
RUE;Rue des Hussards;DES HUSSARDS;HUSSARDS;189945397
RUE;Rue des Lauriers Roses;DES LAURIERS ROSES;ROSES;204418374
RUE;Rue des Lavandes;DES LAVANDES;LAVANDES;149408885,149408893,149408944
RUE;Rue des Merles;DES MERLES;MERLES;149408976
RUE;Rue des Pinsons;DES PINSONS;PINSONS;330233238
RUE;Rue des Porches;DES PORCHES;PORCHES;330228384
RUE;Rue des Roseaux;DES ROSEAUX;ROSEAUX;245394646,245394647,245394648,245394649
RUE;Rue des Rossignols;DES ROSSIGNOLS;ROSSIGNOLS;149408939
RUE;Rue des Saules;DES SAULES;SAULES;149408899,330233239
RUE;Rue des Serenades;DES SERENADES;SERENADES;149408880,539040508
RUE;Rue des Terrasses;DES TERRASSES;TERRASSES;330364957
RUE;Rue des Traverse des Roures;DES TRAVERSE DES ROURES;ROURES;149408843
RUE;Rue des Écoles;DES ECOLES;ECOLES;149408954,330233240
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;149408852
RUE;Rue du Boulodrome;DU BOULODROME;BOULODROME;149408883
RUE;Rue du Carignan;DU CARIGNAN;CARIGNAN;330228385
RUE;Rue du Château;DU CHATEAU;CHATEAU;330228386,330228387
RUE;Rue du Clos Saint-Jean;DU CLOS SAINT JEAN;JEAN;149408979
RUE;Rue du Grenache;DU GRENACHE;GRENACHE;330228388
RUE;Rue du Lac;DU LAC;LAC;207664620,207664624
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;204441105
RUE;Rue du Lieutenant André Salles;DU LIEUTENANT ANDRE SALLES;SALLES;149408910,252265910
RUE;Rue du Maillol;DU MAILLOL;MAILLOL;149408844,149408868
RUE;Rue du Muscat;DU MUSCAT;MUSCAT;330228389
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;330228377
RUE;Rue du Racounet;DU RACOUNET;RACOUNET;330228390
RUE;Rue du Tilleul;DU TILLEUL;TILLEUL;149408846
RUE;Rue du Vallespir;DU VALLESPIR;VALLESPIR;149408957,207664622
SQUARE;Square Guy Malé;GUY MALE;MALE;149408958
