voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;310273122
ROUTE;Route d'Epfig;D EPFIG;EPFIG;24880848
ROUTE;Route des Vins;DES VINS;VINS;161661554,161661565,310273124
RUE;Rue Freppel;FREPPEL;FREPPEL;161661552
RUE;Rue Kirchweg;KIRCHWEG;KIRCHWEG;280868850
RUE;Rue de l'Ungersberg;DE L UNGERSBERG;UNGERSBERG;159186553
RUE;Rue de l'Église;DE L EGLISE;EGLISE;161661561,404686893,404686894
RUE;Rue du Bernstein;DU BERNSTEIN;BERNSTEIN;159186320,161661559
RUE;Rue du Winzenberg;DU WINZENBERG;WINZENBERG;310273137
RUE;Rue les Muhrmatten;LES MUHRMATTEN;MUHRMATTEN;159140478
;Véloroute du Vignoble d'Alsace;VELOROUTE DU VIGNOBLE D ALSACE;ALSACE;310165646
