voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Halage;DE HALAGE;HALAGE;499174755,499175391
IMPASSE;Impasse des Champs;DES CHAMPS;CHAMPS;124760676
IMPASSE;Impasse du Forgeron;DU FORGERON;FORGERON;124760678
IMPASSE;Impasse du Sentier;DU SENTIER;SENTIER;73168866
IMPASSE;Impasse du Tonnelier;DU TONNELIER;TONNELIER;73168865
ROUTE;Route de Wilwisheim;DE WILWISHEIM;WILWISHEIM;26925364,364522717
RUE;Rue Principale;PRINCIPALE;SENTIER;73168868,132239048
RUE;Rue de Duntzenheim;DE DUNTZENHEIM;DUNTZENHEIM;124760691
RUE;Rue de l'École;DE L ECOLE;ECOLE;124760692
RUE;Rue de l'Église;DE L EGLISE;EGLISE;73168863,443141685
RUE;Rue de l'Étang;DE L ETANG;ETANG;124760693,132239049
RUE;Rue de la Colline;DE LA COLLINE;COLLINE;124760694
RUE;Rue de la Source;DE LA SOURCE;SOURCE;73168864,242931957,242931958,459158707
RUE;Rue des Boulangers;DES BOULANGERS;BOULANGERS;124760695
RUE;Rue des Jardins;DES JARDINS;JARDINS;124760698
RUE;Rue des Prés;DES PRES;PRES;132239050
RUE;Rue des Vergers;DES VERGERS;VERGERS;124760696
RUE;Rue du Fossé;DU FOSSE;FOSSE;124760697
;Schaffhauserweg;SCHAFFHAUSERWEG;JARDINS;124760699
;Surverse;SURVERSE;PRES;327270414
;Vanne;VANNE;HALAGE;604602690
