voie;name;name_norm;last_word_norm;ways
RUE;Rue Heckmann Stintzy;HECKMANN STINTZY;STINTZY;38715082
RUE;Rue de la Digue;DE LA DIGUE;DIGUE;38714184,38715071,245003344,245003345,245003346,245003764
RUE;Rue de la Dordogne;DE LA DORDOGNE;DORDOGNE;38714177,38716825
RUE;Rue de la Douane;DE LA DOUANE;DOUANE;38715073
RUE;Rue de la Liberté;DE LA LIBERTE;LIBERTE;38715385
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;38714181,38714183,38715074,38715075,38715076,38715083
RUE;Rue de la Motte Castrale;DE LA MOTTE CASTRALE;CASTRALE;38716827
RUE;Rue des Bateliers;DES BATELIERS;BATELIERS;38715380,38715381
RUE;Rue des Iris;DES IRIS;IRIS;38716822
RUE;Rue des Jardins;DES JARDINS;JARDINS;38716821
RUE;Rue des Noyers;DES NOYERS;NOYERS;38715072
RUE;Rue du 19e Chasseurs;DU 19E CHASSEURS;CHASSEURS;38714175
RUE;Rue du 42e Régiment d'Infanterie de Forteresse;DU 42E REGIMENT D INFANTERIE DE FORTERESSE;FORTERESSE;38714182
RUE;Rue du Canal d'Alsace;DU CANAL D ALSACE;ALSACE;38714171,38714172,38714179,38714180,357816293,357816294
RUE;Rue du Château;DU CHATEAU;CHATEAU;38715080
RUE;Rue du Coux;DU COUX;COUX;38716826
RUE;Rue du Nord;DU NORD;NORD;38714176
RUE;Rue du Tilleul;DU TILLEUL;TILLEUL;38716833,357816297,357816298
