voie;name;name_norm;last_word_norm;ways
;Accès Parking Bus;ACCES PARKING BUS;BUS;125583539,183004466,183004467,183004469,183004470,489805338,489805339,489805340
;Accès Parking Cinéma / Rivetoile;ACCES PARKING CINEMA   RIVETOILE;RIVETOILE;160937551
;Accès Parking Courte Durée;ACCES PARKING COURTE DUREE;DUREE;41148406,41151900
;Accès Parking Souterrain de la Résidence du Clos des Orchidées;ACCES PARKING SOUTERRAIN DE LA RESIDENCE DU CLOS DES ORCHIDEES;ORCHIDEES;294929838
;Accès Parkings;ACCES PARKINGS;PARKINGS;192131087
;Accès Urgences Adultes;ACCES URGENCES ADULTES;ADULTES;495963764
;Accès du n°19 Jacob Mayer;ACCES DU N°19 JACOB MAYER;MAYER;422917851
;Accès à la Berge;ACCES A LA BERGE;BERGE;105874737
;Accés du n°21 Jacob Mayer;ACCES DU N°21 JACOB MAYER;MAYER;422917959
ALLEE;Allée Alexandre le Grand;ALEXANDRE LE GRAND;GRAND;506472933
ALLEE;Allée Alice Bommer;ALICE BOMMER;BOMMER;619580655
ALLEE;Allée Anton de Bary;ANTON DE BARY;BARY;22561627
ALLEE;Allée Boris Vian;BORIS VIAN;VIAN;41827136
ALLEE;Allée Charles Perrault;CHARLES PERRAULT;PERRAULT;488409199,506472904
ALLEE;Allée Colette Besson;COLETTE BESSON;BESSON;43508433
ALLEE;Allée David Goldschmidt;DAVID GOLDSCHMIDT;GOLDSCHMIDT;48980135
ALLEE;Allée Denis Diderot;DENIS DIDEROT;DIDEROT;35109985
ALLEE;Allée Gaspard Monge;GASPARD MONGE;MONGE;342548772,386573698
ALLEE;Allée Jack London;JACK LONDON;LONDON;488742267,506472924
ALLEE;Allée Jacqueline Auriol;JACQUELINE AURIOL;AURIOL;48604220,48604221,48604228,121173766,121185926
ALLEE;Allée Jean-Pierre Levy;JEAN PIERRE LEVY;LEVY;40864609,40864610,40864611,103869010,217513316
ALLEE;Allée Kastner;KASTNER;ROUEN;4757681,41690401
ALLEE;Allée Konrad Roentgen;KONRAD ROENTGEN;ROENTGEN;26735886
ALLEE;Allée Max Warschawski;MAX WARSCHAWSKI;WARSCHAWSKI;294918026
ALLEE;Allée René Cassin;RENE CASSIN;CASSIN;41690402,47048154,121520077
ALLEE;Allée Reuss;REUSS;CLAIRVIVRE;48609415,48609416,48656353,48656354,48656359,48656363,48656364,48737856,48737861,48737868
ALLEE;Allée Richard Wagner;RICHARD WAGNER;WAGNER;10273007,236559497,236559498,277145880
ALLEE;Allée Rudolf Schwander;RUDOLF SCHWANDER;SCHWANDER;277906355
ALLEE;Allée Simone de Beauvoir;SIMONE DE BEAUVOIR;BEAUVOIR;488742236
ALLEE;Allée Spach;SPACH;BALDE;14975556,236558096
ALLEE;Allée de Honau;DE HONAU;HONAU;20201040
ALLEE;Allée de Jacmel Haïti;DE JACMEL HAITI;HAITI;287610264,289951217,289951218
ALLEE;Allée de l'Abbé de l'Épée;DE L ABBE DE L EPEE;EPEE;23229779,48566083,48566084,48566087,48568421,646466652,646466653,646466654,646466655
ALLEE;Allée de l'Euro;DE L EURO;EURO;25382314
ALLEE;Allée de l'Orphelinat;DE L ORPHELINAT;ORPHELINAT;15707440,44505265
ALLEE;Allée de la Brasserie;DE LA BRASSERIE;BRASSERIE;553289740
ALLEE;Allée de la Digue;DE LA DIGUE;DIGUE;25710564,180355165,180355166,527869464
ALLEE;Allée de la Houblonnière;DE LA HOUBLONNIERE;HOUBLONNIERE;553289002,557134719,560106649
ALLEE;Allée de la Robertsau;DE LA ROBERTSAU;ROBERTSAU;41589795,41690430,41690431,359546041
ALLEE;Allée des Comtes;DES COMTES;COMTES;7756361,24960613,131319577,511081925
ALLEE;Allée des Diables Bleus;DES DIABLES BLEUS;BLEUS;120555530,120555548,185765956,185765957,185765958,488286751,488286752
ALLEE;Allée des Droits de l'Homme;DES DROITS DE L HOMME;HOMME;19788630,26807052,121558179,122574395,122574419,123313752,190520195,560748272,560748274
ALLEE;Allée des Foulons;DES FOULONS;FOULONS;26492876,26492887,150549142,150549143
ALLEE;Allée des Justes Parmi les Nations;DES JUSTES PARMI LES NATIONS;NATIONS;108964968
ALLEE;Allée des Platanes;DES PLATANES;PLATANES;19838803
ALLEE;Allée des Soupirs;DES SOUPIRS;SOUPIRS;19783212
ALLEE;Allée des Trois Sapins;DES TROIS SAPINS;SAPINS;25709915,25710237,405655101
ALLEE;Allée des Épicéas;DES EPICEAS;EPICEAS;49023067
ALLEE;Allée du Général Rouvillois;DU GENERAL ROUVILLOIS;ROUVILLOIS;26735648,40743065
ALLEE;Allée du Nord;DU NORD;NORD;19731745,19842403
ALLEE;Allée du Printemps;DU PRINTEMPS;PRINTEMPS;19055360
ALLEE;Allée du Schluthfeld;DU SCHLUTHFELD;SCHLUTHFELD;183000361,183323037
ALLEE;Allée du Sommerhof;DU SOMMERHOF;SOMMERHOF;25074142
