voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Hohwarth;DE HOHWARTH;HOHWARTH;98958065,134071270
;Dompfenbachweg;DOMPFENBACHWEG;MAURICE;134777766
IMPASSE;Impasse des Fleurs;DES FLEURS;FLEURS;98952545
PLACE;Place de Dartein;DE DARTEIN;DARTEIN;98958499
QUARTIER;Quartier Saint-Gilles;SAINT GILLES;GILLES;134071276
QUARTIER;Quartier Saint-Maurice;SAINT MAURICE;MAURICE;134769120,360160863
;Rainweg;RAINWEG;MAURICE;134777767,332630721
;Rauhwasenweg;RAUHWASENWEG;UNGERSBERG;98958069
RUE;Rue Principale;PRINCIPALE;ROMAINS;84543367,84543368,543510017
RUE;Rue Saint-Jacques;SAINT JACQUES;JACQUES;98958059,134071277,135401477
RUE;Rue de l'Ungersberg;DE L UNGERSBERG;UNGERSBERG;98958067
RUE;Rue de l'École;DE L ECOLE;ECOLE;98952546,98952549,98952550
RUE;Rue de l'Église;DE L EGLISE;EGLISE;98953167,135401478,135401479,135401481,135401483,135401484,135401487,135401489,135401492,135425322,360584275
RUE;Rue de la Forêt;DE LA FORET;FORET;98958070
RUE;Rue de la Première École;DE LA PREMIERE ECOLE;ECOLE;134071278
RUE;Rue des Pruniers;DES PRUNIERS;PRUNIERS;135401493
RUE;Rue des Romains;DES ROMAINS;ROMAINS;84305740,360584276,360584277
RUE;Rue des Trèfles;DES TREFLES;TREFLES;134071280,135401495
RUE;Rue des Vergers;DES VERGERS;VERGERS;134071281,134071282
RUE;Rue du Bernstein;DU BERNSTEIN;BERNSTEIN;98958061
RUE;Rue du Château;DU CHATEAU;CHATEAU;98958064,134071283
RUE;Rue du Giessen;DU GIESSEN;GIESSEN;156488994
RUE;Rue du Haut du Bois;DU HAUT DU BOIS;BOIS;98958057
RUE;Rue du Tir;DU TIR;TIR;134046017
;Willerweg;WILLERWEG;BOIS;98958058
