voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Saerling;SAERLING;EGLISE;122193604
IMPASSE;Impasse du Boulanger;DU BOULANGER;BOULANGER;197078395
IMPASSE;Impasse du Château;DU CHATEAU;CHATEAU;197250564
IMPASSE;Impasse du Mendiant;DU MENDIANT;MENDIANT;122195149
IMPASSE;Impasse du Presbytère;DU PRESBYTERE;PRESBYTERE;288824168
ROUTE;Route de La Petite Pierre;DE LA PETITE PIERRE;PIERRE;197250563,197250565,259374696
ROUTE;Route de Neuwiller;DE NEUWILLER;NEUWILLER;197250568,259374709
ROUTE;Route de Weinbourg;DE WEINBOURG;WEINBOURG;197250566,259374699
RUE;Rue Principale;PRINCIPALE;WEINBOURG;197250567,259374703
RUE;Rue de l'École;DE L ECOLE;ECOLE;122195150
RUE;Rue de l'Église;DE L EGLISE;EGLISE;122193603
RUE;Rue de la Forêt;DE LA FORET;FORET;122195151
RUE;Rue de la Wantzenau;DE LA WANTZENAU;WANTZENAU;122195152,132468953,132468954
RUE;Rue des Bergers;DES BERGERS;BERGERS;122193602,132468963
RUE;Rue des Bonnes Gens;DES BONNES GENS;GENS;132468975
RUE;Rue des Chevreuils;DES CHEVREUILS;CHEVREUILS;132468969
RUE;Rue des Châtaignes;DES CHATAIGNES;CHATAIGNES;132468955,132468956
RUE;Rue des Chèvres;DES CHEVRES;CHEVRES;122195167
RUE;Rue des Garçons;DES GARCONS;GARCONS;132468980
RUE;Rue des Jardins;DES JARDINS;JARDINS;122195154
RUE;Rue des Juifs;DES JUIFS;JUIFS;224014980
RUE;Rue des Marais;DES MARAIS;MARAIS;122195155
RUE;Rue des Prés;DES PRES;PRES;132468977
RUE;Rue des Remparts;DES REMPARTS;REMPARTS;122195157,451790399
RUE;Rue des Roses;DES ROSES;ROSES;122195161
RUE;Rue des Seigneurs;DES SEIGNEURS;SEIGNEURS;122195168
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;122195158,132468967
RUE;Rue des Vergers;DES VERGERS;VERGERS;122195159,197077699,197077700,197077701
RUE;Rue des Vignes;DES VIGNES;VIGNES;122195160
RUE;Rue des Étoiles;DES ETOILES;ETOILES;197250570
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;259374713
RUE;Rue du Moulin;DU MOULIN;MOULIN;197250571
RUE;Rue du Soleil;DU SOLEIL;SOLEIL;122195162
