voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Claverie;DE LA CLAVERIE;CLAVERIE;457282396
CHEMIN;Chemin de la Scierie;DE LA SCIERIE;SCIERIE;179458383
;Grand' Rue;GRAND  RUE;RUE;40864231
RUE;Rue de Levoncourt;DE LEVONCOURT;LEVONCOURT;179458385
RUE;Rue de Pleujouse;DE PLEUJOUSE;PLEUJOUSE;179458386
RUE;Rue de l'École;DE L ECOLE;ECOLE;179458387
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;121902092,270532982,270532983
RUE;Rue des Charmes;DES CHARMES;CHARMES;179458388
RUE;Rue des Chênes;DES CHENES;CHENES;179458389
RUE;Rue des Saules;DES SAULES;SAULES;179458390
RUE;Rue des Vergers;DES VERGERS;VERGERS;179458391
RUE;Rue du Megholz;DU MEGHOLZ;MEGHOLZ;179458392
RUE;Rue du Moulin;DU MOULIN;MOULIN;179458393,457282439,457282443
