voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de Belle-Île;DE BELLE ILE;ILE;153631356
ALLEE;Allée de Champeigne;DE CHAMPEIGNE;CHAMPEIGNE;153631357
ALLEE;Allée de Gâtine;DE GATINE;GATINE;164448912
ALLEE;Allée de Lomagne;DE LOMAGNE;LOMAGNE;153631360
ALLEE;Allée de Quiberon;DE QUIBERON;QUIBERON;153631361
ALLEE;Allée de l'Agenais;DE L AGENAIS;AGENAIS;153631363
ALLEE;Allée de l'Albret;DE L ALBRET;ALBRET;153631364
ALLEE;Allée de l'Armagnac;DE L ARMAGNAC;ARMAGNAC;153631359
ALLEE;Allée de l'Astarac;DE L ASTARAC;ASTARAC;153631366
ALLEE;Allée de l'Aubrac;DE L AUBRAC;AUBRAC;153631362
ALLEE;Allée de l'Orne;DE L ORNE;ORNE;153631369
ALLEE;Allée de l'Ouche;DE L OUCHE;OUCHE;164448913
ALLEE;Allée de la Sologne;DE LA SOLOGNE;SOLOGNE;164448914
ALLEE;Allée des Causses;DES CAUSSES;CAUSSES;153631371
ALLEE;Allée des Cornouailles;DES CORNOUAILLES;CORNOUAILLES;153631358
ALLEE;Allée des Cévennes;DES CEVENNES;CEVENNES;153631372
ALLEE;Allée des Landes;DES LANDES;LANDES;153631373
ALLEE;Allée des Monts d'Arrée;DES MONTS D ARREE;ARREE;153631376
ALLEE;Allée des Pyrénées;DES PYRENEES;PYRENEES;153631377
ALLEE;Allée du Berry;DU BERRY;BERRY;164448915
ALLEE;Allée du Bois Noir;DU BOIS NOIR;NOIR;153631379
ALLEE;Allée du Calvados;DU CALVADOS;CALVADOS;153631391
ALLEE;Allée du Cantal;DU CANTAL;CANTAL;153631395
ALLEE;Allée du Cap Antifer;DU CAP ANTIFER;ANTIFER;153631397
ALLEE;Allée du Cotentin;DU COTENTIN;COTENTIN;153631398
ALLEE;Allée du Limousin;DU LIMOUSIN;LIMOUSIN;153631400
ALLEE;Allée du Pays de Bray;DU PAYS DE BRAY;BRAY;153631402,153631404
ALLEE;Allée du Pays de Caux;DU PAYS DE CAUX;CAUX;153631405
ALLEE;Allée du Roumois;DU ROUMOIS;ROUMOIS;153631499
ALLEE;Allée du Vexin;DU VEXIN;VEXIN;153631407
;Auf die Gaertenweg;AUF DIE GAERTENWEG;GAERTENWEG;153631410
;Eschentzwillerweg;ESCHENTZWILLERWEG;ESCHENTZWILLERWEG;153631435,451619095
IMPASSE;Impasse de Hell;DE HELL;HELL;339529581
IMPASSE;Impasse des Érables;DES ERABLES;ERABLES;153631413
;Oberwassenweg;OBERWASSENWEG;OBERWASSENWEG;165051432
PLACE;Place de la Paix;DE LA PAIX;PAIX;81548607,153631418,454327542,454327543
;Riedgaessle;RIEDGAESSLE;RIEDGAESSLE;165212631
;Riedmattenweg;RIEDMATTENWEG;RIEDMATTENWEG;165176401
;Roemerstrasse;ROEMERSTRASSE;ROEMERSTRASSE;153631420
RUE;Rue Acklin;ACKLIN;ACKLIN;165176781,244711585,654192343,654192344,654192345,654192346
RUE;Rue Albrecht Durer;ALBRECHT DURER;DURER;153631425
RUE;Rue Don Bosco;DON BOSCO;BOSCO;153631426
RUE;Rue Eugène Kalt;EUGENE KALT;KALT;153631427
RUE;Rue Sébastien Brant;SEBASTIEN BRANT;BRANT;153631433
RUE;Rue d'Eschentzwiller;D ESCHENTZWILLER;ESCHENTZWILLER;448176568
RUE;Rue de l'Auvergne;DE L AUVERGNE;AUVERGNE;153631437
RUE;Rue de l'Église;DE L EGLISE;EGLISE;153631438
RUE;Rue de la Bretagne;DE LA BRETAGNE;BRETAGNE;81548584
RUE;Rue de la Forge;DE LA FORGE;FORGE;153631441,164449706,164449707
RUE;Rue de la Gascogne;DE LA GASCOGNE;GASCOGNE;81548524
RUE;Rue de la Normandie;DE LA NORMANDIE;NORMANDIE;81548600
RUE;Rue de la Touraine;DE LA TOURAINE;TOURAINE;153631444
RUE;Rue des Alouettes;DES ALOUETTES;ALOUETTES;153631446
RUE;Rue des Artisans;DES ARTISANS;ARTISANS;153631449,153631451
RUE;Rue des Bosquets;DES BOSQUETS;BOSQUETS;47261889,153631459
RUE;Rue des Cygnes;DES CYGNES;CYGNES;47261887,431551379
RUE;Rue des Hirondelles;DES HIRONDELLES;HIRONDELLES;153631452
RUE;Rue des Jardins;DES JARDINS;JARDINS;339529583
RUE;Rue des Mésanges;DES MESANGES;MESANGES;153631442
RUE;Rue des Prés;DES PRES;PRES;153631454
RUE;Rue des Rossignols;DES ROSSIGNOLS;ROSSIGNOLS;153631479
RUE;Rue des Seigneurs;DES SEIGNEURS;SEIGNEURS;153631457,290046713,507617788,507617790
RUE;Rue des Vergers;DES VERGERS;VERGERS;339529586,339529621,339529622,339717794
RUE;Rue des Écrins;DES ECRINS;ECRINS;153631458
RUE;Rue du Château;DU CHATEAU;CHATEAU;47261888
RUE;Rue du Couvent;DU COUVENT;COUVENT;153631460,230299978,230299979,553997835,553997836
RUE;Rue du Freiberg;DU FREIBERG;FREIBERG;153631464,165285440
RUE;Rue du Kaegy;DU KAEGY;KAEGY;153631466
RUE;Rue du Maine;DU MAINE;MAINE;153631468
RUE;Rue du Moulin;DU MOULIN;MOULIN;153631472
RUE;Rue du Pays Basque;DU PAYS BASQUE;BASQUE;153631473,391935000
RUE;Rue du Rhin;DU RHIN;RHIN;153631477
RUE;Rue du Stade;DU STADE;STADE;153631480
;Weidenweg;WEIDENWEG;WEIDENWEG;81548538
