voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Joachim;JOACHIM;JOACHIM;272307264
PLACE;Place du 1e Régiment du Morvan;DU 1E REGIMENT DU MORVAN;MORVAN;345424909
ROUTE;Route Nationale;NATIONALE;NATIONALE;345277875
ROUTE;Route des Crêtes;DES CRETES;CRETES;37855715,305107110
RUE;Rue Creuse;CREUSE;CREUSE;204349252,204349253,204349260,246476556,598581606
RUE;Rue Haute;HAUTE;HAUTE;204349254,204349262,345277876
RUE;Rue de Mitzach;DE MITZACH;MITZACH;165437121,227100980
RUE;Rue de l'École;DE L ECOLE;ECOLE;165311842,598581601,598581604
RUE;Rue de la Carrière;DE LA CARRIERE;CARRIERE;323232075
RUE;Rue des Bouleaux;DES BOULEAUX;BOULEAUX;120191419
RUE;Rue des Champs;DES CHAMPS;CHAMPS;204349256,204349266
RUE;Rue des Prés;DES PRES;PRES;204349264
RUE;Rue du 2 Décembre 1944;DU 2 DECEMBRE 1944;1944;152241789,598581595
RUE;Rue du Cimetière;DU CIMETIERE;CIMETIERE;204349257
RUE;Rue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;120191415,180815299,345277877
RUE;Rue du Herrenwald;DU HERRENWALD;HERRENWALD;598581598
RUE;Rue du Koestel;DU KOESTEL;KOESTEL;204349258,246476558
RUE;Rue du Printemps;DU PRINTEMPS;PRINTEMPS;323232074
RUELLE;Ruelle de l'Église;DE L EGLISE;EGLISE;345424918
