voie;name;name_norm;last_word_norm;ways
;Grand' Rue;GRAND  RUE;RUE;79239909,182691781
IMPASSE;Impasse des Noyers;DES NOYERS;NOYERS;182697646
PLACE;Place du 10 Décembre 1944;DU 10 DECEMBRE 1944;1944;182698935
ROUTE;Route de Bourbach-Le-Bas;DE BOURBACH LE BAS;BAS;182697647
ROUTE;Route de Thann;DE THANN;THANN;136289766,159512956,159513087
RUE;Rue Haula;HAULA;HAULA;182698936
RUE;Rue Saint-Laurent;SAINT LAURENT;LAURENT;182697648
RUE;Rue de Rammersmatt;DE RAMMERSMATT;RAMMERSMATT;136289765,182697650,182697660
RUE;Rue de Roderen;DE RODEREN;RODEREN;646925870
RUE;Rue de l'Église;DE L EGLISE;EGLISE;136289738
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;182697662
RUE;Rue de la Forêt;DE LA FORET;FORET;136289762,182697663
RUE;Rue des Cerisiers;DES CERISIERS;CERISIERS;182697664
RUE;Rue des Charmes;DES CHARMES;CHARMES;159512948
RUE;Rue des Collines;DES COLLINES;COLLINES;182698937
RUE;Rue des Forgerons;DES FORGERONS;FORGERONS;136289761,182697666
RUE;Rue des Jardins;DES JARDINS;JARDINS;136289770
RUE;Rue des Poiriers;DES POIRIERS;POIRIERS;262028665
RUE;Rue des Prés;DES PRES;PRES;182697674,182697677
RUE;Rue des Pâturages;DES PATURAGES;PATURAGES;262028667
RUE;Rue des Vignes;DES VIGNES;VIGNES;136289734
RUE;Rue du Buis;DU BUIS;BUIS;182698938
RUE;Rue du Chêne;DU CHENE;CHENE;669991408,669991409
RUE;Rue du Gigel;DU GIGEL;GIGEL;182697679
RUE;Rue du Kattenbach;DU KATTENBACH;KATTENBACH;182697681
RUE;Rue du Moulin;DU MOULIN;MOULIN;182697682
RUE;Rue du Muhlberg;DU MUHLBERG;MUHLBERG;136289750
RUE;Rue du Neuberg;DU NEUBERG;NEUBERG;136289782,182697689,182697692,333322736
RUE;Rue du Ruisseau;DU RUISSEAU;RUISSEAU;182698939
