voie;name;name_norm;last_word_norm;ways
AIRE;Aire du Fronholz;DU FRONHOLZ;FRONHOLZ;477079959
;Allmendweg;ALLMENDWEG;CHAPPUIS;107820899
ALLEE;Allée du Cèdre;DU CEDRE;CEDRE;53728065
;Blieschweierweg;BLIESCHWEIERWEG;BLERIOT;26411524
;Breisacherweg;BREISACHERWEG;BEHINE;122276044,122276045,122276046,252476381,252476385
;Breitweg;BREITWEG;REPUBLIQUE;54519394
COL;Colmarerweg;MARERWEG;BEHINE;122272985
;Deuxième Impasse;DEUXIEME IMPASSE;IMPASSE;53728080
;Gaenswoerthweg;GAENSWOERTHWEG;BEHINE;122276047
;Gansackerweg;GANSACKERWEG;BEHINE;122516081
;Goldradweg;GOLDRADWEG;BEHINE;122272987
;Guthleuthausweg;GUTHLEUTHAUSWEG;QUAI;53728098
;Haute Digue;HAUTE DIGUE;DIGUE;122516082,122516083
;Herrlisheimerweg;HERRLISHEIMERWEG;REPUBLIQUE;54396056
;Hochweg;HOCHWEG;BEHINE;122271522,263199599,263199600
;Illtalwrg;ILLTALWRG;DIGUE;122516084
;Illweg;ILLWEG;BEHINE;122276048
IMPASSE;Impasse Montgolfier;MONTGOLFIER;PEUGEOT;53655606,174736782
IMPASSE;Impasse de Biltzheim;DE BILTZHEIM;BILTZHEIM;308023812
IMPASSE;Impasse des Vignes;DES VIGNES;VIGNES;174736753
IMPASSE;Impasse du Mauergarten;DU MAUERGARTEN;MAUERGARTEN;122265074
IMPASSE;Impasse du Muguet;DU MUGUET;MUGUET;122265075
IMPASSE;Impasse du Schauenberg;DU SCHAUENBERG;SCHAUENBERG;122265081
;Kirschenbuschweg;KIRSCHENBUSCHWEG;CHAPPUIS;107178334
;Kohluettenweg;KOHLUETTENWEG;CHAPPUIS;107820896
;Kosakenlochweg;KOSAKENLOCHWEG;REPUBLIQUE;54587269
;Kuehlaegerstraessle;KUEHLAEGERSTRAESSLE;CHAPPUIS;107177130
;L'Alsacienne;L ALSACIENNE;ALSACIENNE;30846741,30846742,30846784,232577617,232577619,418347796,477079943,477079944,477079945,477079949,477079950
;Logelheimerweg;LOGELHEIMERWEG;BEHINE;122272988,122516086,263198223
;Marbachackerweg;MARBACHACKERWEG;REPUBLIQUE;54587314
;Mattenweg;MATTENWEG;CHAPPUIS;107173568
;Muehlweg;MUEHLWEG;CHAPPUIS;107173577,166676406,166676407
;Oberer Allmendweg;OBERER ALLMENDWEG;ALLMENDWEG;107820904
PLACE;Place Docteur Schemmel;DOCTEUR SCHEMMEL;SCHEMMEL;53728091
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;53789009
PLACE;Place des Tilleuls;DES TILLEULS;TILLEULS;53728052
