voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Euroeastpark;EUROEASTPARK;EUROEASTPARK;41120823,41120824,579227147,597957642
ALLEE;Allée des Pins;DES PINS;PINS;41130142
ALLEE;Allée des Sports;DES SPORTS;SPORTS;41275239
AVENUE;Avenue de Bâle;DE BALE;BALE;24421787,27318093,31926482,90381674,90381681,142748885,146620437,528896351,661664398
AVENUE;Avenue de la Marne;DE LA MARNE;MARNE;37564122,89810282,447498437
AVENUE;Avenue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;31926480,41907006,41907014,155777808,155777809,373792762,443600925,443600927,478550850
;Blotzheimerweg;BLOTZHEIMERWEG;BLOTZHEIMERWEG;41130791
BORD;Border Control;ER CONTROL;CONTROL;295213658
BOULEVARD;Boulevard de l'Europe;DE L EUROPE;EUROPE;37562439,39324621,39324622,477269837
;Burgfelderstrasse;BURGFELDERSTRASSE;BURGFELDERSTRASSE;39215798,133909872
CHEMIN;Chemin de la Pisciculture;DE LA PISCICULTURE;PISCICULTURE;219361202
CHEMIN;Chemin du Hellhof;DU HELLHOF;HELLHOF;41129829
CITE;Cité Beaulieu;BEAULIEU;BEAULIEU;40205488
CITE;Cité Docteur Léon Mangeney;DOCTEUR LEON MANGENEY;MANGENEY;41218307
CITE;Cité Douanière;DOUANIERE;DOUANIERE;178874848,178874849,178877616,180664953
CITE;Cité Général Leclerc;GENERAL LECLERC;LECLERC;28148636
CITE;Cité Ruhlmann;RUHLMANN;RUHLMANN;127671686
CITE;Cité des Pâquerettes;DES PAQUERETTES;PAQUERETTES;41130216
;Croisée des Lys;CROISEE DES LYS;LYS;31926483,31926484
;Im Burgfelderhof;IM BURGFELDERHOF;BURGFELDERHOF;55681848
IMPASSE;Impasse Nussbaum;NUSSBAUM;NUSSBAUM;39216928
;Kleinfeldweg;KLEINFELDWEG;KLEINFELDWEG;45261746
;L'Alsacienne;L ALSACIENNE;ALSACIENNE;25791877,30847399,192931792,318950535,318950536,318950542,318950549,318951204,318951205,318951206
LAC;Lachenstrasse;HENSTRASSE;HENSTRASSE;150679541
LAC;Lachenweg;HENWEG;HENWEG;146370937,668681545,668681547
;Langhagweg;LANGHAGWEG;LANGHAGWEG;192337735,193025720,533179810,533179811
PARKING;Parking Souterrain;SOUTERRAIN;SOUTERRAIN;475138790,475138791
PASSERELLE;Passerelle du Lycée Jean-Mermoz;DU LYCEE JEAN MERMOZ;MERMOZ;89141685
PISTE;Piste de l'Eau;DE L EAU;EAU;515608272
PLACE;Place Georges Gissy;GEORGES GISSY;GISSY;603164734
PLACE;Place de l'Abattoir;DE L ABATTOIR;ABATTOIR;150663803
PLACE;Place de l'Europe;DE L EUROPE;EUROPE;28148643,95672140
PLACE;Place de l'Hôtel de Ville de Saint-Louis;DE L HOTEL DE VILLE DE SAINT LOUIS;LOUIS;95838654
PLACE;Place de la Gare;DE LA GARE;GARE;37564091,95277015,447498444
RAMPE;Rampe Chariots Tires-Palettes;CHARIOTS TIRES PALETTES;PALETTES;236091550,236091551
ROUTE;Route Douanière;DOUANIERE;DOUANIERE;8379475,25790234,25790239,113621287,287877452
ROUTE;Route de Service;DE SERVICE;SERVICE;41144934,41147530,408003099,408003101,408003102,481916923
ROUTE;Route de service;DE SERVICE;SERVICE;41145875,41145951,41225497,408003337
RUE;Rue A. Gohr;A  GOHR;GOHR;39195201
RUE;Rue Adalbert de Baerenfels;ADALBERT DE BAERENFELS;BAERENFELS;39213932,39213933,39213934
RUE;Rue Aimé Albientz;AIME ALBIENTZ;ALBIENTZ;486749130
RUE;Rue Alexandre Freund;ALEXANDRE FREUND;FREUND;41217581
RUE;Rue Alexandre Lauly;ALEXANDRE LAULY;LAULY;41137862,95550329
RUE;Rue Bartholdi;BARTHOLDI;BARTHOLDI;24421796
RUE;Rue Bellevue;BELLEVUE;BELLEVUE;41173693,180680501
RUE;Rue Birgitta;BIRGITTA;BIRGITTA;290242874
RUE;Rue Charles Kroepflé;CHARLES KROEPFLE;KROEPFLE;183625780
RUE;Rue Charles Péguy;CHARLES PEGUY;PEGUY;39215380
RUE;Rue Charles Riescher;CHARLES RIESCHER;RIESCHER;39216927
RUE;Rue Concorde;CONCORDE;CONCORDE;669092321
RUE;Rue Edouard Branly;EDOUARD BRANLY;BRANLY;39215086,99506626,99506627
RUE;Rue Eugène Charon;EUGENE CHARON;CHARON;39216934,39216935,39216936
RUE;Rue François Xavier Wittersbach;FRANCOIS XAVIER WITTERSBACH;WITTERSBACH;41129979
RUE;Rue Gambetta;GAMBETTA;GAMBETTA;31926476
RUE;Rue Henner;HENNER;HENNER;128960986,150663767,537991322
RUE;Rue Jean Mermoz;JEAN MERMOZ;MERMOZ;39215383,577522965,577524860
RUE;Rue Jean Racine;JEAN RACINE;RACINE;39215140,99507013
RUE;Rue Jules Ferry;JULES FERRY;FERRY;24421797
RUE;Rue Jules Verne;JULES VERNE;VERNE;39215083,39215085,99506624,99506628,395306402
RUE;Rue Lucien Butticker;LUCIEN BUTTICKER;BUTTICKER;571080379
RUE;Rue Meidinger;MEIDINGER;MEIDINGER;537764655,537764656,537764658,537764659
RUE;Rue Molière;MOLIERE;MOLIERE;39215139
RUE;Rue Oberlin;OBERLIN;OBERLIN;31926474,373573080,373573081
RUE;Rue Pasteur;PASTEUR;PASTEUR;24421795
RUE;Rue Pflimlin;PFLIMLIN;PFLIMLIN;180914932
RUE;Rue Philippe Kieffer;PHILIPPE KIEFFER;KIEFFER;31926464
RUE;Rue Pierre Corneille;PIERRE CORNEILLE;CORNEILLE;39215138
RUE;Rue Pierre de Barbier;PIERRE DE BARBIER;BARBIER;39216924,39217043
RUE;Rue Saint Jean;SAINT JEAN;JEAN;228996005
RUE;Rue Saint-Claude;SAINT CLAUDE;CLAUDE;41129451
RUE;Rue Saint-Damien;SAINT DAMIEN;DAMIEN;577522384
RUE;Rue Saint-Exupéry;SAINT EXUPERY;EXUPERY;39215611
RUE;Rue Saint-Georges;SAINT GEORGES;GEORGES;41219338
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;31926467,41138457,478550963
RUE;Rue Saint-Pierre;SAINT PIERRE;PIERRE;41121021
RUE;Rue Sainte-Odile;SAINTE ODILE;ODILE;103011748
RUE;Rue Theo Bachmann;THEO BACHMANN;BACHMANN;37564318,89810351,217179996
RUE;Rue Vauban;VAUBAN;VAUBAN;27318054
RUE;Rue Victor Coste;VICTOR COSTE;COSTE;46965270
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;39215087
RUE;Rue d'Allschwil;D ALLSCHWIL;ALLSCHWIL;31926452
RUE;Rue d'Altkirch;D ALTKIRCH;ALTKIRCH;35013701,39216933,661664400
RUE;Rue de Bartenheim;DE BARTENHEIM;BARTENHEIM;41129471
RUE;Rue de Bienne;DE BIENNE;BIENNE;99510252
RUE;Rue de Buschwiller;DE BUSCHWILLER;BUSCHWILLER;39214135
RUE;Rue de Bâle;DE BALE;BALE;31515922
RUE;Rue de Delémont;DE DELEMONT;DELEMONT;31926468,99510251,99510254,373569903,373569904
RUE;Rue de Ferrette;DE FERRETTE;FERRETTE;184079966
RUE;Rue de Folgensbourg;DE FOLGENSBOURG;FOLGENSBOURG;103010463,103010472,150663768
RUE;Rue de Genève;DE GENEVE;GENEVE;31926457
RUE;Rue de Habsheim;DE HABSHEIM;HABSHEIM;41129542
RUE;Rue de Hagenthal;DE HAGENTHAL;HAGENTHAL;39214133
RUE;Rue de Huningue;DE HUNINGUE;HUNINGUE;27318035,150663771,477545490
RUE;Rue de Hégenheim;DE HEGENHEIM;HEGENHEIM;33059934,179048491,179048492,576368545
RUE;Rue de Hésingue;DE HESINGUE;HESINGUE;28148647
RUE;Rue de Landser;DE LANDSER;LANDSER;41129418,41129661
RUE;Rue de Lausanne;DE LAUSANNE;LAUSANNE;99510575,373569905
RUE;Rue de Lectoure;DE LECTOURE;LECTOURE;31926899
RUE;Rue de Leymen;DE LEYMEN;LEYMEN;103011370,150663773,180671096
RUE;Rue de Michelfelden;DE MICHELFELDEN;MICHELFELDEN;93380573,178551717,178551719,180959079,518758336
RUE;Rue de Montreux;DE MONTREUX;MONTREUX;31926453
RUE;Rue de Morcenx;DE MORCENX;MORCENX;99485247,372754022
