voie;name;name_norm;last_word_norm;ways
;Bergpfad;BERGPFAD;EGLISE;102585793,102657099,146954232,146954239,210467761
;Bornenbergpfad;BORNENBERGPFAD;CHATAIGNIERS;158648207
;Brudertalweg;BRUDERTALWEG;GILLES;102285914,505917014
;Butzentalweg;BUTZENTALWEG;PFIFFERLINGWEG;102662588
CHEMIN;Chemin du Buderthal;DU BUDERTHAL;BUDERTHAL;109101124
CHEMIN;Chemin du Kohlgrueben;DU KOHLGRUEBEN;KOHLGRUEBEN;102663077
;Eichtalweg;EICHTALWEG;CHARPENTIERS;102657277
;Engelhof;ENGELHOF;CHARPENTIERS;102657100,141241795,158611258
;Engelhofpfad;ENGELHOFPFAD;HOHNACK;102585819,210467762
;Eselpfad;ESELPFAD;VERGERS;102585788
;Eselweg;ESELWEG;PFIFFERLINGWEG;102662419
;Feldeckpfad;FELDECKPFAD;VERGERS;102585784
;Geisbuehlpfad;GEISBUEHLPFAD;HIRONDELLES;102659740
;Geisbuehlweg;GEISBUEHLWEG;GEISSBUEHLWEG;102437975,102659748
;Germenweg;GERMENWEG;PFIFFERLINGWEG;102661283
;Hinterpfad;HINTERPFAD;VERGERS;102585771
;Hohlengrabenpfad;HOHLENGRABENPFAD;VERGERS;102585776
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;102585791,146954250
IMPASSE;Impasse des Alouettes;DES ALOUETTES;ALOUETTES;141228763
IMPASSE;Impasse des Jardins;DES JARDINS;JARDINS;102285900,141233100,141233101
IMPASSE;Impasse des Mésanges;DES MESANGES;MESANGES;102437969
;Kirchhofpfad;KIRCHHOFPFAD;VERGERS;102585761
;Kuehlenmorgenpfad;KUEHLENMORGENPFAD;VERGERS;102585765
;Laenderpfad;LAENDERPFAD;VERGERS;102585773,102585786
;Netteryweg;NETTERYWEG;PFIFFERLINGWEG;102661284
;Oberer Boschtalweg;OBERER BOSCHTALWEG;BOSCHTALWEG;140258701
;Oberer Geissbuehlweg;OBERER GEISSBUEHLWEG;GEISSBUEHLWEG;102437974,158478973
;Rinkenpfad;RINKENPFAD;HIRONDELLES;102659743,102659749,102664200
;Rinkentalweg;RINKENTALWEG;PFIFFERLINGWEG;102661287,346946393
ROUTE;Route de Turckheim;DE TURCKHEIM;TURCKHEIM;23298231,138618493,138618494
ROUTE;Route de Walbach;DE WALBACH;WALBACH;141223155
ROUTE;Route de Zimmerbach;DE ZIMMERBACH;ZIMMERBACH;140499120,141219709
RUE;Rue Jean-Philippe Sturm;JEAN PHILIPPE STURM;STURM;74668459
RUE;Rue Principale;PRINCIPALE;TURCKHEIM;74668456,102585780
RUE;Rue Saint-Gilles;SAINT GILLES;GILLES;102285911,102658389,138618496
RUE;Rue de l'Église;DE L EGLISE;EGLISE;102285888,264294752
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;102285907,102585778,158614837
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;102285897
RUE;Rue des Alouettes;DES ALOUETTES;ALOUETTES;102437967,141228766
RUE;Rue des Charpentiers;DES CHARPENTIERS;CHARPENTIERS;102655847
RUE;Rue des Châtaigniers;DES CHATAIGNIERS;CHATAIGNIERS;146954251
RUE;Rue des Fleurs;DES FLEURS;FLEURS;102437986
RUE;Rue des Hirondelles;DES HIRONDELLES;HIRONDELLES;102657758
RUE;Rue des Merisiers;DES MERISIERS;MERISIERS;102664203,141326866
RUE;Rue des Merles;DES MERLES;MERLES;102437985
RUE;Rue des Prés;DES PRES;PRES;102437988
RUE;Rue des Trois-Épis;DES TROIS EPIS;EPIS;102285904,102437984,102693112,138618497,138618498
RUE;Rue des Vergers;DES VERGERS;VERGERS;102437990,102585769,141233102,141335121
RUE;Rue du Hohnack;DU HOHNACK;HOHNACK;102585797
RUE;Rue du Muscat;DU MUSCAT;MUSCAT;102437982
RUE;Rue du Pflixbourg;DU PFLIXBOURG;PFLIXBOURG;102285891,102437983,138618500,138618502,141330080,192640597
RUE;Rue du Pinot;DU PINOT;PINOT;102437965
RUE;Rue du Président Léon Siben;DU PRESIDENT LEON SIBEN;SIBEN;102437970
RUE;Rue du Riesling;DU RIESLING;RIESLING;102437987
RUE;Rue du Réservoir;DU RESERVOIR;RESERVOIR;74668458,102585812
RUE;Rue du Tokay;DU TOKAY;TOKAY;102437968
RUE;Rue du Vignoble;DU VIGNOBLE;VIGNOBLE;74668457,102437966,102437980
;Unterer Pfifferlingweg;UNTERER PFIFFERLINGWEG;PFIFFERLINGWEG;102659745
ZI;Zimmerbachacher Straessle;MMERBACHACHER STRAESSLE;STRAESSLE;102285883
