voie;name;name_norm;last_word_norm;ways
;Grande Rue;GRANDE RUE;RUE;26340462
IMPASSE;Impasse des Lavandières;DES LAVANDIERES;LAVANDIERES;167174905
IMPASSE;Impasse du Poète;DU POETE;POETE;398589515
PASSE;Passe des Jardins;DES JARDINS;JARDINS;167174919
;Petite Rue;PETITE RUE;RUE;398589517
PLACE;Place de la Fontaine;DE LA FONTAINE;FONTAINE;139509953
PLACE;Place des Grangers;DES GRANGERS;GRANGERS;150603580,398589518
ROUTE;Route de Beauvernay;DE BEAUVERNAY;BEAUVERNAY;164950352
ROUTE;Route de Cenves à Juliénas;DE CENVES A JULIENAS;JULIENAS;499325004
RUE;Rue de Beauvernay;DE BEAUVERNAY;BEAUVERNAY;398589519
RUE;Rue de l'Église;DE L EGLISE;EGLISE;150603570,398589520
RUE;Rue de la Varenne;DE LA VARENNE;VARENNE;139509956,167174879,314862780
RUE;Rue des Grands Prés;DES GRANDS PRES;PRES;150603583
RUE;Rue des Écoles;DES ECOLES;ECOLES;139509958
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;45769242,150603568
RUE;Rue du Pré des Bois;DU PRE DES BOIS;BOIS;164950351
RUE;Rue du Robert;DU ROBERT;ROBERT;164950360
VOIE;Voie de la Grande-Croix au Paquelet;DE LA GRANDE CROIX AU PAQUELET;PAQUELET;134824311
VOIE;Voie des Paquelets;DES PAQUELETS;PAQUELETS;61095766
