voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de la Fournelière;DE LA FOURNELIERE;FOURNELIERE;145126950
ALLEE;Allée de la Triandine;DE LA TRIANDINE;TRIANDINE;306494473
ALLEE;Allée des Prés Rouet;DES PRES ROUET;ROUET;155415433,155415436
ALLEE;Allée du Chatelard;DU CHATELARD;CHATELARD;235829738
ALLEE;Allée du Chêne;DU CHENE;CHENE;145126277
ALLEE;Allée du Clos Villebois;DU CLOS VILLEBOIS;VILLEBOIS;145126954
ALLEE;Allée du Prunelier;DU PRUNELIER;PRUNELIER;300964705
ALLEE;Allée du Puits;DU PUITS;PUITS;145126276
ALLEE;Allée du Vercors;DU VERCORS;VERCORS;155415437,155415439
;Ancienne-Voie-Ferrée-de-la-F.O.L.;ANCIENNE VOIE FERREE DE LA F O L ;L;293039200,293039201,293039704,293039783,342289455
;Arc Saint-Roch;ARC SAINT ROCH;ROCH;655246859
AVENUE;Avenue des Alpes;DES ALPES;ALPES;145127017,342289457,342289458,627683925,627683926
CHEMIN;Chemin Le Chemin Clos;LE CHEMIN CLOS;CLOS;191776405
CHEMIN;Chemin Saint-Just;SAINT JUST;JUST;300964726,353884760
CHEMIN;Chemin Vert;VERT;QUINSONNAS;265512223,353937185
CHEMIN;Chemin de Balloux;DE BALLOUX;BALLOUX;267664520
CHEMIN;Chemin de Chassagne;DE CHASSAGNE;CHASSAGNE;353940074
CHEMIN;Chemin de Compostelle;DE COMPOSTELLE;COMPOSTELLE;59226158,220429486,364456238
CHEMIN;Chemin de Janton;DE JANTON;JANTON;444013575
CHEMIN;Chemin de Monthus;DE MONTHUS;MONTHUS;273447801,655246849,655246850
CHEMIN;Chemin de Sarrière;DE SARRIERE;SARRIERE;289364856
CHEMIN;Chemin de la Carrière;DE LA CARRIERE;CARRIERE;235829549
CHEMIN;Chemin de la Cascade;DE LA CASCADE;CASCADE;189870646,189870647,252203464,252203467,364456242
CHEMIN;Chemin de la Chalandraise;DE LA CHALANDRAISE;CHALANDRAISE;155423341
CHEMIN;Chemin de la Flache;DE LA FLACHE;FLACHE;155422819
CHEMIN;Chemin de la Font;DE LA FONT;FONT;50588295
CHEMIN;Chemin de la Grenive;DE LA GRENIVE;GRENIVE;50588294
CHEMIN;Chemin de la Haute Bruyère;DE LA HAUTE BRUYERE;BRUYERE;155423338,155423340
CHEMIN;Chemin de la Molinière;DE LA MOLINIERE;MOLINIERE;265512228
