voie;name;name_norm;last_word_norm;ways
;Chavagny;CHAVAGNY;CHAVAGNY;136070656
CHEMIN;Chemin de Saint-Julien;DE SAINT JULIEN;JULIEN;157467814
;Crêt Guerre;CRET GUERRE;GUERRE;136069510
;Crêt Maguet;CRET MAGUET;MAGUET;136069507,338789685
;En Arjoux;EN ARJOUX;ARJOUX;136070658,338789687
;GR Pays;GR PAYS;PAYS;158227236
IMPASSE;Impasse de la Cure;DE LA CURE;CURE;666370752
;Jailly;JAILLY;JAILLY;136070651
;La Bigaudière;LA BIGAUDIERE;BIGAUDIERE;136073852
;La Brigadière;LA BRIGADIERE;BRIGADIERE;136073838
;Le Bajolais;LE BAJOLAIS;BAJOLAIS;136074006
;Le Bajollet;LE BAJOLLET;BAJOLLET;136073837,136073839
;Le Fraissonnet;LE FRAISSONNET;FRAISSONNET;136073844
;Le Joannet;LE JOANNET;JOANNET;136073843,136073846
;Le Tallot;LE TALLOT;TALLOT;136084320
;Les Farges;LES FARGES;FARGES;136073835,136074005
;Roivet;ROIVET;ROIVET;136073853
ROUTE;Route De Saint Irénée;DE SAINT IRENEE;IRENEE;184045819
;Senevier;SENEVIER;SENEVIER;136069512
;Tyr;TYR;TYR;136073845,136074161
