voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Prévert;PREVERT;PREVERT;321310961
ALLEE;Allée Saint-Exupéry;SAINT EXUPERY;EXUPERY;136570840
ALLEE;Allée des Cytises;DES CYTISES;CYTISES;321299668
ALLEE;Allée des Cèdres;DES CEDRES;CEDRES;321309645
ALLEE;Allée des Landes;DES LANDES;LANDES;35576772
ALLEE;Allée des Magnolias;DES MAGNOLIAS;MAGNOLIAS;35576775
ALLEE;Allée des Mimosas;DES MIMOSAS;MIMOSAS;321299669
ALLEE;Allée des Muguets;DES MUGUETS;MUGUETS;267538891
ALLEE;Allée des Myosotis;DES MYOSOTIS;MYOSOTIS;35576774
ALLEE;Allée des Nectarines;DES NECTARINES;NECTARINES;321292424
ALLEE;Allée des Noisetiers;DES NOISETIERS;NOISETIERS;136588634
ALLEE;Allée du repos;DU REPOS;REPOS;321299673
AVENUE;Avenue du Général Brosset;DU GENERAL BROSSET;BROSSET;4945229,76703576,379450546,661393998,661393999,661394003
CHEMIN;Chemin Bellevue;BELLEVUE;BELLEVUE;248184818
CHEMIN;Chemin de Bel-Air;DE BEL AIR;AIR;136591003
CHEMIN;Chemin de Champemin;DE CHAMPEMIN;CHAMPEMIN;136590996
CHEMIN;Chemin de Montbel;DE MONTBEL;MONTBEL;321290351
CHEMIN;Chemin de la Plaine;DE LA PLAINE;PLAINE;117738239,186500533,188090939,224734316,224734317,408580298,408580299,408580300,408580301,427467312
CHEMIN;Chemin des Balmes;DES BALMES;BALMES;67398314
CHEMIN;Chemin des Basses Vallières;DES BASSES VALLIERES;VALLIERES;136588636,323511564
CHEMIN;Chemin des Cailloux;DES CAILLOUX;CAILLOUX;89201191
CHEMIN;Chemin des Eclapons;DES ECLAPONS;ECLAPONS;117738241
CHEMIN;Chemin des Fournieres;DES FOURNIERES;FOURNIERES;35576771,35576776,321299670
CHEMIN;Chemin des Goules;DES GOULES;GOULES;134580059
CHEMIN;Chemin des Grabelières;DES GRABELIERES;GRABELIERES;136590998,332386819
CHEMIN;Chemin des Marchaudières;DES MARCHAUDIERES;MARCHAUDIERES;321318197
CHEMIN;Chemin des Pesses;DES PESSES;PESSES;312575899,313962868,443226732
CHEMIN;Chemin des Plattes;DES PLATTES;PLATTES;117738244
CHEMIN;Chemin des Ronzières;DES RONZIERES;RONZIERES;117738243,331206130
CHEMIN;Chemin des Sapins;DES SAPINS;SAPINS;136591007
CHEMIN;Chemin du Bio;DU BIO;BIO;320960140
CHEMIN;Chemin du Bois des Côtes;DU BOIS DES COTES;COTES;136588632,322890728
IMPASSE;Impasse Grande Charrière;GRANDE CHARRIERE;CHARRIERE;144608977
IMPASSE;Impasse Grolée;GROLEE;GROLEE;144592593
IMPASSE;Impasse Marie Pitiot;MARIE PITIOT;PITIOT;144592595
IMPASSE;Impasse Puits Sans Poulie;PUITS SANS POULIE;POULIE;321309646
IMPASSE;Impasse Verzier;VERZIER;VERZIER;321302278
IMPASSE;Impasse de Montbel;DE MONTBEL;MONTBEL;136570842
IMPASSE;Impasse de Trêves;DE TREVES;TREVES;67397812,67397817
IMPASSE;Impasse de la Guillotière;DE LA GUILLOTIERE;GUILLOTIERE;321302279
IMPASSE;Impasse du Brochay;DU BROCHAY;BROCHAY;144592597
;Le Clos Chevalier;LE CLOS CHEVALIER;CHEVALIER;136588637
;Le Parc des Cèdres;LE PARC DES CEDRES;CEDRES;136588629,136588633,136588635
;Le Parc du Chateau;LE PARC DU CHATEAU;CHATEAU;136588630,321307322
PLACE;Place Jean Marie Chevalier;JEAN MARIE CHEVALIER;CHEVALIER;321299671
PLACE;Place Neuve;NEUVE;NEUVE;321302280
PLACE;Place de la Résistance;DE LA RESISTANCE;RESISTANCE;67397813
PLACE;Place du Souvenir;DU SOUVENIR;SOUVENIR;117738242,188090940,312580661
ROUTE;Route d'Irigny;D IRIGNY;IRIGNY;141971734
ROUTE;Route de Brignais;DE BRIGNAIS;BRIGNAIS;76730112
ROUTE;Route de Charly;DE CHARLY;CHARLY;89201195,156013670,156013673,224734318,224734319
ROUTE;Route de Lyon;DE LYON;LYON;4945239,117738247,608817834
ROUTE;Route des Esses;DES ESSES;ESSES;117738246
ROUTE;Route des Sept Chemins;DES SEPT CHEMINS;CHEMINS;100662578
ROUTE;Route du Bas Privas;DU BAS PRIVAS;PRIVAS;321543001
ROUTE;Route du Millénaire;DU MILLENAIRE;MILLENAIRE;240337388,407886031,407886032,407886034
RUE;Rue Bertrange Imeldange;BERTRANGE IMELDANGE;IMELDANGE;35575963,35575965,35576777,67397819
RUE;Rue Champin Jaillet;CHAMPIN JAILLET;JAILLET;136570841
RUE;Rue Charles De Gaulle;CHARLES DE GAULLE;GAULLE;73908657,73908658
RUE;Rue Grande Charrière;GRANDE CHARRIERE;CHARRIERE;136570776,136570777
RUE;Rue Jean-Baptiste Mermet;JEAN BAPTISTE MERMET;MERMET;89201201
RUE;Rue Jean-Marie Chevalier;JEAN MARIE CHEVALIER;CHEVALIER;67397818,136578682,136578683,371691703,371691706
RUE;Rue Louis Querbes;LOUIS QUERBES;QUERBES;136570778
RUE;Rue Louis Vernay;LOUIS VERNAY;VERNAY;35577633,138693162,321290353
RUE;Rue Pauline Jaricot;PAULINE JARICOT;JARICOT;73908652,73908653,73908655,73908656,73908659
RUE;Rue de Champemin;DE CHAMPEMIN;CHAMPEMIN;35577630,35577632,35577635,136570775
RUE;Rue de Coutois;DE COUTOIS;COUTOIS;148312431
RUE;Rue de Verdun;DE VERDUN;VERDUN;67397816
RUE;Rue de l'Église;DE L EGLISE;EGLISE;67397815
RUE;Rue de la Combe;DE LA COMBE;COMBE;321315478
RUE;Rue de la Gare;DE LA GARE;GARE;136570773
RUE;Rue de la Rumeyere;DE LA RUMEYERE;RUMEYERE;35577637
RUE;Rue des Couttraches;DES COUTTRACHES;COUTTRACHES;136570780,136570781
RUE;Rue des Hauts de Montbel;DES HAUTS DE MONTBEL;MONTBEL;136570779
RUE;Rue des Vallières;DES VALLIERES;VALLIERES;35575944,35575951,35576778,407886035,407886036
RUE;Rue du Pont à Lunettes;DU PONT A LUNETTES;LUNETTES;321319843
RUE;Rue du Progrès;DU PROGRES;PROGRES;35577634
