voie;name;name_norm;last_word_norm;ways
;C2;C2;NARDIN;127541030
CHEMIN;Chemin Bouton;BOUTON;PERNEY;191884376
CHEMIN;Chemin de Poligny;DE POLIGNY;POLIGNY;323793743
CHEMIN;Chemin de Puseau;DE PUSEAU;PUSEAU;191884366
CHEMIN;Chemin des Chenevières;DES CHENEVIERES;CHENEVIERES;323793744
CHEMIN;Chemin des Échavais;DES ECHAVAIS;ECHAVAIS;191884367
CHEMIN;Chemin du Château;DU CHATEAU;CHATEAU;191884368
CHEMIN;Chemin du Planchet;DU PLANCHET;PLANCHET;191884369
CHEMIN;Chemin du Pré Renaud;DU PRE RENAUD;RENAUD;323793745
IMPASSE;Impasse du Planchet;DU PLANCHET;PLANCHET;323793746
ROUTE;Route de Châteney;DE CHATENEY;CHATENEY;325303131
ROUTE;Route de Servigney;DE SERVIGNEY;SERVIGNEY;323793748
RUE;Rue Basse;BASSE;NARDIN;127539793
RUE;Rue de Lavau;DE LAVAU;LAVAU;190429683
RUE;Rue de la Corne d'Aillot;DE LA CORNE D AILLOT;AILLOT;191884370
RUE;Rue de la Place;DE LA PLACE;PLACE;190429691,323793761,323793768
RUE;Rue du Planchet;DU PLANCHET;PLANCHET;191884371,323793749,323793750
RUE;Rue du Pont de Luge;DU PONT DE LUGE;LUGE;323793751,323793752,323793753
RUE;Rue du Pré Perney;DU PRE PERNEY;PERNEY;191884374
RUELLE;Ruelle de la Fontaine;DE LA FONTAINE;FONTAINE;323793754
