voie;name;name_norm;last_word_norm;ways
;Chemin Rural;CHEMIN RURAL;RURAL;39094492,39094493,84907542,193793942,193793944,193793945
CHEMIN;Chemin d'Association Foncière;D ASSOCIATION FONCIERE;FONCIERE;39229741
;Grande Rue;GRANDE RUE;RUE;39229743,58407468,221928912
PLACE;Place de la Fontaine;DE LA FONTAINE;FONTAINE;264198113
RIVE;Rives de Saône;S DE SAONE;SAONE;39094491,39094494,51382659,58407478,58407493
ROUTE;Route de Ray;DE RAY;RAY;39166851
RUE;Rue Derrière le Four;DERRIERE LE FOUR;FOUR;529751887
RUE;Rue Neuve;NEUVE;NEUVE;264198125
RUE;Rue de Chaverot;DE CHAVEROT;CHAVEROT;529751883
RUE;Rue de l'Église;DE L EGLISE;EGLISE;39229742
RUE;Rue de la Charme;DE LA CHARME;CHARME;264198124
RUE;Rue de la Ravotte;DE LA RAVOTTE;RAVOTTE;264198119
RUE;Rue des Huches;DES HUCHES;HUCHES;529751879
RUE;Rue du Callot;DU CALLOT;CALLOT;529751873
RUE;Rue du Murger;DU MURGER;MURGER;529751891
RUE;Rue du Pont;DU PONT;PONT;58407498,529751893
RUE;Rue du Stade;DU STADE;STADE;333438416
