voie;name;name_norm;last_word_norm;ways
CHAMP;Champs Cauquin;S CAUQUIN;CAUQUIN;317034137
CHEMIN;Chemin Derrière Chez Patret;DERRIERE CHEZ PATRET;PATRET;317034138
CHEMIN;Chemin de la Grande Roche;DE LA GRANDE ROCHE;ROCHE;317034139
CHEMIN;Chemin des Saumurs;DES SAUMURS;SAUMURS;317034140
;Derrière Chez Patret;DERRIERE CHEZ PATRET;PATRET;219405446
;Grande Rue;GRANDE RUE;RUE;317034144
LOTISSEMENT;Lotissement Le Moulin;LE MOULIN;MOULIN;197151006
PLACE;Place de l'Église;DE L EGLISE;EGLISE;197151004
PONT;Pont Métallique;METALLIQUE;METALLIQUE;327611814
;Pré Preigney;PRE PREIGNEY;PREIGNEY;317034145
ROUTE;Route de Breurey-lès-Faverney;DE BREUREY LES FAVERNEY;FAVERNEY;197151007
ROUTE;Route de Conflans-sur-Lanterne;DE CONFLANS SUR LANTERNE;LANTERNE;317034146
RUE;Rue de Prairot;DE PRAIROT;PRAIROT;317034147
RUE;Rue de l'Église;DE L EGLISE;EGLISE;317034148
RUE;Rue de la Charrière Aux Lièvres;DE LA CHARRIERE AUX LIEVRES;LIEVRES;317034149
RUE;Rue de la Croix de l'Eauvotte;DE LA CROIX DE L EAUVOTTE;EAUVOTTE;317034150
RUE;Rue de la Haie de Courcelles;DE LA HAIE DE COURCELLES;COURCELLES;122228960
RUE;Rue de la Prairie;DE LA PRAIRIE;PRAIRIE;317034151
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;197151005
RUE;Rue du Pont;DU PONT;PONT;197151003
RUE;Rue du Pré des Vernes;DU PRE DES VERNES;VERNES;317034152
