voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin aux Bruyères;AUX BRUYERES;BRUYERES;60788772
CHEMIN;Chemin de Planche Voye;DE PLANCHE VOYE;VOYE;91014683
CHEMIN;Chemin des Chailles;DES CHAILLES;CHAILLES;60788773
HAMEAU;Hameau Grange Rouge;GRANGE ROUGE;ROUGE;60729290
HAMEAU;Hameau Les Graviers;LES GRAVIERS;GRAVIERS;330470704
HAMEAU;Hameau de la Rouchotte;DE LA ROUCHOTTE;ROUCHOTTE;330470705
ROUTE;Route d'Esprels;D ESPRELS;ESPRELS;330470706
ROUTE;Route de Chassey;DE CHASSEY;CHASSEY;215209480
RUE;Rue de la Biche;DE LA BICHE;BICHE;190500057
RUE;Rue de la Grande Fontaine;DE LA GRANDE FONTAINE;FONTAINE;330470707
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;215209481
RUE;Rue de la Maison du Vau;DE LA MAISON DU VAU;VAU;215209478
RUE;Rue de la Tuilerie;DE LA TUILERIE;TUILERIE;215209479
RUE;Rue des Vignes;DES VIGNES;VIGNES;215209482
RUE;Rue du Faubourg;DU FAUBOURG;FAUBOURG;330470708
