voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Mottey;DE MOTTEY;MOTTEY;210856636
CHEMIN;Chemin de Roussey;DE ROUSSEY;ROUSSEY;231676906
GRANDE RUE;Grande Rue;;TREMONCOURT;214814735,481454403,481454404
LOTISSEMENT;Lotissement de la Planche Ronde;DE LA PLANCHE RONDE;RONDE;214814739
ROUTE;Route de Contréglise;DE CONTREGLISE;CONTREGLISE;231676907
ROUTE;Route de Jussey;DE JUSSEY;JUSSEY;214814738
ROUTE;Route de Saponcourt;DE SAPONCOURT;SAPONCOURT;359783149,359784261
ROUTE;Route de Tartécourt;DE TARTECOURT;TARTECOURT;231676908
ROUTE;Route de Trémoncourt;DE TREMONCOURT;TREMONCOURT;210856638
ROUTE;Route de la Planche Ronde;DE LA PLANCHE RONDE;RONDE;210856637
