voie;name;name_norm;last_word_norm;ways
CHEMIN RURAL;Chemin Rural de la Gare Molard;DE LA GARE MOLARD;MOLARD;277038132
;GR7;GR7;GR7;344135151
PLACE;Place Philippe Malaud;PHILIPPE MALAUD;MALAUD;261237734,261237737,261237814
ROND POINT;Rond-Point des Meuniers;DES MEUNIERS;MEUNIERS;261237767
ROUTE;Route Centre-Europe Atlantique;CENTRE EUROPE ATLANTIQUE;ATLANTIQUE;4380364,4380365,4380366,180783784,180783789,180784877,180784878,234561904,234561992
ROUTE;Route de Frouge;DE FROUGE;FROUGE;181348711
ROUTE;Route de Montmelard;DE MONTMELARD;MONTMELARD;27951560
ROUTE;Route de Trambly;DE TRAMBLY;TRAMBLY;288092593
ROUTE;Route de Trivy;DE TRIVY;TRIVY;371589039
RUE;Rue Grande Rue;GRANDE RUE;RUE;371589033
RUE;Rue Jeanne Aucaigne;JEANNE AUCAIGNE;AUCAIGNE;288092310
RUE;Rue de l'Arboretum;DE L ARBORETUM;ARBORETUM;288092371
RUE;Rue de la Gendarmerie;DE LA GENDARMERIE;GENDARMERIE;232452072,261244460,261244461
RUE;Rue des Badoules;DES BADOULES;BADOULES;181348722
RUE;Rue du Cimetière;DU CIMETIERE;CIMETIERE;261244477
RUE;Rue du Stade;DU STADE;STADE;463094789
