voie;name;name_norm;last_word_norm;ways
ALLEE;Allée d'Oradour Sur Glane;D ORADOUR SUR GLANE;GLANE;206172531
ALLEE;Allée de Douaumont;DE DOUAUMONT;DOUAUMONT;206175722
ALLEE;Allée de Narvick;DE NARVICK;NARVICK;206175718
ALLEE;Allée de Stalingrad;DE STALINGRAD;STALINGRAD;206172553
ALLEE;Allée de Toul;DE TOUL;TOUL;206175757
ALLEE;Allée des Peupliers;DES PEUPLIERS;PEUPLIERS;287716046
ALLEE;Allée des Platanes;DES PLATANES;PLATANES;127713805,127713807,127713809
AVENUE;Avenue Léon Blum;LEON BLUM;BLUM;120471873,120471874,158957545,158957547
AVENUE;Avenue de la Déportation;DE LA DEPORTATION;DEPORTATION;127608720,252471951,252471954
AVENUE;Avenue du Maréchal De Lattre de Tassigny;DU MARECHAL DE LATTRE DE TASSIGNY;TASSIGNY;206183351
AVENUE;Avenue du Stade;DU STADE;STADE;127608722,127608723,127608724,252472926
BOULEVARD;Boulevard Jean Mermoz;JEAN MERMOZ;MERMOZ;120471871,120471880,127608751,127713812,127713814,127713815,127713816,127713817,127713818,127713820,127713821,127713822,127713824,127713825,127713828,127719578,206183366,206183368,206183369,206183371,206183373,206183376,206183377
;Caboulot;CABOULOT;PLATANES;127713829,127713830
CARREFOUR;Carrefour du Breuil;DU BREUIL;BREUIL;41601455
CARREFOUR;Carrefour du Guide;DU GUIDE;GUIDE;52021020
CHEMIN;Chemin Les Saulins Renard;LES SAULINS RENARD;RENARD;267478749,267478757
CHEMIN;Chemin de Mercully;DE MERCULLY;MERCULLY;267478751,267478820,287715332
CHEMIN;Chemin de Thou;DE THOU;THOU;206169072,287715734
CHEMIN;Chemin de l'Étang du Chat;DE L ETANG DU CHAT;CHAT;267478760
CHEMIN;Chemin de la Corne;DE LA CORNE;CORNE;127719573,127719574,287709949
CHEMIN;Chemin de la Goutte Uva;DE LA GOUTTE UVA;UVA;267478786
CHEMIN;Chemin de la Grande Terre;DE LA GRANDE TERRE;TERRE;206175728,287715733
CHEMIN;Chemin des Brosses;DES BROSSES;BROSSES;287715622
CHEMIN;Chemin des Couches;DES COUCHES;COUCHES;127719609
CHEMIN;Chemin des Grands Mollands;DES GRANDS MOLLANDS;MOLLANDS;267478825
CHEMIN;Chemin du Bois du Comte;DU BOIS DU COMTE;COMTE;127719613
CHEMIN;Chemin du Champ Renaud;DU CHAMP RENAUD;RENAUD;267478765
CHEMIN;Chemin du Chenolot;DU CHENOLOT;CHENOLOT;267478827
CHEMIN;Chemin du Parc;DU PARC;PARC;560115599
CHEMIN;Chemin du Ruisseau Valette;DU RUISSEAU VALETTE;VALETTE;127713832,127713833,127713835,127713836,127713837,127719575
CHEMIN;Chemin du Sauze;DU SAUZE;SAUZE;287709950
CHEMIN;Chemin du Verne;DU VERNE;VERNE;267478724
;Essanley;ESSANLEY;CONVENTION;127713857,127713858,127713860
IMPASSE;Impasse John Kennedy;JOHN KENNEDY;KENNEDY;206175756
IMPASSE;Impasse Waldeck Rochet;WALDECK ROCHET;ROCHET;206175746,206175760
IMPASSE;Impasse des Bruyères;DES BRUYERES;BRUYERES;206172543
IMPASSE;Impasse des Fredins;DES FREDINS;FREDINS;287714988,287714989
IMPASSE;Impasse des Thuyas;DES THUYAS;THUYAS;127719595
;Les Bruyères d'Abreu;LES BRUYERES D ABREU;ABREU;127713862,127713864,127713865
;Les Raux;LES RAUX;RAUX;93148169,127713867
;Les Tuberons;LES TUBERONS;TUBERONS;127608728
LOTISSEMENT;Lotissement Prè des Ganches;PRE DES GANCHES;GANCHES;127713871,127713872,127713875
PLACE;Place Général De Gaulle;GENERAL DE GAULLE;GAULLE;127608731,127608732,127608733,127608734
PLACE;Place de l'Église;DE L EGLISE;EGLISE;127608721,127713876,127713877
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;127608737,127608738,127608739,127608740,127608741,206183352,206183353,206183354
PLACE;Place des Forges;DES FORGES;FORGES;252481353,252481354,252481355
PONT;Pont Neuf;NEUF;MANS;120471867
PONT;Pont de Chazey;DE CHAZEY;CHAZEY;440832744
PONT;Pont des Champs Lianne;DES CHAMPS LIANNE;LIANNE;194146585
PONT;Pont des Ramées;DES RAMEES;RAMEES;120471886
QUAI;Quai de l'Europe;DE L EUROPE;EUROPE;127608743,202410220,202410221,252481356
QUAI;Quai de la Piscine;DE LA PISCINE;PISCINE;127608744,127608745
ROND POINT;Rond-Point Éric Tabarly;ERIC TABARLY;TABARLY;52021023
ROUTE;Route d'Issy-L'Evêque;D ISSY L EVEQUE;EVEQUE;127608746
ROUTE;Route de Bourbon Lancy;DE BOURBON LANCY;LANCY;127713880
ROUTE;Route de Chassy;DE CHASSY;CHASSY;127713883,287715035,287715036
ROUTE;Route de Digoin;DE DIGOIN;DIGOIN;41601456,127331028,127331030,158957517,158957522,158957523,158957526,158957527,158957529,158957532,158957533,158957535,287714657
ROUTE;Route de Perrecy;DE PERRECY;PERRECY;52021019,127331026,127331027
ROUTE;Route de Rigny;DE RIGNY;RIGNY;120471884,127719618,202421314,202422662,202422663
