voie;name;name_norm;last_word_norm;ways
;A Robalot;A ROBALOT;ROBALOT;245198666
;Ancien Moulin Mutin;ANCIEN MOULIN MUTIN;MUTIN;245203618,245204282,245204284
CHEMIN;Chemin d'Outry au Moulin Lecoq;D OUTRY AU MOULIN LECOQ;LECOQ;40632194
CHEMIN;Chemin de Barbin;DE BARBIN;BARBIN;317813317
CHEMIN;Chemin de Bétigny;DE BETIGNY;BETIGNY;165945208,317807460
CHEMIN;Chemin de Champ-Parroux;DE CHAMP PARROUX;PARROUX;317807906
CHEMIN;Chemin de Champ-Parroux à Mancey;DE CHAMP PARROUX A MANCEY;MANCEY;317807909
CHEMIN;Chemin de Tramblay;DE TRAMBLAY;TRAMBLAY;317809850
CHEMIN;Chemin de Tronchire;DE TRONCHIRE;TRONCHIRE;251389568,317809186
CHEMIN;Chemin des Brosses;DES BROSSES;BROSSES;251389547,251389557
CHEMIN;Chemin des Crêtes;DES CRETES;CRETES;247876647
CHEMIN;Chemin du Mouchot;DU MOUCHOT;MOUCHOT;317810563
CHEMIN;Chemin du Moulin-Tapin;DU MOULIN TAPIN;TAPIN;317813623,317813624,317813625
CHEMIN;Chemin du Pré Gauthier;DU PRE GAUTHIER;GAUTHIER;239168296,264352418,264352426
IMPASSE;Impasse de Prat;DE PRAT;PRAT;317807462
IMPASSE;Impasse des Brosses;DES BROSSES;BROSSES;251389544,251389565
IMPASSE;Impasse des Teppes;DES TEPPES;TEPPES;169374773
IMPASSE;Impasse du Lavoir;DU LAVOIR;LAVOIR;317807463
;La Grand'Cour;LA GRAND COUR;COUR;317807464
;La P'tite Rue;LA P TITE RUE;RUE;317809851
;Le Chemin Neuf;LE CHEMIN NEUF;NEUF;40632204
PLACE;Place du Calvaire;DU CALVAIRE;CALVAIRE;317807465
ROUTE;Route d'Ozenay;D OZENAY;OZENAY;245203360
ROUTE;Route de Brancion;DE BRANCION;BRANCION;317809852
ROUTE;Route de Corlay;DE CORLAY;CORLAY;317807466,317807658
ROUTE;Route du Col des Chèvres;DU COL DES CHEVRES;CHEVRES;26137921,264352398,264352399,668935313,668935314,668935315,668935316
RUE;Rue Charles Millot;CHARLES MILLOT;MILLOT;317807470
RUE;Rue Mouchot;MOUCHOT;CHEVRES;35045786
RUE;Rue Saint-Antoine;SAINT ANTOINE;ANTOINE;317813318
RUE;Rue Saint-Georges;SAINT GEORGES;GEORGES;165945203
RUE;Rue de Magnien;DE MAGNIEN;MAGNIEN;251389542,251389572
RUE;Rue de Prôle;DE PROLE;PROLE;40632203
RUE;Rue de Vers;DE VERS;VERS;40632205
RUE;Rue de la Canne;DE LA CANNE;CANNE;251389536
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;179358973,317809325
RUE;Rue de la Violette;DE LA VIOLETTE;VIOLETTE;251389566
RUE;Rue des Balouges;DES BALOUGES;BALOUGES;317810564
RUE;Rue des Granges;DES GRANGES;GRANGES;317813319
RUE;Rue des Pompes;DES POMPES;POMPES;165945192
RUE;Rue du Château;DU CHATEAU;CHATEAU;317809326
RUE;Rue du Page;DU PAGE;PAGE;317807467
RUE;Rue du Puits;DU PUITS;PUITS;602185790
VOIE COMMUNALE;Voie Communale de Royer;DE ROYER;ROYER;24212659
