voie;name;name_norm;last_word_norm;ways
CHAMP;Champ de l'Oizé;DE L OIZE;OIZE;158958321
CHEMIN;Chemin Devaux;DEVAUX;DEVAUX;179269459
CHEMIN;Chemin Sous la Folier;SOUS LA FOLIER;FOLIER;179269460
CHEMIN;Chemin de Beaumont;DE BEAUMONT;BEAUMONT;99626877
CHEMIN;Chemin de Chaimbre;DE CHAIMBRE;CHAIMBRE;179269462
CHEMIN;Chemin de Chassignole;DE CHASSIGNOLE;CHASSIGNOLE;179269463
CHEMIN;Chemin de Nanton;DE NANTON;NANTON;179269464
CHEMIN;Chemin de Rosier;DE ROSIER;ROSIER;179269465
CHEMIN;Chemin de Saint-Germain;DE SAINT GERMAIN;GERMAIN;179269466
CHEMIN;Chemin de la Berche;DE LA BERCHE;BERCHE;179269468
CHEMIN;Chemin de la Brosse;DE LA BROSSE;BROSSE;158958480
CHEMIN;Chemin de la Forêt;DE LA FORET;FORET;167910399,179269469
CHEMIN;Chemin de la Montagne;DE LA MONTAGNE;MONTAGNE;179269470
CHEMIN;Chemin de la Riclaine;DE LA RICLAINE;RICLAINE;179269472
CHEMIN;Chemin de la Riquelaine;DE LA RIQUELAINE;RIQUELAINE;179269471
CHEMIN;Chemin des Brulays;DES BRULAYS;BRULAYS;179269473
CHEMIN;Chemin des Charmiaux;DES CHARMIAUX;CHARMIAUX;179269474
CHEMIN;Chemin des Chevrenots;DES CHEVRENOTS;CHEVRENOTS;179269475
CHEMIN;Chemin des Moines;DES MOINES;MOINES;167910407,179269478,179269480
CHEMIN;Chemin des Nièvres;DES NIEVRES;NIEVRES;179269482
CHEMIN;Chemin du Bois de Poutot;DU BOIS DE POUTOT;POUTOT;179269488
CHEMIN;Chemin du Champ Millet;DU CHAMP MILLET;MILLET;158958404
CHEMIN;Chemin du Clos;DU CLOS;CLOS;179269523,179269561
CHEMIN;Chemin du Haut de Sully;DU HAUT DE SULLY;SULLY;179269490
CHEMIN;Chemin du Lavoir;DU LAVOIR;LAVOIR;179269492
CHEMIN;Chemin du Lavoir de Vincelle;DU LAVOIR DE VINCELLE;VINCELLE;179269493
CHEMIN;Chemin du Molessard;DU MOLESSARD;MOLESSARD;179269494
CHEMIN;Chemin en Rosier;EN ROSIER;ROSIER;179269495
IMPASSE;Impasse Pavée;PAVEE;PAVEE;179269496
ROUTE;Route de Laives;DE LAIVES;LAIVES;235205323,235205324
RUE;Rue Adolphe Dechenaud;ADOLPHE DECHENAUD;DECHENAUD;179269497
RUE;Rue Albert Chapot;ALBERT CHAPOT;CHAPOT;290973358
RUE;Rue Folier;FOLIER;FOLIER;179269500
RUE;Rue Saint-Antoine;SAINT ANTOINE;ANTOINE;179269498
RUE;Rue Saint-Laurent;SAINT LAURENT;LAURENT;179269499
RUE;Rue Saint-Nicolas;SAINT NICOLAS;NICOLAS;179269595
RUE;Rue de la Guiche;DE LA GUICHE;GUICHE;149277383
RUE;Rue de la Montagne;DE LA MONTAGNE;MONTAGNE;179269501
RUE;Rue des Carrières;DES CARRIERES;CARRIERES;149277405
RUE;Rue des Vaches;DES VACHES;VACHES;179269502
RUE;Rue des Vergers;DES VERGERS;VERGERS;179269503
RUE;Rue du 14 Juillet 1789;DU 14 JUILLET 1789;1789;283918943
RUE;Rue du 4 Septembre 1944;DU 4 SEPTEMBRE 1944;1944;42161185
RUE;Rue du Café;DU CAFE;CAFE;179269504
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;149277388
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;149277424
RUE;Rue du Puits;DU PUITS;PUITS;179269505
RUE;Rue du Puits Berthaud;DU PUITS BERTHAUD;BERTHAUD;179269506
RUE;Rue Égard Mouche;EGARD MOUCHE;MOUCHE;179269507
SENTIER;Sentier de la Colette;DE LA COLETTE;COLETTE;179269508
SENTIER;Sentier de la Montagne;DE LA MONTAGNE;MONTAGNE;179269509
SENTIER;Sentier des Chamessons;DES CHAMESSONS;CHAMESSONS;179269510
SENTIER;Sentier du Lavoir;DU LAVOIR;LAVOIR;179269511
