voie;name;name_norm;last_word_norm;ways
AIRE;Aire de Repos de la Brosse;DE REPOS DE LA BROSSE;BROSSE;234606131
AVENUE;Avenue Jean Jaurès;JEAN JAURES;JAURES;129531457,334382846
AVENUE;Avenue Katzweiler;KATZWEILER;KATZWEILER;42856213,501446574
AVENUE;Avenue de la Gare;DE LA GARE;GARE;129494811,369175598
CHEMIN;Chemin Ampère;AMPERE;AMPERE;129531044
CHEMIN;Chemin de Charavel;DE CHARAVEL;CHARAVEL;134756362,239762663
CHEMIN;Chemin de Grange;DE GRANGE;GRANGE;134752656,134752661,371603086
CHEMIN;Chemin de Montlièvre;DE MONTLIEVRE;MONTLIEVRE;289089603
CHEMIN;Chemin de Varennes;DE VARENNES;VARENNES;261439731,333976304
CHEMIN;Chemin de la Besse;DE LA BESSE;BESSE;327970606
CHEMIN;Chemin de la Forêt;DE LA FORET;FORET;134151592
CHEMIN;Chemin de la Garenne;DE LA GARENNE;GARENNE;134645654,291609212
CHEMIN;Chemin de la Grande Charrière;DE LA GRANDE CHARRIERE;CHARRIERE;134151582,134151604,332889664,332889679
CHEMIN;Chemin de la Grange Noly;DE LA GRANGE NOLY;NOLY;291609734,291609754
CHEMIN;Chemin de la Longe;DE LA LONGE;LONGE;357236321
CHEMIN;Chemin de la Maisonnette;DE LA MAISONNETTE;MAISONNETTE;131340051,379745731
CHEMIN;Chemin de la Salle de Daissiat;DE LA SALLE DE DAISSIAT;DAISSIAT;371603087
CHEMIN;Chemin de la Train;DE LA TRAIN;TRAIN;134756361,213208205
CHEMIN;Chemin des Bouleaux;DES BOULEAUX;BOULEAUX;263050229,327970609
CHEMIN;Chemin des Petits Champs;DES PETITS CHAMPS;CHAMPS;134645649,211490321,211490325
CHEMIN;Chemin des Teppes;DES TEPPES;TEPPES;332889666,332889675,499694194
CHEMIN;Chemin des Terriers;DES TERRIERS;TERRIERS;339622492
CHEMIN;Chemin des Vernes;DES VERNES;VERNES;284077658
CHEMIN;Chemin du Champ Bressan;DU CHAMP BRESSAN;BRESSAN;197365070
CHEMIN;Chemin du Champ Coulon;DU CHAMP COULON;COULON;131340055,384863941
CHEMIN;Chemin du Clou;DU CLOU;CLOU;197365072
CHEMIN;Chemin du Combeau;DU COMBEAU;COMBEAU;134752639,134752652,260307507,260307508
CHEMIN;Chemin du Grand Beaumartin;DU GRAND BEAUMARTIN;BEAUMARTIN;291612491,291612494
CHEMIN;Chemin du Mollard;DU MOLLARD;MOLLARD;134151583
CHEMIN;Chemin du Pain;DU PAIN;PAIN;134151587
CHEMIN;Chemin du Petit Beaumartin;DU PETIT BEAUMARTIN;BEAUMARTIN;291609735
CHEMIN;Chemin du Petit Mollard;DU PETIT MOLLARD;MOLLARD;134151609,341213538,341213540
IMPASSE;Impasse Claire;CLAIRE;CLAIRE;318221458
IMPASSE;Impasse Porcher;PORCHER;PORCHER;327071340,327071341,371603088
IMPASSE;Impasse de Bicheniche;DE BICHENICHE;BICHENICHE;134151586
IMPASSE;Impasse de Crétin;DE CRETIN;CRETIN;268046719
IMPASSE;Impasse de Daissiat;DE DAISSIAT;DAISSIAT;318523199
IMPASSE;Impasse de Dame Grange;DE DAME GRANGE;GRANGE;304687453
IMPASSE;Impasse de Grange;DE GRANGE;GRANGE;309768376
IMPASSE;Impasse de Montlièvre;DE MONTLIEVRE;MONTLIEVRE;257487034
IMPASSE;Impasse de Saint-Romain;DE SAINT ROMAIN;ROMAIN;314978762,314979146,362317592
IMPASSE;Impasse de Tremolay;DE TREMOLAY;TREMOLAY;369175699
IMPASSE;Impasse de l'Enfer;DE L ENFER;ENFER;369175599
IMPASSE;Impasse de la Baisse Léonard;DE LA BAISSE LEONARD;LEONARD;188543015
IMPASSE;Impasse de la Carronnière;DE LA CARRONNIERE;CARRONNIERE;353924958
IMPASSE;Impasse de la Clochère;DE LA CLOCHERE;CLOCHERE;333976326
IMPASSE;Impasse de la Gare;DE LA GARE;GARE;499694195
IMPASSE;Impasse de la Plaine;DE LA PLAINE;PLAINE;131340039
IMPASSE;Impasse de la Poste;DE LA POSTE;POSTE;342548916
IMPASSE;Impasse de la Serve;DE LA SERVE;SERVE;134645651,339188144,339188147,339188151,342839824
IMPASSE;Impasse de la Trofetta;DE LA TROFETTA;TROFETTA;197365044
IMPASSE;Impasse de la Vigne;DE LA VIGNE;VIGNE;131340050
IMPASSE;Impasse de la Vignette;DE LA VIGNETTE;VIGNETTE;134645645,339188140
IMPASSE;Impasse des Berberis;DES BERBERIS;BERBERIS;197365043
IMPASSE;Impasse des Biefs;DES BIEFS;BIEFS;207323483
IMPASSE;Impasse des Chanées;DES CHANEES;CHANEES;197365046
IMPASSE;Impasse des Charmilles;DES CHARMILLES;CHARMILLES;197365068
IMPASSE;Impasse des Curtils;DES CURTILS;CURTILS;197365063
IMPASSE;Impasse des Dourys;DES DOURYS;DOURYS;362621036
IMPASSE;Impasse des Guillemots;DES GUILLEMOTS;GUILLEMOTS;318377074
IMPASSE;Impasse des Lauriers;DES LAURIERS;LAURIERS;130077518
IMPASSE;Impasse des Millières;DES MILLIERES;MILLIERES;355180770,368505395,368505398,368505401
IMPASSE;Impasse des Moutons;DES MOUTONS;MOUTONS;318973993
IMPASSE;Impasse des Pâquerettes;DES PAQUERETTES;PAQUERETTES;197365071
IMPASSE;Impasse des Teppes;DES TEPPES;TEPPES;332889670
IMPASSE;Impasse des Terres Morel;DES TERRES MOREL;MOREL;134151591
IMPASSE;Impasse des Troènes;DES TROENES;TROENES;369175600
IMPASSE;Impasse des Varennes;DES VARENNES;VARENNES;333976301,333976317
IMPASSE;Impasse du Bonheur;DU BONHEUR;BONHEUR;130512142,339188149
IMPASSE;Impasse du Bout du Monde;DU BOUT DU MONDE;MONDE;357236314
IMPASSE;Impasse du Champ Court;DU CHAMP COURT;COURT;343559896,343559907
IMPASSE;Impasse du Châtaignier;DU CHATAIGNIER;CHATAIGNIER;335039756
IMPASSE;Impasse du Cimetière;DU CIMETIERE;CIMETIERE;197365050
IMPASSE;Impasse du Curtil Boule;DU CURTIL BOULE;BOULE;309768369
IMPASSE;Impasse du Grand Mollard;DU GRAND MOLLARD;MOLLARD;343559897
IMPASSE;Impasse du Loup;DU LOUP;LOUP;260307504
IMPASSE;Impasse du Paradis;DU PARADIS;PARADIS;369175601
PLACE;Place Occidentale;OCCIDENTALE;OCCIDENTALE;339188141
PLACE;Place Orientale;ORIENTALE;ORIENTALE;289089608
PLACE;Place de l'Ancienne Poste;DE L ANCIENNE POSTE;POSTE;353924792
PLACE;Place de l'Église;DE L EGLISE;EGLISE;361443819
PLACE;Place de la Forge;DE LA FORGE;FORGE;197365076
PLACE;Place du 8 Mai 1945;DU 8 MAI 1945;1945;130402805,130858604
PLACE;Place du Monument aux Morts;DU MONUMENT AUX MORTS;MORTS;130077516,334382842
PLACE;Place du Moulin;DU MOULIN;MOULIN;361443820
PLACE;Place du Musée;DU MUSEE;MUSEE;343559810
PONT;Pont de Ratenelle;DE RATENELLE;RATENELLE;23956642
ROUTE;Route de Bicheniche;DE BICHENICHE;BICHENICHE;134151597,134151602,252687987,252687990,315145544,327970620
ROUTE;Route de Chamissiat;DE CHAMISSIAT;CHAMISSIAT;134645652,181624274,181624276
ROUTE;Route de Corcelles;DE CORCELLES;CORCELLES;129436793
ROUTE;Route de Cornon;DE CORNON;CORNON;353251935
ROUTE;Route de Curciat;DE CURCIAT;CURCIAT;134754744
ROUTE;Route de Curciat-Dongalon;DE CURCIAT DONGALON;DONGALON;165811448
ROUTE;Route de Dompierre;DE DOMPIERRE;DOMPIERRE;125749340,369175602
ROUTE;Route de La Chapelle-Thècle;DE LA CHAPELLE THECLE;THECLE;129533077
ROUTE;Route de Lissiat;DE LISSIAT;LISSIAT;131058640,383317388,383317389
ROUTE;Route de Loizette;DE LOIZETTE;LOIZETTE;131340047
ROUTE;Route de Louhans;DE LOUHANS;LOUHANS;166343899,181624169,181624170,181624171,181624172,181624173,181624174,257487021,257487022
ROUTE;Route de Montlièvre;DE MONTLIEVRE;MONTLIEVRE;289089602
ROUTE;Route de Montpont;DE MONTPONT;MONTPONT;227176864,362937641
ROUTE;Route de Pont-de-Vaux;DE PONT DE VAUX;VAUX;369175603
ROUTE;Route de Prognat;DE PROGNAT;PROGNAT;130576845
