voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Clos du Bois des Dames;CLOS DU BOIS DES DAMES;DAMES;374979085
ALLEE;Allée de Futigny;DE FUTIGNY;FUTIGNY;195422580
ALLEE;Allée de la Balme;DE LA BALME;BALME;298236477
ALLEE;Allée de la Gravière;DE LA GRAVIERE;GRAVIERE;195422581
ALLEE;Allée de la Motte;DE LA MOTTE;MOTTE;195422582
ALLEE;Allée des Résidences;DES RESIDENCES;RESIDENCES;195422583
ALLEE;Allée du 19 Mars 1962;DU 19 MARS 1962;1962;195422617
CHEMIN;Chemin de Layer;DE LAYER;LAYER;266905532
CHEMIN;Chemin de la Basse Revaillère;DE LA BASSE REVAILLERE;REVAILLERE;195422612,239887858,312452072
CHEMIN;Chemin de la Haute Revaillère;DE LA HAUTE REVAILLERE;REVAILLERE;312451972
CHEMIN;Chemin des Prés;DES PRES;PRES;195432106
CHEMIN;Chemin des Rampes;DES RAMPES;RAMPES;195427100
CHEMIN;Chemin du Dorial;DU DORIAL;DORIAL;195427102
CHEMIN;Chemin du Villey;DU VILLEY;VILLEY;195432107
IMPASSE;Impasse du Bois Chanus;DU BOIS CHANUS;CHANUS;501039030
;La Borduelle;LA BORDUELLE;BORDUELLE;249256222
;La Petite Margot;LA PETITE MARGOT;MARGOT;312450740
LOTISSEMENT;Lotissement Les Jardins de Saint-Germain;LES JARDINS DE SAINT GERMAIN;GERMAIN;312450703
PLACE;Place du 11 Novembre 1918;DU 11 NOVEMBRE 1918;1918;298236481,298236482
PLACE;Place du Marché;DU MARCHE;MARCHE;26138094,298236483
ROUTE;Route de Chalon;DE CHALON;CHALON;239887812,239887813,298236480,298236486,660546393,660546394,660546395
ROUTE;Route de Louhans;DE LOUHANS;LOUHANS;22871156,358214226,358214228,607435651,607435652
ROUTE;Route de Marenoire;DE MARENOIRE;MARENOIRE;325707029
ROUTE;Route de Mervans;DE MERVANS;MERVANS;298236489
ROUTE;Route de Pierre de Bresse;DE PIERRE DE BRESSE;BRESSE;298236491
ROUTE;Route de Saint-Germain;DE SAINT GERMAIN;GERMAIN;298322694
ROUTE;Route de Saint-Germain du Bois;DE SAINT GERMAIN DU BOIS;BOIS;298236492
ROUTE;Route de Saint-Germain-du-Bois;DE SAINT GERMAIN DU BOIS;BOIS;22871155
ROUTE;Route de Sens;DE SENS;SENS;298236495,607435649,607435650,608450734,633630933
RUE;Rue Bois des Dames;BOIS DES DAMES;DAMES;195422584,195422585
RUE;Rue Bois des Rampes;BOIS DES RAMPES;RAMPES;195422586
RUE;Rue Champ Gentil;CHAMP GENTIL;GENTIL;195422587
RUE;Rue Charles Michelland;CHARLES MICHELLAND;MICHELLAND;195422589
RUE;Rue Lotissement Les 2 Étangs;LOTISSEMENT LES 2 ETANGS;ETANGS;195427088,195427089,195427090,195427091
RUE;Rue Montée du Villey;MONTEE DU VILLEY;VILLEY;312449918
RUE;Rue Pontpierre;PONTPIERRE;PONTPIERRE;195422588
RUE;Rue de Barré;DE BARRE;BARRE;231969130
RUE;Rue de Futigny;DE FUTIGNY;FUTIGNY;312450661
RUE;Rue de l'Artisanat;DE L ARTISANAT;ARTISANAT;244555785
RUE;Rue de la Chanée;DE LA CHANEE;CHANEE;195422590,195422611,195422613
RUE;Rue de la Croix Blanche;DE LA CROIX BLANCHE;BLANCHE;195427097
RUE;Rue de la Croix Rouge;DE LA CROIX ROUGE;ROUGE;298236502
RUE;Rue de la Traverse;DE LA TRAVERSE;TRAVERSE;195422591
RUE;Rue des Entreprises;DES ENTREPRISES;ENTREPRISES;602185682
RUE;Rue des Métiers;DES METIERS;METIERS;195432113
RUE;Rue des Résidences;DES RESIDENCES;RESIDENCES;195422592,195422593
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;195432103
RUE;Rue du Curtil Berthot;DU CURTIL BERTHOT;BERTHOT;325705035
