voie;name;name_norm;last_word_norm;ways
AUTOROUTE;Autoroute du Soleil;DU SOLEIL;SOLEIL;177893060,177893065,665333431
;Aux Bornes;AUX BORNES;BORNES;149119189
;Chassagne;CHASSAGNE;EPRAILLONS;149119156
CHEMIN;Chemin de la Béjarde;DE LA BEJARDE;BEJARDE;149136635,149136642
CHEMIN;Chemin de la Collonge;DE LA COLLONGE;COLLONGE;130755326
CHEMIN;Chemin de la Procession;DE LA PROCESSION;PROCESSION;149145816
CHEMIN;Chemin de la Saône;DE LA SAONE;SAONE;602540427
CHEMIN;Chemin des Creys;DES CREYS;CREYS;149136622
CHEMIN;Chemin des Epraillons;DES EPRAILLONS;EPRAILLONS;130755327,149119177,149119190,283410834
CHEMIN;Chemin des Grandes Terres;DES GRANDES TERRES;TERRES;149119193
CHEMIN;Chemin des Perrières Cailles;DES PERRIERES CAILLES;CAILLES;149145769
CHEMIN;Chemin des Plantes;DES PLANTES;PLANTES;149142852
CHEMIN;Chemin des Teppes;DES TEPPES;TEPPES;283412895
CHEMIN;Chemin des Verchères;DES VERCHERES;VERCHERES;283411225
CHEMIN;Chemin du By;DU BY;BY;130755343
CHEMIN;Chemin du Charrion;DU CHARRION;CHARRION;149136613,283413524
CHEMIN;Chemin du Port d'Asnieres;DU PORT D ASNIERES;ASNIERES;263901294
CLOS;Clos de la Chapelle;DE LA CHAPELLE;CHAPELLE;149145770
IMPASSE;Impasse Maconnaise;MACONNAISE;TRABOULE;317344988
IMPASSE;Impasse Saint-Vincent;SAINT VINCENT;VINCENT;149145804
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;283412260
IMPASSE;Impasse de la Traboule;DE LA TRABOULE;TRABOULE;287300066
IMPASSE;Impasse des Alouettes;DES ALOUETTES;ALOUETTES;149119175
IMPASSE;Impasse des Canaris;DES CANARIS;CANARIS;149119191,149119198
IMPASSE;Impasse des Cigognes;DES CIGOGNES;CIGOGNES;149119167
IMPASSE;Impasse des Escarons;DES ESCARONS;ESCARONS;149119182
IMPASSE;Impasse des Hirondelles;DES HIRONDELLES;HIRONDELLES;149119162,149119166
IMPASSE;Impasse des Lauriers;DES LAURIERS;LAURIERS;283411594
IMPASSE;Impasse des Lilas;DES LILAS;LILAS;283411593
IMPASSE;Impasse des Perdrix;DES PERDRIX;PERDRIX;149119179
IMPASSE;Impasse des Platières;DES PLATIERES;PLATIERES;149149087
IMPASSE;Impasse des Rosiers;DES ROSIERS;ROSIERS;287299242
IMPASSE;Impasse des Rossignols;DES ROSSIGNOLS;ROSSIGNOLS;149119163
IMPASSE;Impasse des Sombardiers;DES SOMBARDIERS;SOMBARDIERS;149119197
IMPASSE;Impasse des Vieilles Pierres;DES VIEILLES PIERRES;PIERRES;287299186
IMPASSE;Impasse des Vignes Blaisons;DES VIGNES BLAISONS;BLAISONS;149122858
IMPASSE;Impasse du Bief;DU BIEF;BIEF;287299127
IMPASSE;Impasse du Fournil;DU FOURNIL;FOURNIL;251219759
IMPASSE;Impasse du Maronnier;DU MARONNIER;MARONNIER;283412261
IMPASSE;Impasse du Puits;DU PUITS;PUITS;287299061
IMPASSE;Impasse du Vieux Château;DU VIEUX CHATEAU;CHATEAU;287298311
IMPASSE;Impasse du Vieux Clocher;DU VIEUX CLOCHER;CLOCHER;199744712
;Les Jonchets;LES JONCHETS;JONCHETS;130755332
;Les Verchères;LES VERCHERES;VERCHERES;149145771
PLACE;Place de l'Église;DE L EGLISE;EGLISE;283412262
PLACE;Place de la Boulaye;DE LA BOULAYE;BOULAYE;287299188
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;287298306
PLACETTE;Placette des Épraillons;DES EPRAILLONS;EPRAILLONS;149119155,283411046
ROUTE;Route Nationale 6;NATIONALE 6;6;601773201
ROUTE;Route de Saint-Jean;DE SAINT JEAN;JEAN;283413853
ROUTE;Route de Sennece;DE SENNECE;SENNECE;149119159
ROUTE;Route de Senozan;DE SENOZAN;SENOZAN;283411226
ROUTE;Route de la Gare;DE LA GARE;GARE;149142484
ROUTE;Route des Carrières;DES CARRIERES;CARRIERES;130755324,130755336,283410770
ROUTE;Route des Chevrières;DES CHEVRIERES;CHEVRIERES;130755325,283410771
RUE;Rue de la Fontaine Berthillier;DE LA FONTAINE BERTHILLIER;BERTHILLIER;283412263,283412264
RUE;Rue de la Gare;DE LA GARE;GARE;362950667
RUE;Rue de la Madone;DE LA MADONE;MADONE;130755339,130755345
RUE;Rue des Bouvreuils;DES BOUVREUILS;BOUVREUILS;149119176
RUE;Rue des Champs;DES CHAMPS;CHAMPS;149119181
RUE;Rue des Hirondelles;DES HIRONDELLES;HIRONDELLES;287298444
RUE;Rue des Jardins;DES JARDINS;JARDINS;149119185
RUE;Rue des Loriots;DES LORIOTS;LORIOTS;149119192
RUE;Rue des Mésanges;DES MESANGES;MESANGES;149119188
RUE;Rue des Pinsons;DES PINSONS;PINSONS;149119178
RUE;Rue des Sombardiers;DES SOMBARDIERS;SOMBARDIERS;149119160
RUE;Rue des Sources;DES SOURCES;SOURCES;149118409
RUE;Rue des Sports;DES SPORTS;SPORTS;130755333
RUE;Rue du Bief Chevillon;DU BIEF CHEVILLON;CHEVILLON;149119186
RUE;Rue du Centre;DU CENTRE;CENTRE;130755328
RUE;Rue du Commerce;DU COMMERCE;COMMERCE;130755348,149117801
RUE;Rue du Mortier;DU MORTIER;MORTIER;130755323,283411228
RUE;Rue du Onze Novembre;DU ONZE NOVEMBRE;NOVEMBRE;283411595
RUE;Rue du Vieux Château;DU VIEUX CHATEAU;CHATEAU;149119173
VOIE;Voie Bleue;BLEUE;SOLEIL;195646413,298751334,298751335,298751336
