voie;name;name_norm;last_word_norm;ways
;A la Perrière;A LA PERRIERE;PERRIERE;283425748,317969002,317969011
;A la Prière;A LA PRIERE;PRIERE;283425749
;A la Rue;A LA RUE;RUE;122237925
CHEMIN;Chemin du Fourneau;DU FOURNEAU;FOURNEAU;260779815,260779819
;Derrière l'Église;DERRIERE L EGLISE;EGLISE;103127486,283425750
;En Champ Rouen;EN CHAMP ROUEN;ROUEN;337533610
;En Renaudon;EN RENAUDON;RENAUDON;283425752
IMPASSE;Impasse du Puits;DU PUITS;PUITS;260779818
;La Croisère;LA CROISERE;CROISERE;356084098
;Le Couvent;LE COUVENT;COUVENT;283425754
;Le Grand Pré;LE GRAND PRE;PRE;136167043
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;283425753
ROUTE;Route Centre-Europe Atlantique;CENTRE EUROPE ATLANTIQUE;ATLANTIQUE;4380647,35829631,234430721,234430722
RUE;Rue de la Loge;DE LA LOGE;LOGE;260779816
RUE;Rue du Bourg;DU BOURG;BOURG;260779821,362961482
RUE;Rue du Pontheux;DU PONTHEUX;PONTHEUX;260779820
;Vers la Croix;VERS LA CROIX;CROIX;283425755
VOIE;Voie Verte de Bourgogne du Sud;VERTE DE BOURGOGNE DU SUD;SUD;34633379,151504121,190296875,190296876,197839830,197839838,242290844,298496558,298509451
