voie;name;name_norm;last_word_norm;ways
AUTOROUTE;Autoroute du Soleil;DU SOLEIL;SOLEIL;16400315,32128640,32128643,100392786,100392787,100392796,100392799,272296581,554955941,652501192
CHEMIN;Chemin de Colonge;DE COLONGE;COLONGE;42860691
CHEMIN;Chemin de la Buliat;DE LA BULIAT;BULIAT;150175815,150175828
CHEMIN;Chemin de la Croix;DE LA CROIX;CROIX;132215916
CHEMIN;Chemin de la Dame;DE LA DAME;DAME;284307256,577876502,652501191
CHEMIN;Chemin de la Richoulette;DE LA RICHOULETTE;RICHOULETTE;132215883
CHEMIN;Chemin des Grands Champs;DES GRANDS CHAMPS;CHAMPS;577876489
CHEMIN;Chemin des Longeays;DES LONGEAYS;LONGEAYS;132215920
;Giratoire Alain Girel;GIRATOIRE ALAIN GIREL;GIREL;8296721
;Lidl;LIDL;LIDL;39085110,39085113
LOTISSEMENT;Lotissement Le Clos de Malpertuis;LE CLOS DE MALPERTUIS;MALPERTUIS;150175819
ROND POINT;Rond-Point des Trois-Poully;DES TROIS POULLY;POULLY;150077800
ROUTE;Route Nationale 6;NATIONALE 6;6;142901010,240806962
ROUTE;Route de Juliénas;DE JULIENAS;JULIENAS;8296726,8296772,26431738,45059968
ROUTE;Route de Vinzelles;DE VINZELLES;VINZELLES;284307255
ROUTE;Route des Allemands;DES ALLEMANDS;ALLEMANDS;285014712,606157852
ROUTE;Route des Galopières;DES GALOPIERES;GALOPIERES;103123344,287549453
RUE;Rue Aux Bourgeois;AUX BOURGEOIS;BOURGEOIS;371586725
RUE;Rue Sonia Rolland;SONIA ROLLAND;ROLLAND;38967074
RUE;Rue de Banand;DE BANAND;BANAND;287688316
RUE;Rue de Bresse;DE BRESSE;BRESSE;300852618
RUE;Rue de Malpertuis;DE MALPERTUIS;MALPERTUIS;132215911
RUE;Rue de Meziat;DE MEZIAT;MEZIAT;371586727
RUE;Rue de Sency;DE SENCY;SENCY;284450708
RUE;Rue de l'Église;DE L EGLISE;EGLISE;132215887
RUE;Rue de la Bruyère;DE LA BRUYERE;BRUYERE;103123567
RUE;Rue de la Cadole;DE LA CADOLE;CADOLE;132215891,150175830
RUE;Rue de la Calatière;DE LA CALATIERE;CALATIERE;132215949
RUE;Rue de la Cense;DE LA CENSE;CENSE;371586728
RUE;Rue de la Condemine;DE LA CONDEMINE;CONDEMINE;39095147
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;132215948
RUE;Rue des Buchardières;DES BUCHARDIERES;BUCHARDIERES;132215915
RUE;Rue des Cadots;DES CADOTS;CADOTS;287549455,431664750,431664756
RUE;Rue des Closailles;DES CLOSAILLES;CLOSAILLES;270195096
RUE;Rue des Foreys;DES FOREYS;FOREYS;132215934
RUE;Rue des Guillots;DES GUILLOTS;GUILLOTS;38967069
RUE;Rue des Morands;DES MORANDS;MORANDS;577876500
RUE;Rue des Prés Longs;DES PRES LONGS;LONGS;132215921,132215924,150175820,521178942
RUE;Rue des Pétaux;DES PETAUX;PETAUX;132215894
RUE;Rue des Quarts;DES QUARTS;QUARTS;132215879
RUE;Rue des Sources;DES SOURCES;SOURCES;287687686
RUE;Rue des Verchères;DES VERCHERES;VERCHERES;287548528
RUE;Rue du Bourg;DU BOURG;BOURG;61095938,362950664
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;132215927
RUE;Rue du Paradis;DU PARADIS;PARADIS;132215901,287688315
RUE;Rue du Pre du Breuil;DU PRE DU BREUIL;BREUIL;220332272
RUE;Rue du Pré du Breuil;DU PRE DU BREUIL;BREUIL;132215953
TERRE;Terre Cardon;CARDON;CARDON;431664749,431664754,431664761
