voie;name;name_norm;last_word_norm;ways
;CR 12;CR 12;12;573183870
;CR 14;CR 14;14;185696236,573170593
;CR 16;CR 16;16;665121702
;CR 6;CR 6;6;573132696,665119463
;CR 8;CR 8;8;573132692
CHEMIN;Chemin de la Vallée à la Hannetrie;DE LA VALLEE A LA HANNETRIE;HANNETRIE;521222133
CHEMIN;Chemin des Écoliers;DES ECOLIERS;ECOLIERS;301652106
;Lotissemen le Petit Lusseau;LOTISSEMEN LE PETIT LUSSEAU;LUSSEAU;185693406,185693416
LOTISSEMENT;Lotissement les Charmilles;LES CHARMILLES;CHARMILLES;185693415
PLACE;Place de l'Église;DE L EGLISE;EGLISE;185693420
ROUTE;Route de Conflans;DE CONFLANS;CONFLANS;185693413
RUE;Rue Principale;PRINCIPALE;PRINCIPALE;301652123,406006904,406006905
RUE;Rue du Boutry;DU BOUTRY;BOUTRY;118767167
RUE;Rue du Coteau;DU COTEAU;COTEAU;118767261
RUE;Rue du Tertre;DU TERTRE;TERTRE;301652124
RESIDENCE;Résidence de la Tesserie;DE LA TESSERIE;TESSERIE;185693404,185693408
;écluse;ECLUSE;ECLUSE;573112501
