voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Albert Gleizes;ALBERT GLEIZES;GLEIZES;36939014
ALLEE;Allée Azay le Rideau;AZAY LE RIDEAU;RIDEAU;532692197,532692198
ALLEE;Allée Barbara;BARBARA;SAUVAGE;37429498,516123421
ALLEE;Allée Camping;CAMPING;PERRIN;36938146,255969519
ALLEE;Allée Catherine Sauvage;CATHERINE SAUVAGE;SAUVAGE;37429497
ALLEE;Allée Charles Godefroy;CHARLES GODEFROY;GODEFROY;150698839
ALLEE;Allée Charlotte Roimarmier;CHARLOTTE ROIMARMIER;ROIMARMIER;37721876
ALLEE;Allée Félix Bayle;FELIX BAYLE;BAYLE;259165794
ALLEE;Allée Félix Leclerc;FELIX LECLERC;LECLERC;37429487
ALLEE;Allée George Sand;GEORGE SAND;SAND;426558646
ALLEE;Allée Gilbert Romme;GILBERT ROMME;ROMME;566103116
ALLEE;Allée Jean Picard;JEAN PICARD;PICARD;37420096
ALLEE;Allée Jeanne Mancé;JEANNE MANCE;MANCE;566103098
ALLEE;Allée Jeune Garde;JEUNE GARDE;GARDE;426558647
ALLEE;Allée Jules Daudet;JULES DAUDET;DAUDET;566103095
ALLEE;Allée La Fontaine;LA FONTAINE;FONTAINE;284032054
ALLEE;Allée Lavoisier;LAVOISIER;MOTTAIE;271936757
ALLEE;Allée Louise Michel;LOUISE MICHEL;MICHEL;284032057
ALLEE;Allée Marcel Veau;MARCEL VEAU;VEAU;284032063
ALLEE;Allée Marie Curie;MARIE CURIE;CURIE;284032064
ALLEE;Allée Maurice Ravel;MAURICE RAVEL;RAVEL;37420087,37420114
ALLEE;Allée Olympe de Gouges;OLYMPE DE GOUGES;GOUGES;426558648
ALLEE;Allée Pablo Neruda;PABLO NERUDA;NERUDA;37420149
ALLEE;Allée Pierre Belon;PIERRE BELON;BELON;255969538
ALLEE;Allée Ponthus du Thias;PONTHUS DU THIAS;THIAS;398537676
ALLEE;Allée Raoul Chauchet;RAOUL CHAUCHET;CHAUCHET;37429466
ALLEE;Allée Ray Charles;RAY CHARLES;CHARLES;566103111
ALLEE;Allée René Gassion;RENE GASSION;GASSION;164722205
ALLEE;Allée Ville-Marie;VILLE MARIE;MARIE;37429488
ALLEE;Allée de Beaugency;DE BEAUGENCY;BEAUGENCY;37420058
