voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Coudraie;DE LA COUDRAIE;COUDRAIE;194004993
CHEMIN;Chemin des Pelleteries;DES PELLETERIES;PELLETERIES;299123811,299123812,309660092
COURS;Cours des Acacias;DES ACACIAS;ACACIAS;309660093
COURS;Cours des Lilas;DES LILAS;LILAS;309660094
IMPASSE;Impasse de Bellevue;DE BELLEVUE;BELLEVUE;309660096
IMPASSE;Impasse de la Fontaine;DE LA FONTAINE;FONTAINE;309660097
IMPASSE;Impasse des Glycines;DES GLYCINES;GLYCINES;309660098
IMPASSE;Impasse des Jardins;DES JARDINS;JARDINS;316869780
IMPASSE;Impasse du Boutreux;DU BOUTREUX;BOUTREUX;309660099
PLACE;Place de l'Église;DE L EGLISE;EGLISE;309660100
ROUTE;Route de Champrond;DE CHAMPROND;CHAMPROND;169341319
ROUTE;Route de Vibraye au Pont d'Iverny;DE VIBRAYE AU PONT D IVERNY;IVERNY;169339113,169341320,169341321
RUE;Rue Alexandre Legros;ALEXANDRE LEGROS;LEGROS;309660101
RUE;Rue Charles-Eugène Bory;CHARLES EUGENE BORY;BORY;309660102
RUE;Rue Principale;PRINCIPALE;BORY;309660103,356779729
RUE;Rue Rose Rouge;ROSE ROUGE;ROUGE;194004995
RUE;Rue de Bellevue;DE BELLEVUE;BELLEVUE;309660104
RUE;Rue de Saint-Jean-des-Échelles;DE SAINT JEAN DES ECHELLES;ECHELLES;194004977
RUE;Rue de Villaines;DE VILLAINES;VILLAINES;194004975
RUE;Rue de l'Église;DE L EGLISE;EGLISE;309660105
RUE;Rue de la Chesnaie;DE LA CHESNAIE;CHESNAIE;194004987
RUE;Rue des Aubépines;DES AUBEPINES;AUBEPINES;309660106
RUE;Rue des Charmilles;DES CHARMILLES;CHARMILLES;309660107,309660108
RUE;Rue des Noyers;DES NOYERS;NOYERS;309660123
RUE;Rue des Rochers;DES ROCHERS;ROCHERS;309660109
RUE;Rue des Rosiers;DES ROSIERS;ROSIERS;309660110
RUE;Rue des Sablons;DES SABLONS;SABLONS;309660120,309660124
RUE;Rue du Pâtis;DU PATIS;PATIS;309660111
RUE;Rue du Vivier;DU VIVIER;VIVIER;194004978
RUELLE;Ruelle des Écoles;DES ECOLES;ECOLES;309660112,309660113
;Vieille Rue;VIEILLE RUE;RUE;194004994
