voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de la Cour;DE LA COUR;COUR;159328084
ALLEE;Allée des Rosiers;DES ROSIERS;ROSIERS;136161893,159328119,159328123
CHEMIN;Chemin de la Grange;DE LA GRANGE;GRANGE;323229554
CHEMIN;Chemin des Bergeons;DES BERGEONS;BERGEONS;159328073
CHEMIN;Chemin des Ouches;DES OUCHES;OUCHES;472368123
CHEMIN;Chemin du Verger;DU VERGER;VERGER;159328066
;L'Océane;L OCEANE;OCEANE;123276561,123276562
;Le Clos de la Molière;LE CLOS DE LA MOLIERE;MOLIERE;472368119
PLACE;Place de l'Église;DE L EGLISE;EGLISE;159328081,159328104,539699322
ROUTE;Route de La Rainière;DE LA RAINIERE;RAINIERE;568653920
ROUTE;Route de la Motte;DE LA MOTTE;MOTTE;136161926,568653129
ROUTE;Route de la Rainière;DE LA RAINIERE;RAINIERE;323229555,568653122
ROUTE;Route du Bailleul;DU BAILLEUL;BAILLEUL;129752920,568653132
RUE;Rue Principale;PRINCIPALE;BERGEONS;159328074,472368121
RUE;Rue d'Espagne;D ESPAGNE;ESPAGNE;664602051
RUE;Rue d'Italie;D ITALIE;ITALIE;136161928
RUE;Rue de Belgique;DE BELGIQUE;BELGIQUE;61973086
RUE;Rue de Lettonie;DE LETTONIE;LETTONIE;136161937
RUE;Rue de Précigné;DE PRECIGNE;PRECIGNE;472368122
RUE;Rue de l'École;DE L ECOLE;ECOLE;159328067,159328121
RUE;Rue de la Molière;DE LA MOLIERE;MOLIERE;245478998
RUE;Rue de la Touasse;DE LA TOUASSE;TOUASSE;136161897,159328076,159328099,159328108
RUE;Rue des Bruyères;DES BRUYERES;BRUYERES;136161939,136161943
RUE;Rue des Coquelicots;DES COQUELICOTS;COQUELICOTS;159328105
RUE;Rue du 21 Janvier;DU 21 JANVIER;JANVIER;159328068,159328097
RUE;Rue du Petit Moulin;DU PETIT MOULIN;MOULIN;159328095,159328110
