voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Connerré;DE CONNERRE;CONNERRE;257784546
CHEMIN;Chemin de Guiffray;DE GUIFFRAY;GUIFFRAY;276076580
CHEMIN;Chemin de Rue-Haute à Château-Gaillard;DE RUE HAUTE A CHATEAU GAILLARD;GAILLARD;257784545,276076582
CHEMIN;Chemin de Vibraye;DE VIBRAYE;VIBRAYE;276076584
CHEMIN;Chemin de l'Aunay;DE L AUNAY;AUNAY;182831636,226385931
CHEMIN;Chemin de l'Oison;DE L OISON;OISON;276076586
CHEMIN;Chemin de la Croix-Mignon aux Lindaines;DE LA CROIX MIGNON AUX LINDAINES;LINDAINES;169539866
CHEMIN;Chemin de la Teillaie;DE LA TEILLAIE;TEILLAIE;276076588
CHEMIN;Chemin des Bretonnières à la Pierre;DES BRETONNIERES A LA PIERRE;PIERRE;182832317
CHEMIN;Chemin des Maisons Rouges à la Teillaie;DES MAISONS ROUGES A LA TEILLAIE;TEILLAIE;182831661
CHEMIN;Chemin des Maritondes à la Mercerie;DES MARITONDES A LA MERCERIE;MERCERIE;182831639
CHEMIN;Chemin des Rues-Chèvres;DES RUES CHEVRES;CHEVRES;226385924
CHEMIN;Chemin du Châtelier et de Bel-Air;DU CHATELIER ET DE BEL AIR;AIR;182831666,226385926,276076590
CHEMIN;Chemin du Châtelier à la Jatrie;DU CHATELIER A LA JATRIE;JATRIE;182831648
CHEMIN;Chemin du Thuret;DU THURET;THURET;257784542,276076592
HAMEAU;Hameau des Creuseries;DES CREUSERIES;CREUSERIES;276076599
HAMEAU;Hameau du Closeau;DU CLOSEAU;CLOSEAU;182831622,182831629,182831644
PLACE;Place Sainte-Barbe;SAINTE BARBE;BARBE;276076601
PLACE;Place de l'Église;DE L EGLISE;EGLISE;276076603
PLACE;Place des Jardins-Judas;DES JARDINS JUDAS;JUDAS;182831653
ROUTE;Route de Conflans-sur-Anille;DE CONFLANS SUR ANILLE;ANILLE;169539869
ROUTE;Route de Coudrecieux;DE COUDRECIEUX;COUDRECIEUX;276076607
ROUTE;Route de Lavaré;DE LAVARE;LAVARE;276076609
ROUTE;Route de Montaillé;DE MONTAILLE;MONTAILLE;169999383
ROUTE;Route de Saint-Calais;DE SAINT CALAIS;CALAIS;182832311
ROUTE;Route de Semur-en-Vallon à Montaillé;DE SEMUR EN VALLON A MONTAILLE;MONTAILLE;169539870
ROUTE;Route de la Petite Touche;DE LA PETITE TOUCHE;TOUCHE;169999385
RUE;Rue Haute;HAUTE;LAVARE;276076611
RUE;Rue de la Forge;DE LA FORGE;FORGE;182831631,182831650,276076615
RUE;Rue de la Grange;DE LA GRANGE;GRANGE;182831642,182831655
RUE;Rue des Chateliers;DES CHATELIERS;CHATELIERS;169539868
RUE;Rue des Sablons;DES SABLONS;SABLONS;118925087
RUE;Rue des Sports;DES SPORTS;SPORTS;182831646
RUE;Rue des Écoles;DES ECOLES;ECOLES;276076617
RUE;Rue du Château;DU CHATEAU;CHATEAU;118925088
RUE;Rue du Gué Hubert;DU GUE HUBERT;HUBERT;276076622
RUE;Rue du Pont;DU PONT;PONT;226385933
