voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Côte Pelas;DE COTE PELAS;PELAS;178568099
CHEMIN;Chemin de Saint-Martin;DE SAINT MARTIN;MARTIN;178238820
CHEMIN;Chemin de la Générale;DE LA GENERALE;GENERALE;566421897
CHEMIN;Chemin de la Pêcherie;DE LA PECHERIE;PECHERIE;566421894
CHEMIN;Chemin des Combes;DES COMBES;COMBES;179056643
CHEMIN;Chemin des Côtes;DES COTES;COTES;179056646
CHEMIN;Chemin des Marais;DES MARAIS;MARAIS;46111182,46111224
CHEMIN;Chemin des Rochers;DES ROCHERS;ROCHERS;566421914
CHEMIN;Chemin des Rosaz;DES ROSAZ;ROSAZ;543158614
CHEMIN;Chemin des Tours de Montmayeurs;DES TOURS DE MONTMAYEURS;MONTMAYEURS;103808366,573650101
CHEMIN;Chemin du Bordat;DU BORDAT;BORDAT;204413265
CHEMIN;Chemin du Catin;DU CATIN;CATIN;179056656
ROUTE;Route de Beauregard;DE BEAUREGARD;BEAUREGARD;566421910,566421913
ROUTE;Route de Bertrand;DE BERTRAND;BERTRAND;151620913
ROUTE;Route de Pouille;DE POUILLE;POUILLE;204413263
ROUTE;Route de Saint-Jean;DE SAINT JEAN;JEAN;566421916
ROUTE;Route de Saint-Pierre;DE SAINT PIERRE;PIERRE;157590039
ROUTE;Route de Soucy;DE SOUCY;SOUCY;151621723
ROUTE;Route de Villard-Prin;DE VILLARD PRIN;PRIN;566421917
ROUTE;Route de Villaroux;DE VILLAROUX;VILLAROUX;566421900
ROUTE;Route des Domenges;DES DOMENGES;DOMENGES;566421918
ROUTE;Route des Richards;DES RICHARDS;RICHARDS;157590036
ROUTE;Route des Tours;DES TOURS;TOURS;87824562
ROUTE;Route du Lac;DU LAC;LAC;151170512
ROUTE;Route du Pont Neuf;DU PONT NEUF;NEUF;204413262
ROUTE;Route du Pont des Carts;DU PONT DES CARTS;CARTS;178238811
RUE;Rue du Chanet;DU CHANET;CHANET;204413266
RUELLE;Ruelle de Bois Rolland;DE BOIS ROLLAND;ROLLAND;566421911
RUELLE;Ruelle de Montraillant;DE MONTRAILLANT;MONTRAILLANT;566421895
RUELLE;Ruelle des Jardins;DES JARDINS;JARDINS;566421896
RUELLE;Ruelle des Lampriots;DES LAMPRIOTS;LAMPRIOTS;566421912
