voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Combarade;DE COMBARADE;COMBARADE;593706236,594290551
CHEMIN;Chemin de la Charbonnière;DE LA CHARBONNIERE;CHARBONNIERE;217812817
CHEMIN;Chemin des Fontaines;DES FONTAINES;FONTAINES;216032657
CHEMIN;Chemin des Grottes;DES GROTTES;GROTTES;215094721
CHEMIN;Chemin des Teppes;DES TEPPES;TEPPES;216032700
CHEMIN;Chemin du Cambet;DU CAMBET;CAMBET;217812818
CHEMIN;Chemin du Trémolard;DU TREMOLARD;TREMOLARD;216032723
COTE;Côte à Dagand;A DAGAND;DAGAND;216032735
;La Grande Côte Nord;LA GRANDE COTE NORD;NORD;236257820
;Le Chenet;LE CHENET;CHENET;236250983
PONT;Pont de Bange;DE BANGE;BANGE;110778631
ROUTE;Route de la Godette;DE LA GODETTE;GODETTE;216032695
ROUTE;Route des Bauges;DES BAUGES;BAUGES;34720346,669418592,669418594
ROUTE;Route à Boffé;A BOFFE;BOFFE;216032716
