voie;name;name_norm;last_word_norm;ways
ALLEE;Allée du Crotallet;DU CROTALLET;CROTALLET;371366090
ALLEE;Allée du Marais;DU MARAIS;MARAIS;144212567
;Ancienne Route;ANCIENNE ROUTE;ROUTE;150832071
CHEMIN;Chemin Chez Perraz;CHEZ PERRAZ;PERRAZ;144345846
CHEMIN;Chemin de Chez Champagnon;DE CHEZ CHAMPAGNON;CHAMPAGNON;144904017,543569043,543569044
CHEMIN;Chemin de Chez Dupuis;DE CHEZ DUPUIS;DUPUIS;145074195
CHEMIN;Chemin de Chez Ragotti;DE CHEZ RAGOTTI;RAGOTTI;144345847
CHEMIN;Chemin de Chez Ranquin;DE CHEZ RANQUIN;RANQUIN;109766310
CHEMIN;Chemin de Chez Tournier;DE CHEZ TOURNIER;TOURNIER;144345112
CHEMIN;Chemin de Riondy;DE RIONDY;RIONDY;144216134
CHEMIN;Chemin de la Côte;DE LA COTE;COTE;150832063
CHEMIN;Chemin de la Mouille;DE LA MOUILLE;MOUILLE;93872535
CHEMIN;Chemin des Biolles;DES BIOLLES;BIOLLES;109768491
CHEMIN;Chemin des Chênes;DES CHENES;CHENES;614043489
CHEMIN;Chemin des Combes;DES COMBES;COMBES;109747048
CHEMIN;Chemin des Epiniers;DES EPINIERS;EPINIERS;144905685
CHEMIN;Chemin des Fellières;DES FELLIERES;FELLIERES;122946996,144210080,144210089,144210098
CHEMIN;Chemin des Grands Prés;DES GRANDS PRES;PRES;316453113
CHEMIN;Chemin des Myrtilles;DES MYRTILLES;MYRTILLES;109761604
CHEMIN;Chemin des Peupliers;DES PEUPLIERS;PEUPLIERS;144902155
CHEMIN;Chemin du Bois Lellin;DU BOIS LELLIN;LELLIN;144217846
CHEMIN;Chemin du Bru;DU BRU;BRU;144215228
CHEMIN;Chemin du Penaz;DU PENAZ;PENAZ;109768907,494001489
CHEMIN RURAL;Chemin rural de Chez Deraison aux Meriziers;DE CHEZ DERAISON AUX MERIZIERS;MERIZIERS;163292369
CHEMIN RURAL;Chemin rural de Manant au Penaz;DE MANANT AU PENAZ;PENAZ;109772874
CHEMIN RURAL;Chemin rural des Renards au Penaz;DES RENARDS AU PENAZ;PENAZ;126447219
CHEMIN RURAL;Chemin rural des Renards au Pré du Thays;DES RENARDS AU PRE DU THAYS;THAYS;109770046
CHEMIN RURAL;Chemin rural du Penaz aux Renards;DU PENAZ AUX RENARDS;RENARDS;113467574
PLACE;Place des Marronniers;DES MARRONNIERS;MARRONNIERS;30579916
ROUTE;Route de Challande;DE CHALLANDE;CHALLANDE;145067357
ROUTE;Route de Chez Layat;DE CHEZ LAYAT;LAYAT;109761594,420873485,420873486,543569041
ROUTE;Route de Manant;DE MANANT;MANANT;109768492,281839610,281839611
ROUTE;Route de Saint-André;DE SAINT ANDRE;ANDRE;61289004,393624257
ROUTE;Route de chez Novelly;DE CHEZ NOVELLY;NOVELLY;109747233
ROUTE;Route de la Crosse;DE LA CROSSE;CROSSE;171671176,171671178,240171813,376096139
ROUTE;Route des Arolles;DES AROLLES;AROLLES;144294731
ROUTE;Route des Chevriers;DES CHEVRIERS;CHEVRIERS;150831402
ROUTE;Route des Combes;DES COMBES;COMBES;144231310,144902156
ROUTE;Route des Perriers;DES PERRIERS;PERRIERS;144212583,144223840,144224189,144224197,281839694,281839695
ROUTE;Route des Virolets;DES VIROLETS;VIROLETS;156119602
ROUTE;Route des Voirons;DES VOIRONS;VOIRONS;107571998,298015414,359823161,359823162,359823163
ROUTE;Route du Col;DU COL;COL;298015422
ROUTE;Route du Col de Cou;DU COL DE COU;COU;528217636
RUE;Rue Louis Guillermin;LOUIS GUILLERMIN;GUILLERMIN;61289000,610033497
RUE;Rue de Carraz;DE CARRAZ;CARRAZ;240171773,528217638,610236153
RUE;Rue de Saxel;DE SAXEL;SAXEL;61289002,78663933,144213260
RUE;Rue de l'École;DE L ECOLE;ECOLE;370637517
RUE;Rue de la Jonchère;DE LA JONCHERE;JONCHERE;93872534
RUE;Rue de la Menoge;DE LA MENOGE;MENOGE;93769467,376096134,528217105,583357654,609681782,609725935
RUE;Rue de la Vallée Verte;DE LA VALLEE VERTE;VERTE;144213262,523240415,613339089
RUE;Rue des Margottes;DES MARGOTTES;MARGOTTES;122924226
RUE;Rue du Bourno;DU BOURNO;BOURNO;240171839
RUE;Rue du Château;DU CHATEAU;CHATEAU;370637513
RUE;Rue du Collège;DU COLLEGE;COLLEGE;93767954,144229142,610036760,610036761,610036762
RUE;Rue du Mont-Blanc;DU MONT BLANC;BLANC;316453112
SENTIER;Sentier du Pralère;DU PRALERE;PRALERE;107864147
SENTIER;Sentier du Sauget;DU SAUGET;SAUGET;107854946
