voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin d'Avau;D AVAU;AVAU;24303938,405683986
CHEMIN;Chemin de Fossio;DE FOSSIO;FOSSIO;24228729
CHEMIN;Chemin de Penau;DE PENAU;PENAU;346391647
CHEMIN;Chemin de Sergyieu;DE SERGYIEU;SERGYIEU;23994108
CHEMIN;Chemin de Sous les Prés;DE SOUS LES PRES;PRES;346391648
CHEMIN;Chemin de Vorget;DE VORGET;VORGET;346391649
CHEMIN;Chemin de Vétrau;DE VETRAU;VETRAU;346391650
CHEMIN;Chemin de la Crosette;DE LA CROSETTE;CROSETTE;271462326,271462353
CHEMIN;Chemin de la Cure;DE LA CURE;CURE;23965315
CHEMIN;Chemin de la Mollo;DE LA MOLLO;MOLLO;346391651
CHEMIN;Chemin de la Pierre;DE LA PIERRE;PIERRE;24228735
CHEMIN;Chemin des Braccau;DES BRACCAU;BRACCAU;320866344
CHEMIN;Chemin des Champs d'Amot;DES CHAMPS D AMOT;AMOT;271462358
CHEMIN;Chemin des Grands Champs;DES GRANDS CHAMPS;CHAMPS;346391653
CHEMIN;Chemin des Grenouilles;DES GRENOUILLES;GRENOUILLES;346391654
CHEMIN;Chemin des Pêcheurs;DES PECHEURS;PECHEURS;346391655
CHEMIN;Chemin des Vignes de Frize;DES VIGNES DE FRIZE;FRIZE;234882490
CHEMIN;Chemin du Plantez;DU PLANTEZ;PLANTEZ;234882531,234882535
CHEMIN;Chemin du Renard;DU RENARD;RENARD;292310360
PLACE;Place Vieille;VIEILLE;SERGYIEU;24028213
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;346391656
ROUTE;Route d'Yvoire;D YVOIRE;YVOIRE;288998163,642752777
ROUTE;Route de Belossy;DE BELOSSY;BELOSSY;23965312
ROUTE;Route de Douvaine;DE DOUVAINE;DOUVAINE;23947359
ROUTE;Route de Frize;DE FRIZE;FRIZE;23947455
ROUTE;Route de Fécler;DE FECLER;FECLER;346391657
ROUTE;Route de Gandran;DE GANDRAN;GANDRAN;573007431
ROUTE;Route de Marcille;DE MARCILLE;MARCILLE;24248167,518895418,518895419
ROUTE;Route de Messery;DE MESSERY;MESSERY;513231599
ROUTE;Route de Partéyi;DE PARTEYI;PARTEYI;288998169,320757624,642752782,642752783,642752784
ROUTE;Route de la Pointe;DE LA POINTE;POINTE;23965293,23965295,513279136,513279137
ROUTE;Route des Repingons;DES REPINGONS;REPINGONS;23947510,288998176,478832836,590052364,642752781
RUE;Rue d'Essert;D ESSERT;ESSERT;346391658,405683987
RUE;Rue de Trai les Granges;DE TRAI LES GRANGES;GRANGES;55423793
RUE;Rue de Véret;DE VERET;VERET;23916239
RUE;Rue de la Péri Blanc;DE LA PERI BLANC;BLANC;24728703
RUE;Rue de la Seppe;DE LA SEPPE;SEPPE;23947459
RUE;Rue des Bugnon;DES BUGNON;BUGNON;24028243
RUE;Rue des Chenettes;DES CHENETTES;CHENETTES;234882478,320756218
RUE;Rue du Borgé;DU BORGE;BORGE;346391659
RUE;Rue du Bourg;DU BOURG;BOURG;288998181
RUE;Rue du Crêt;DU CRET;CRET;24304088
RUE;Rue du Lac;DU LAC;LAC;346391660
RUE;Rue du Léman;DU LEMAN;LEMAN;288998155
RUE;Rue du Moley;DU MOLEY;MOLEY;24228746,24228747,24228749
