voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de la Feuillée;DE LA FEUILLEE;FEUILLEE;345781110
ALLEE;Allée des Cyclades;DES CYCLADES;CYCLADES;25443828,113435286,113435321,124738041,295276208
ALLEE;Allée des Cèdres;DES CEDRES;CEDRES;25444514
ALLEE;Allée des Troènes;DES TROENES;TROENES;345781111
ALLEE;Allée des Écureuils;DES ECUREUILS;ECUREUILS;25452605
ALLEE;Allée du Crêt Millet;DU CRET MILLET;MILLET;25452660
ALLEE;Allée les Buis;LES BUIS;BUIS;345781112
ALLEE;Allée les Laurelles;LES LAURELLES;LAURELLES;345781113
ANCIENNE ROUTE;Ancienne Route d'Annecy;D ANNECY;ANNECY;115027959
ANCIENNE ROUTE;Ancienne Route de Lyon;DE LYON;LYON;25461459,115027980,115027981,590666901
AUTOROUTE;Autoroute Blanche;BLANCHE;ALOUA;4311477,30888615,31242296,31242297,50030686,95475338,97174154,111615189,170496707,666285948,666285949
AVENUE;Avenue Louis Armand;LOUIS ARMAND;ARMAND;8103516,75040139,115029421,115029424,115029430,170496709,338000636,547382654,547382655,547384895
AVENUE;Avenue Napoléon III;NAPOLEON III;III;25443915,25443920
AVENUE;Avenue de Genève;DE GENEVE;GENEVE;8103492,25443759,26308649,113435282,113435294,113435324,113435328,133251339,133251341,133251343,259927465,650308299
AVENUE;Avenue de Mössigen;DE MOSSIGEN;MOSSIGEN;25443775
AVENUE;Avenue de Sardaigne;DE SARDAIGNE;SARDAIGNE;25461550,25461558
AVENUE;Avenue de Ternier;DE TERNIER;TERNIER;25462034,25462079,26307965,114908617,115029418,115029419,115029422,115029428,303911232
AVENUE;Avenue de la Gare;DE LA GARE;GARE;8103489
AVENUE;Avenue des Contamines;DES CONTAMINES;CONTAMINES;25460836,25460840
AVENUE;Avenue du Docteur Palluel;DU DOCTEUR PALLUEL;PALLUEL;25452717
CHEMIN;Chemin Gdes Rasses;GDES RASSES;RASSES;25728865
CHEMIN;Chemin Notre-Dame des Champs;NOTRE DAME DES CHAMPS;CHAMPS;38415232
CHEMIN RURAL;Chemin Rural;;COTES;480438992
CHEMIN;Chemin Viollet;VIOLLET;CHATEAUX;25462239,25462661,25462668
CHEMIN;Chemin d'Huffin;D HUFFIN;HUFFIN;25790927,25790928,25790968
CHEMIN;Chemin de Bardonnex;DE BARDONNEX;BARDONNEX;25444110
CHEMIN;Chemin de Certoux;DE CERTOUX;CERTOUX;25452495,56179018,77688255,77688257,77688258,77688260,77688261,77688262,295276210,295276211,295276212,295810943,302048358
CHEMIN;Chemin de Chabloux;DE CHABLOUX;CHABLOUX;25828461
CHEMIN;Chemin de Chez Le Clerc;DE CHEZ LE CLERC;CLERC;25790402,115189785,115189803,115223106
CHEMIN;Chemin de Laconnex;DE LACONNEX;LACONNEX;25477937
CHEMIN;Chemin de Lathoy;DE LATHOY;LATHOY;250053822,250053823,250053824
CHEMIN;Chemin de l'Aqueduc;DE L AQUEDUC;AQUEDUC;25791227
CHEMIN;Chemin de la Carrière;DE LA CARRIERE;CARRIERE;38415233
CHEMIN;Chemin de la Chécande;DE LA CHECANDE;CHECANDE;32506847,50002921
CHEMIN;Chemin de la Donchère;DE LA DONCHERE;DONCHERE;428031636
CHEMIN;Chemin de la Ferme;DE LA FERME;FERME;137218814
CHEMIN;Chemin de la Mercière;DE LA MERCIERE;MERCIERE;25477560
CHEMIN;Chemin de la Perrousaz;DE LA PERROUSAZ;PERROUSAZ;38899311
CHEMIN;Chemin de la Petite Haie;DE LA PETITE HAIE;HAIE;25477837
CHEMIN;Chemin de la Praille;DE LA PRAILLE;PRAILLE;25477604
CHEMIN;Chemin de sous Pierre;DE SOUS PIERRE;PIERRE;8016630
CHEMIN;Chemin des Bys;DES BYS;BYS;25477850
CHEMIN;Chemin des Cerisiers;DES CERISIERS;CERISIERS;199127654
CHEMIN;Chemin des Chainies;DES CHAINIES;CHAINIES;78979220
CHEMIN;Chemin des Crêts d'Acier;DES CRETS D ACIER;ACIER;48059891
CHEMIN;Chemin des Devins;DES DEVINS;DEVINS;25728937,115029423
CHEMIN;Chemin des Domaines;DES DOMAINES;DOMAINES;78979217
CHEMIN;Chemin des Grands Champs;DES GRANDS CHAMPS;CHAMPS;25477527
CHEMIN;Chemin des Granges;DES GRANGES;GRANGES;25791129
CHEMIN;Chemin des Lauriers;DES LAURIERS;LAURIERS;38415234
CHEMIN;Chemin des Longues-Mailles;DES LONGUES MAILLES;MAILLES;113421984
CHEMIN;Chemin des Noisetiers;DES NOISETIERS;NOISETIERS;25452620,113421975
CHEMIN;Chemin des Près;DES PRES;PRES;25477651
CHEMIN;Chemin des Près-Berthet;DES PRES BERTHET;BERTHET;95457874
CHEMIN;Chemin des Sorbiers;DES SORBIERS;SORBIERS;25477941
CHEMIN;Chemin des Sources;DES SOURCES;SOURCES;25452612
CHEMIN;Chemin des Teppes de Lathoy;DES TEPPES DE LATHOY;LATHOY;26309329
CHEMIN;Chemin des Vignerons;DES VIGNERONS;VIGNERONS;78979218,487479521
CHEMIN;Chemin des Vignes des Cotes;DES VIGNES DES COTES;COTES;428031644
CHEMIN;Chemin du 2 Mars 1814;DU 2 MARS 1814;1814;25477963,38415227,38415229,38415230,488117665
