voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Petite Loge;DE LA PETITE LOGE;LOGE;241117247,241117248
CHEMIN;Chemin des Monts Varins;DES MONTS VARINS;VARINS;241126881,241127014
CHEMIN;Chemin des Écoliers;DES ECOLIERS;ECOLIERS;241126355
CHEMIN;Chemin du Chasse Marée;DU CHASSE MAREE;MAREE;241126353
CHEMIN;Chemin du Four à Pain;DU FOUR A PAIN;PAIN;241127015
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;241123420,241124436,655680515
CHEMIN;Chemin du Nid de Geai;DU NID DE GEAI;GEAI;241125867
ROUTE;Route d'Ennecuit;D ENNECUIT;ENNECUIT;241126880
ROUTE;Route de Bosc-Roger;DE BOSC ROGER;ROGER;241719659
ROUTE;Route de Razeran;DE RAZERAN;RAZERAN;240266726
ROUTE;Route de la Frénaye;DE LA FRENAYE;FRENAYE;165525422
ROUTE;Route de la Loge;DE LA LOGE;LOGE;240266967
ROUTE;Route de la Plaine;DE LA PLAINE;PLAINE;241719266
ROUTE;Route des Grands Bordeaux;DES GRANDS BORDEAUX;BORDEAUX;241125868
ROUTE;Route des Petits Bordeaux;DES PETITS BORDEAUX;BORDEAUX;241126354
ROUTE;Route du Four à Pain;DU FOUR A PAIN;PAIN;240266725
RUE;Rue du Château;DU CHATEAU;CHATEAU;241126620
;Sente de la Chapelle;SENTE DE LA CHAPELLE;CHAPELLE;241117791,241117792
