voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Grande Motte;DE LA GRANDE MOTTE;MOTTE;142018295
CHEMIN;Chemin de la Hêtraie;DE LA HETRAIE;HETRAIE;614414282
CHEMIN;Chemin des Blockhaus;DES BLOCKHAUS;BLOCKHAUS;110726483
CHEMIN;Chemin des Églantiers;DES EGLANTIERS;EGLANTIERS;614414276
CHEMIN;Chemin du Champ des Oiseaux;DU CHAMP DES OISEAUX;OISEAUX;614414280
CHEMIN;Chemin du Four à Chaux;DU FOUR A CHAUX;CHAUX;148566561,148566562
CHEMIN;Chemin du Patrichet;DU PATRICHET;PATRICHET;428484695
IMPASSE;Impasse de la Ravine;DE LA RAVINE;RAVINE;614414278
IMPASSE;Impasse des Violettes;DES VIOLETTES;VIOLETTES;614414279
ROUTE;Route de Montreuil;DE MONTREUIL;MONTREUIL;142019407
ROUTE;Route de Notre-Dame-du-Parc;DE NOTRE DAME DU PARC;PARC;614414284
ROUTE;Route de Saint-Hellier;DE SAINT HELLIER;HELLIER;614414283
ROUTE;Route du Parc;DU PARC;PARC;615573323
RUE;Rue du Catelier;DU CATELIER;CATELIER;383982235
