voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Campulay;DE CAMPULAY;CAMPULAY;165253143
CHEMIN;Chemin de Favières;DE FAVIERES;FAVIERES;80296033
CHEMIN;Chemin de Hyaumet;DE HYAUMET;HYAUMET;80287882,210188217
CHEMIN;Chemin de la Vieuville;DE LA VIEUVILLE;VIEUVILLE;80296043
CHEMIN;Chemin des Hulis;DES HULIS;HULIS;529165188
CHEMIN;Chemin des Planques;DES PLANQUES;PLANQUES;80296025
CHEMIN;Chemin du Beau Soleil;DU BEAU SOLEIL;SOLEIL;463416780,463416782
CHEMIN;Chemin du Long Perrier;DU LONG PERRIER;PERRIER;80287889
IMPASSE;Impasse du Long Perrier;DU LONG PERRIER;PERRIER;463416819
ROUTE;Route de Forges;DE FORGES;FORGES;612690775
ROUTE;Route de Ménerval;DE MENERVAL;MENERVAL;30750106,175502894,225798958,225798959,614682800
RUE;Rue Chouquet;CHOUQUET;MENERVAL;80250271
