voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Garenne;DE LA GARENNE;GARENNE;135970888
IMPASSE;Impasse de la Vavassorie;DE LA VAVASSORIE;VAVASSORIE;135979732,135979733
IMPASSE;Impasse du Mercatel;DU MERCATEL;MERCATEL;135979729
IMPASSE;Impasse du Ruisseau;DU RUISSEAU;RUISSEAU;135979730
PLACE;Place de l'Église;DE L EGLISE;EGLISE;135980377
PLACE;Place du Clos de la Butte;DU CLOS DE LA BUTTE;BUTTE;135968722
PLACE;Place du Marché;DU MARCHE;MARCHE;135980389
PLACE;Place du Millénaire;DU MILLENAIRE;MILLENAIRE;135968723
RUE;Rue Abbé Cochet;ABBE COCHET;COCHET;108229837
RUE;Rue André et Laurent Leconte;ANDRE ET LAURENT LECONTE;LECONTE;135981142,398158968
RUE;Rue Beau Regard;BEAU REGARD;REGARD;398158972
RUE;Rue Findley;FINDLEY;FINDLEY;135972665
RUE;Rue Massacre;MASSACRE;MASSACRE;135981144
RUE;Rue Saint-Laurent;SAINT LAURENT;LAURENT;135977505
RUE;Rue Traverse;TRAVERSE;TRAVERSE;135981146
RUE;Rue Turold;TUROLD;TUROLD;135979731
RUE;Rue d'Auberville;D AUBERVILLE;AUBERVILLE;135968406
RUE;Rue d'Hybouville;D HYBOUVILLE;HYBOUVILLE;135977510
RUE;Rue de Fauquemont;DE FAUQUEMONT;FAUQUEMONT;135967101
RUE;Rue de Torqueville;DE TORQUEVILLE;TORQUEVILLE;135977631
RUE;Rue de l'Eaulne;DE L EAULNE;EAULNE;135979734
RUE;Rue de l'Osier;DE L OSIER;OSIER;135979735
RUE;Rue de la Bouverie;DE LA BOUVERIE;BOUVERIE;135979736
RUE;Rue de la Gare;DE LA GARE;GARE;135899268,135978042,135978046
RUE;Rue de la Haie Duthuit;DE LA HAIE DUTHUIT;DUTHUIT;135899269
RUE;Rue de la Halle;DE LA HALLE;HALLE;135980378,182499966
RUE;Rue de la Tour;DE LA TOUR;TOUR;398158973
RUE;Rue des Canadiens;DES CANADIENS;CANADIENS;335369718
RUE;Rue des Coteaux;DES COTEAUX;COTEAUX;135967102,135967103,135980380
RUE;Rue des Courtils;DES COURTILS;COURTILS;135968724,135968725
RUE;Rue des Glaneuses;DES GLANEUSES;GLANEUSES;135967471
RUE;Rue des Jardinets;DES JARDINETS;JARDINETS;135981148
RUE;Rue du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;135981149
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;135980382,135981151
RUE;Rue du Bailly Bec;DU BAILLY BEC;BEC;135967472
RUE;Rue du Bois L'Abbé;DU BOIS L ABBE;ABBE;135967104
RUE;Rue du Bucq;DU BUCQ;BUCQ;135898794
RUE;Rue du Chenot;DU CHENOT;CHENOT;135898792
RUE;Rue du Choeur;DU CHOEUR;CHOEUR;135980387
RUE;Rue du Clos de la Butte;DU CLOS DE LA BUTTE;BUTTE;135968726,135968727
RUE;Rue du Farival;DU FARIVAL;FARIVAL;135968728
RUE;Rue du Fond du Calvaire;DU FOND DU CALVAIRE;CALVAIRE;135967475
RUE;Rue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;135968403,135968404,135968411,135968729
RUE;Rue du Marché;DU MARCHE;MARCHE;135980383
RUE;Rue du Mont-Blanc;DU MONT BLANC;BLANC;135979739
RUE;Rue du Moulin;DU MOULIN;MOULIN;135978043
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;135980384
RUE;Rue du Prieuré;DU PRIEURE;PRIEURE;135967105,135967106
RUE;Rue du Pré aux Vaches;DU PRE AUX VACHES;VACHES;398158974
RUE;Rue du Talou;DU TALOU;TALOU;135968730
RUE;Rue du Tortillard;DU TORTILLARD;TORTILLARD;135968731
RUE;Rue du Vieux Puits;DU VIEUX PUITS;PUITS;135967473
