voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Joséphine;JOSEPHINE;JOSEPHINE;463535976
CHEMIN;Chemin de Tous Vents;DE TOUS VENTS;VENTS;224153838,224153902
CHEMIN;Chemin de la Benardière;DE LA BENARDIERE;BENARDIERE;224153856,333212772
CHEMIN;Chemin de la Caillotière;DE LA CAILLOTIERE;CAILLOTIERE;166142296
CHEMIN;Chemin de la Champignonière;DE LA CHAMPIGNONIERE;CHAMPIGNONIERE;463535975
CHEMIN;Chemin des Cambres;DES CAMBRES;CAMBRES;224153843
CHEMIN;Chemin des Hautots;DES HAUTOTS;HAUTOTS;220381764,220381765
CHEMIN;Chemin des Serres;DES SERRES;SERRES;220381766
CHEMIN;Chemin du Bagot;DU BAGOT;BAGOT;233786307,233786310,233786312
CHEMIN;Chemin du Bois Hamel;DU BOIS HAMEL;HAMEL;233786285
CHEMIN;Chemin du Bourg Joli;DU BOURG JOLI;JOLI;220381767,224153896,333212827
CHEMIN;Chemin du Bout de la Côte;DU BOUT DE LA COTE;COTE;233786301
CHEMIN;Chemin du Breuil;DU BREUIL;BREUIL;249184818
CHEMIN;Chemin du Château;DU CHATEAU;CHATEAU;224153845,333909711,333909715
CHEMIN;Chemin du Manoir Bosquet;DU MANOIR BOSQUET;BOSQUET;248363261
CHEMIN;Chemin du Val;DU VAL;VAL;224153861
CHEMIN;Chemin du Val Lubin;DU VAL LUBIN;LUBIN;249184844
;Le Mont Roty;LE MONT ROTY;ROTY;333212852
ROUTE;Route de Barentin;DE BARENTIN;BARENTIN;34110248
ROUTE;Route de Dieppe;DE DIEPPE;DIEPPE;34110255,220529045
ROUTE;Route de Goupillières;DE GOUPILLIERES;GOUPILLIERES;34004436
ROUTE;Route de Montville;DE MONTVILLE;MONTVILLE;184388208,219569240,389277084,389277085,389277086,389277087,389277091
ROUTE;Route de Pavilly;DE PAVILLY;PAVILLY;34092874
ROUTE;Route du Houlme;DU HOULME;HOULME;34110245
RUE;Rue de Pavilly;DE PAVILLY;PAVILLY;80884035,80884036
RUE;Rue du Centre;DU CENTRE;CENTRE;333908582
RESIDENCE;Résidence Le Clos de la Plaine;LE CLOS DE LA PLAINE;PLAINE;224153852,224153908,224153914
RESIDENCE;Résidence Le Vallon;LE VALLON;VALLON;224153850,224153905,224153934
RESIDENCE;Résidence Le Verger;LE VERGER;VERGER;224153853,224153893,224153946
SENTIER;Sentier du Bourg;DU BOURG;BOURG;224153887
SQUARE;Square Gaillon;GAILLON;GAILLON;233786381
