voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de l'École;DE L ECOLE;ECOLE;243261896
CHEMIN;Chemin de la Campagne;DE LA CAMPAGNE;CAMPAGNE;404538352
GRANDE RUE;Grande Rue;;EGLISE;33522850,404538354
IMPASSE;Impasse des Hortensias;DES HORTENSIAS;HORTENSIAS;404538355
IMPASSE;Impasse des Ruguets;DES RUGUETS;RUGUETS;243285489
;La Cavée;LA CAVEE;CAVEE;404538356
ROUTE;Route de Paluel;DE PALUEL;PALUEL;404538361
ROUTE;Route de Saint-Riquier;DE SAINT RIQUIER;RIQUIER;354892268
ROUTE;Route de Saint-Valéry;DE SAINT VALERY;VALERY;33525738,35040060
ROUTE;Route du Tôt;DU TOT;TOT;243261901
RUE;Rue de l'Aérodrome;DE L AERODROME;AERODROME;177144829
RUE;Rue de l'Église;DE L EGLISE;EGLISE;404538369
RUE;Rue de la Croix Colombel;DE LA CROIX COLOMBEL;COLOMBEL;404538387,464171288
RUE;Rue de la Croix Mahieu;DE LA CROIX MAHIEU;MAHIEU;404538376
RUE;Rue de la Forge;DE LA FORGE;FORGE;243261892
RUE;Rue de la Grand Mare;DE LA GRAND MARE;MARE;243285486
RUE;Rue de la Haute Voie;DE LA HAUTE VOIE;VOIE;61568479
RUE;Rue des Champs;DES CHAMPS;CHAMPS;243261891,476068320
RUE;Rue des Fleurs;DES FLEURS;FLEURS;33525740
RUE;Rue des Hirondelles;DES HIRONDELLES;HIRONDELLES;243285485
RUE;Rue des Mouettes;DES MOUETTES;MOUETTES;303746812
RUE;Rue des Peupliers;DES PEUPLIERS;PEUPLIERS;404538379
RUE;Rue des Primevères;DES PRIMEVERES;PRIMEVERES;404538380
RUE;Rue du Bois;DU BOIS;BOIS;243261890,404538381
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;243285488
RESIDENCE;Résidence de la Ferme;DE LA FERME;FERME;243285484
