voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse de la Mare au Beurre;DE LA MARE AU BEURRE;BEURRE;177169366,627339425
IMPASSE;Impasse de la Petite Ferme;DE LA PETITE FERME;FERME;183390754,343458180
IMPASSE;Impasse du Gymnase;DU GYMNASE;GYMNASE;183389134
;La Petite Rue;LA PETITE RUE;RUE;183390773,183390775
ROUTE;Route d'Epivent;D EPIVENT;EPIVENT;84816424
ROUTE;Route de Bénouville;DE BENOUVILLE;BENOUVILLE;177134612
ROUTE;Route de Cuverville;DE CUVERVILLE;CUVERVILLE;614587616
ROUTE;Route de Fécamp;DE FECAMP;FECAMP;177169317,344472748,344472753,620330144,620330145,627339427
ROUTE;Route de Gonneville-la-Mallet;DE GONNEVILLE LA MALLET;MALLET;627339423
ROUTE;Route du Fond du Bois;DU FOND DU BOIS;BOIS;183390742
ROUTE;Route du Mont Roty;DU MONT ROTY;ROTY;183390752,183390763
RUE;Rue d'Écosse;D ECOSSE;ECOSSE;344472752,589913322
RUE;Rue de l'Usine à Balais;DE L USINE A BALAIS;BALAIS;183390780
RUE;Rue de la Brèche à Marie;DE LA BRECHE A MARIE;MARIE;183390767
RUE;Rue de la Ferme du Moulin;DE LA FERME DU MOULIN;MOULIN;177169294,177169297,627339428
RUE;Rue de la Gare;DE LA GARE;GARE;177169363,177169417
RUE;Rue de la Mare Sausseuze;DE LA MARE SAUSSEUZE;SAUSSEUZE;182319258
RUE;Rue de la Salle des Fêtes;DE LA SALLE DES FETES;FETES;182318825
RUE;Rue des Deux Mares;DES DEUX MARES;MARES;198968891
RUE;Rue des Hirondelles;DES HIRONDELLES;HIRONDELLES;199018314
RUE;Rue des Saules;DES SAULES;SAULES;448712694
RUE;Rue des Écoles;DES ECOLES;ECOLES;183390741
RUE;Rue du Hameau aux Chiens;DU HAMEAU AUX CHIENS;CHIENS;183390759
RUE;Rue du Jardinet;DU JARDINET;JARDINET;183389121
RESIDENCE;Résidence de l'Aiguille Creuse;DE L AIGUILLE CREUSE;CREUSE;183389113
RESIDENCE;Résidence des Charmilles;DES CHARMILLES;CHARMILLES;183390776
SENTIER;Sentier des Princes;DES PRINCES;PRINCES;183390757,343458174,343458176
VAL;Valleuse d'Étigues;LEUSE D ETIGUES;ETIGUES;161865208,161977076
