voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Verte du Pays de Bray;VERTE DU PAYS DE BRAY;BRAY;210507604,210507606,210507613,234894955,234894956,624437162
CHEMIN;Chemin de Rambure;DE RAMBURE;RAMBURE;368828491
CHEMIN;Chemin de la Fontaine aux Dames;DE LA FONTAINE AUX DAMES;DAMES;234895519,258482825
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;460267419
;Grand'Rue;GRAND RUE;RUE;224085597
IMPASSE;Impasse de Mesnerettes;DE MESNERETTES;MESNERETTES;510773655
IMPASSE;Impasse du Pontier Blond;DU PONTIER BLOND;BLOND;510773656
ROUTE;Route de Londinieres;DE LONDINIERES;LONDINIERES;503424198,503425188
ROUTE;Route de Lucy;DE LUCY;LUCY;165333348
ROUTE;Route de Neufchâtel;DE NEUFCHATEL;NEUFCHATEL;642504641
ROUTE;Route de la Gate;DE LA GATE;GATE;289024707
ROUTE;Route du Pontier Blond;DU PONTIER BLOND;BLOND;240836752
RUE;Rue Dubos;DUBOS;GATE;289030285
RUE;Rue Jean Dossier;JEAN DOSSIER;DOSSIER;404579834
RUE;Rue Vercot;VERCOT;BLOND;510773658
RUE;Rue de Mesnerettes;DE MESNERETTES;MESNERETTES;205186512,624437155
RUE;Rue de l'Église;DE L EGLISE;EGLISE;205186513
RUE;Rue du Château;DU CHATEAU;CHATEAU;62218321
RUE;Rue du Sac;DU SAC;SAC;258482827
RESIDENCE;Résidence Les Terres Blanches;LES TERRES BLANCHES;BLANCHES;404579835
RESIDENCE;Résidence de la Source;DE LA SOURCE;SOURCE;493669748
RESIDENCE;Résidence du Boullais;DU BOULLAIS;BOULLAIS;404579837
