voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Peupliers;DES PEUPLIERS;PEUPLIERS;316962829
ALLEE;Allée des Sources;DES SOURCES;SOURCES;164544998,233043133,233043140
AUTOROUTE;Autoroute de Normandie;DE NORMANDIE;NORMANDIE;4042803,125954049,125955073,370830483
AVENUE;Avenue Jean de la Varende;JEAN DE LA VARENDE;VARENDE;200067822
AVENUE;Avenue de Caen;DE CAEN;CAEN;139302023
BOULEVARD;Boulevard du Grand Aulnay;DU GRAND AULNAY;AULNAY;29594263
CHEMIN;Chemin de la Laiterie;DE LA LAITERIE;LAITERIE;233043130
CHEMIN;Chemin de la Vacherie;DE LA VACHERIE;VACHERIE;389108961
CHEMIN;Chemin des Coquelicots;DES COQUELICOTS;COQUELICOTS;316962009,316962010,316962011,316962012
COTE;Côte de la Maison Brûlée;DE LA MAISON BRULEE;BRULEE;185029922
;La Chesnaie;LA CHESNAIE;CHESNAIE;200067825
;Les Fontaines 1;LES FONTAINES 1;1;316962827
;Les Fontaines 2;LES FONTAINES 2;2;316962888
ROUTE;Route Forestière de la Maredote;FORESTIERE DE LA MAREDOTE;MAREDOTE;24616044
ROUTE;Route Forestière des Vallons;FORESTIERE DES VALLONS;VALLONS;173097057,173097059,666205161
ROUTE;Route Forestière du Château Robert;FORESTIERE DU CHATEAU ROBERT;ROBERT;234724165
ROUTE;Route Forestière du Grésil;FORESTIERE DU GRESIL;GRESIL;164545002
ROUTE;Route Nationale;NATIONALE;NATIONALE;421267618
ROUTE;Route de Moulineaux;DE MOULINEAUX;MOULINEAUX;114883871,666205127
RUE;Rue Lieutenant Pierre Gosselin;LIEUTENANT PIERRE GOSSELIN;GOSSELIN;200067790,249285345
RUE;Rue Louis Moguen;LOUIS MOGUEN;MOGUEN;22502916,185029928,185029930,666205148,666205162
RUE;Rue Pierre Varenne;PIERRE VARENNE;VARENNE;200067812
RUE;Rue René Fauchois;RENE FAUCHOIS;FAUCHOIS;200067840
RUE;Rue Sacha Guitry;SACHA GUITRY;GUITRY;200067841
RUE;Rue d'Arnum;D ARNUM;ARNUM;200067828
RUE;Rue de l'Europe;DE L EUROPE;EUROPE;200067815
RUE;Rue du Lieutenant Jacques Hergault;DU LIEUTENANT JACQUES HERGAULT;HERGAULT;295466876,475847660
RESIDENCE;Résidence La Chesnaie;LA CHESNAIE;CHESNAIE;316961689
RESIDENCE;Résidence le Drakkar;LE DRAKKAR;DRAKKAR;316961837
RESIDENCE;Résidence les Celtes;LES CELTES;CELTES;316962889
VIADUC;Viaduc des Dix-Sept Piles;DES DIX SEPT PILES;PILES;182513401
