voie;name;name_norm;last_word_norm;ways
LOTISSEMENT;Lotissement Le Bel Air;LE BEL AIR;AIR;135562024
LOTISSEMENT;Lotissement Le Bosquet;LE BOSQUET;BOSQUET;135563334
LOTISSEMENT;Lotissement des Hares;DES HARES;HARES;135562018
PLACE;Place de Coudekerque Lambrecht;DE COUDEKERQUE LAMBRECHT;LAMBRECHT;135562021,397822192,397822193
RUE;Rue de Lombardie;DE LOMBARDIE;LOMBARDIE;135563320,135563333
RUE;Rue de Navarre;DE NAVARRE;NAVARRE;135563322
RUE;Rue des Hares;DES HARES;HARES;135563326,475110335
RUE;Rue du Bel Air;DU BEL AIR;AIR;135562022,475110334
RUE;Rue du Bout du Croc;DU BOUT DU CROC;CROC;135562016
RESIDENCE;Résidence Le Littoral;LE LITTORAL;LITTORAL;135561506
RESIDENCE;Résidence des Prairies;DES PRAIRIES;PRAIRIES;135562020
