voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Agnès Sorel;AGNES SOREL;SOREL;77839903
ALLEE;Allée Alienor d'Aquitaine;ALIENOR D AQUITAINE;AQUITAINE;320591611
ALLEE;Allée Anne de Beaujeu;ANNE DE BEAUJEU;BEAUJEU;77839886
ALLEE;Allée Aurore Dupin;AURORE DUPIN;DUPIN;77839901
ALLEE;Allée Clotilde de Vaux;CLOTILDE DE VAUX;VAUX;77839958
ALLEE;Allée Comtesse d'Aulnoy;COMTESSE D AULNOY;AULNOY;77839902
ALLEE;Allée Comtesse de Noailles;COMTESSE DE NOAILLES;NOAILLES;77839914
ALLEE;Allée Diane de Poitiers;DIANE DE POITIERS;POITIERS;320883152
ALLEE;Allée Isabelle d'Este;ISABELLE D ESTE;ESTE;77839826
ALLEE;Allée Jeanne d'Albret;JEANNE D ALBRET;ALBRET;77839710
ALLEE;Allée Madame Récamier;MADAME RECAMIER;RECAMIER;77840174
ALLEE;Allée Madame de Pompadour;MADAME DE POMPADOUR;POMPADOUR;77840129
ALLEE;Allée Marie d'Orval;MARIE D ORVAL;ORVAL;77840031
ALLEE;Allée Marion Delorme;MARION DELORME;DELORME;77839709
ALLEE;Allée Ninon de Lenclos;NINON DE LENCLOS;LENCLOS;77839708
ALLEE;Allée Ninon de Montolieu;NINON DE MONTOLIEU;MONTOLIEU;77839832
ALLEE;Allée Princesse de Clèves;PRINCESSE DE CLEVES;CLEVES;77839955
ALLEE;Allée Suzanne Valadon;SUZANNE VALADON;VALADON;77840055
ALLEE;Allée Vigée Lebrun;VIGEE LEBRUN;LEBRUN;77840165
ALLEE;Allée de la Belle Cordière;DE LA BELLE CORDIERE;CORDIERE;77839900
ALLEE;Allée de la Belle Ferronnière;DE LA BELLE FERRONNIERE;FERRONNIERE;320591612
ALLEE;Allée de la Champmeslé;DE LA CHAMPMESLE;CHAMPMESLE;77839966
ALLEE;Allée de la Clairière;DE LA CLAIRIERE;CLAIRIERE;152142347
ALLEE;Allée de la Marquise de Navarre;DE LA MARQUISE DE NAVARRE;NAVARRE;107828266
ALLEE;Allée de la Marquise de Sévigné;DE LA MARQUISE DE SEVIGNE;SEVIGNE;77840293
ALLEE;Allée de la Marquise de la Tournelle;DE LA MARQUISE DE LA TOURNELLE;TOURNELLE;77840175
ALLEE;Allée de la Peupleraie;DE LA PEUPLERAIE;PEUPLERAIE;152142334
ALLEE;Allée des Marnières;DES MARNIERES;MARNIERES;152156622
ALLEE;Allée des Pignons Blancs;DES PIGNONS BLANCS;BLANCS;77836085
ALLEE;Allée des Prés Gros;DES PRES GROS;GROS;77824795
ALLEE;Allée des Sonnains;DES SONNAINS;SONNAINS;77834951
ALLEE;Allée du Buisson Gelon;DU BUISSON GELON;GELON;152136660
ALLEE;Allée du Clos d'Audebert;DU CLOS D AUDEBERT;AUDEBERT;77824662
AVENUE;Avenue Anne de Bretagne;ANNE DE BRETAGNE;BRETAGNE;77840019,77840032,320883154,320883157
AVENUE;Avenue de la Reine Blanche;DE LA REINE BLANCHE;BLANCHE;78710176,320883159,320883162
CHEMIN;Chemin de Courbuisson;DE COURBUISSON;COURBUISSON;77835886
CHEMIN;Chemin de Crèvecoeur;DE CREVECOEUR;CREVECOEUR;151617715
CHEMIN;Chemin de Sermaise;DE SERMAISE;SERMAISE;152132930
CHEMIN;Chemin de l'Yauveux;DE L YAUVEUX;YAUVEUX;77836096
CHEMIN;Chemin de la Bergerie;DE LA BERGERIE;BERGERIE;77836303,151617434
CHEMIN;Chemin de la Ferlandière;DE LA FERLANDIERE;FERLANDIERE;77835701
CHEMIN;Chemin de la Gennerie;DE LA GENNERIE;GENNERIE;151617637
CHEMIN;Chemin de la Mare aux Bergers;DE LA MARE AUX BERGERS;BERGERS;152142346
CHEMIN;Chemin de la Verderie;DE LA VERDERIE;VERDERIE;77836136
CHEMIN;Chemin des 3 Poulains;DES 3 POULAINS;POULAINS;77836270,320748018,320748019
CHEMIN;Chemin des Courances;DES COURANCES;COURANCES;77825087
CHEMIN;Chemin des Fortoiseaux;DES FORTOISEAUX;FORTOISEAUX;152148134
CHEMIN;Chemin des Grandes Maisons;DES GRANDES MAISONS;MAISONS;77745242
CHEMIN;Chemin des Grands Bois;DES GRANDS BOIS;BOIS;326457170
CHEMIN;Chemin des Guyottes;DES GUYOTTES;GUYOTTES;77836117
CHEMIN;Chemin des Terres Fortes;DES TERRES FORTES;FORTES;20004036
CHEMIN;Chemin des Villerons;DES VILLERONS;VILLERONS;151619643
CHEMIN;Chemin du Haut des Courances;DU HAUT DES COURANCES;COURANCES;152156632
CHEMIN;Chemin du Mont Musart;DU MONT MUSART;MUSART;77835980,77835987,77836019
CHEMIN;Chemin du Moulin de Pierre;DU MOULIN DE PIERRE;PIERRE;320591670
CHEMIN;Chemin du Pont de la Grange au Châtelet;DU PONT DE LA GRANGE AU CHATELET;CHATELET;48411167
IMPASSE;Impasse Marsault;MARSAULT;ROBILLARD;152145929
IMPASSE;Impasse du Soleil Levant;DU SOLEIL LEVANT;LEVANT;152156640
;P.R. Saint-Louis;P R  SAINT LOUIS;LOUIS;320591614
PLACE;Place de l'Église;DE L EGLISE;EGLISE;152145919,152145926
PLACE;Place de la Croix Mortier;DE LA CROIX MORTIER;MORTIER;320748023,320748024,320748025
PLACE;Place de la Fontaine;DE LA FONTAINE;FONTAINE;29426621
PLACE;Place de la Marbière;DE LA MARBIERE;MARBIERE;454402077
PLACE;Place de la Mare aux Canes;DE LA MARE AUX CANES;CANES;454402078
PLACE;Place de la Riotte;DE LA RIOTTE;RIOTTE;151617433
PLACE;Place des Capucines;DES CAPUCINES;CAPUCINES;320591618
ROUTE;Route de Fontaine-le-Port;DE FONTAINE LE PORT;PORT;294342661,320748029,320748030,525190794,525190795,525190797,658733345
ROUTE;Route de Féricy;DE FERICY;FERICY;28139657,77628984,320748031,320748032,658733346,658733347
