voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue du Champabon;DU CHAMPABON;CHAMPABON;196258125,367204931
AVENUE;Avenue du Ralloy;DU RALLOY;RALLOY;35803963
BOULEVARD;Boulevard d'Haussonville;D HAUSSONVILLE;HAUSSONVILLE;35804270
BOULEVARD;Boulevard de l'Auxence;DE L AUXENCE;AUXENCE;549434923
BOULEVARD;Boulevard du Nord;DU NORD;NORD;196258101,299686573,426541526,426541527
CHEMIN;Chemin de Nangis;DE NANGIS;NANGIS;202807369
CHEMIN;Chemin de Villeneuve;DE VILLENEUVE;VILLENEUVE;239603927
CHEMIN;Chemin de la Maladerie;DE LA MALADERIE;MALADERIE;239603954
CHEMIN;Chemin de la Prairie de Laval;DE LA PRAIRIE DE LAVAL;LAVAL;286899664
CHEMIN;Chemin de la Veillère;DE LA VEILLERE;VEILLERE;239603928,367204932
CHEMIN;Chemin du Buat;DU BUAT;BUAT;286898961
CHEMIN;Chemin du Champ aux Fées;DU CHAMP AUX FEES;FEES;202833127
CHEMIN;Chemin du Champ du Lièvre;DU CHAMP DU LIEVRE;LIEVRE;239603949
CHEMIN;Chemin du Ferreux;DU FERREUX;FERREUX;239603929
CHEMIN;Chemin du Montgras;DU MONTGRAS;MONTGRAS;239742585
CHEMIN;Chemin du Plessis;DU PLESSIS;PLESSIS;642268282
IMPASSE;Impasse Saint-Augustin;SAINT AUGUSTIN;AUGUSTIN;367204933
IMPASSE;Impasse de Laval;DE LAVAL;LAVAL;239603953
IMPASSE;Impasse du Stade;DU STADE;STADE;239603935
PLACE;Place de l'Église;DE L EGLISE;EGLISE;549434921
PLACE;Place de la Butte Saint-Pierre;DE LA BUTTE SAINT PIERRE;PIERRE;239603957
PLACE;Place des Jeux;DES JEUX;JEUX;367204935,367204936
PLACE;Place des Soroises;DES SOROISES;SOROISES;367204937,367204938
PLACE;Place du Marché;DU MARCHE;MARCHE;367204939
ROUTE;Route de Mons;DE MONS;MONS;196258108
RUE;Rue Bernard Duplessis;BERNARD DUPLESSIS;DUPLESSIS;367204940
RUE;Rue Bertin;BERTIN;MONTGRAS;278610850
RUE;Rue Bourbitou;BOURBITOU;CASSIOT;642268281
RUE;Rue Champeaux;CHAMPEAUX;DUPLESSIS;367204941
RUE;Rue Cottereau;COTTEREAU;AUGUSTIN;367204947
RUE;Rue Jean de Brion;JEAN DE BRION;BRION;367204942,426541548,426541549
RUE;Rue Marie Chaubart;MARIE CHAUBART;CHAUBART;74891669,426541550,426541551
RUE;Rue Marius Billard;MARIUS BILLARD;BILLARD;299686571,367204943
RUE;Rue Radepont;RADEPONT;BILLARD;299686574,426541552,426541553
RUE;Rue Raymond Bellagué;RAYMOND BELLAGUE;BELLAGUE;35803899
RUE;Rue René Cassin;RENE CASSIN;CASSIN;367204944
RUE;Rue Saint-Augustin;SAINT AUGUSTIN;AUGUSTIN;367204945
RUE;Rue Sainte-Quinette;SAINTE QUINETTE;QUINETTE;549434920
RUE;Rue Salgues;SALGUES;NORD;196258103
RUE;Rue de L'Église;DE L EGLISE;EGLISE;239605732
RUE;Rue de Lagourd;DE LAGOURD;LAGOURD;286898704,286899342,426541556,426541557
RUE;Rue de Montpoirier;DE MONTPOIRIER;MONTPOIRIER;196258129
RUE;Rue de Sigy;DE SIGY;SIGY;196258136
RUE;Rue de l'Arcade;DE L ARCADE;ARCADE;239605731
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;196258134
RUE;Rue de la Forêt;DE LA FORET;FORET;202782686
RUE;Rue de la Glacière;DE LA GLACIERE;GLACIERE;239603955
RUE;Rue de la Joyette;DE LA JOYETTE;JOYETTE;239603948
RUE;Rue de la Libération;DE LA LIBERATION;LIBERATION;35803856
RUE;Rue de la Maladerie;DE LA MALADERIE;MALADERIE;239605734
RUE;Rue de la Porte de Melun;DE LA PORTE DE MELUN;MELUN;196258120
RUE;Rue de la Porte de Provins;DE LA PORTE DE PROVINS;PROVINS;367204948
RUE;Rue de la Sablière;DE LA SABLIERE;SABLIERE;196258127
RUE;Rue de la Tuilerie;DE LA TUILERIE;TUILERIE;196258133
RUE;Rue des Cloîtres;DES CLOITRES;CLOITRES;299686569
RUE;Rue des Fossés;DES FOSSES;FOSSES;196258122
RUE;Rue des Jardins;DES JARDINS;JARDINS;196258116
RUE;Rue des Rigoles;DES RIGOLES;RIGOLES;239603932,239603939
RUE;Rue des Écoles;DES ECOLES;ECOLES;239603938,299686567,299686572,367204949
RUE;Rue du Cassiot;DU CASSIOT;CASSIOT;549434924
RUE;Rue du Four;DU FOUR;FOUR;196258112
RUE;Rue du Gros Caillou;DU GROS CAILLOU;CAILLOU;196258114
RUE;Rue du Marché;DU MARCHE;MARCHE;196258124
RUE;Rue du Montgras;DU MONTGRAS;MONTGRAS;367204950
RUE;Rue du Montpensier;DU MONTPENSIER;MONTPENSIER;196258138,426541562,426541563
RUE;Rue du Moulin à Tan;DU MOULIN A TAN;TAN;367204951
RUE;Rue du Parc;DU PARC;PARC;239603934
RUE;Rue du Pavillon;DU PAVILLON;PAVILLON;299686568,425816540
RUE;Rue du Pré Padou;DU PRE PADOU;PADOU;196258110
RUELLE;Ruelle du Moulin;DU MOULIN;MOULIN;549434922
RESIDENCE;Résidence Saint-Augustin;SAINT AUGUSTIN;AUGUSTIN;367204955
VIEILLE ROUTE;Vieille Route de Mons;DE MONS;MONS;201720319,201720320
;Vignes de Champabon;VIGNES DE CHAMPABON;CHAMPABON;196258128,239603931
