voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue des Prunus;DES PRUNUS;PRUNUS;28174578
CHEMIN;Chemin de Melun à Massoury;DE MELUN A MASSOURY;MASSOURY;26812793
CHEMIN;Chemin de la Fouinerie au Pont de la Grange;DE LA FOUINERIE AU PONT DE LA GRANGE;GRANGE;48411173
CHEMIN;Chemin de la Mare à Coque;DE LA MARE A COQUE;COQUE;48411825
CHEMIN;Chemin de la Porte Cavalière;DE LA PORTE CAVALIERE;CAVALIERE;41675632
CHEMIN;Chemin des Chasses;DES CHASSES;CHASSES;48411169,277836979,277836981,653568314
CHEMIN;Chemin des Lisières;DES LISIERES;LISIERES;48411168
CHEMIN;Chemin du Pont de la Grange au Châtelet;DU PONT DE LA GRANGE AU CHATELET;CHATELET;48411167
IMPASSE;Impasse des Pommiers;DES POMMIERS;POMMIERS;28175653
IMPASSE;Impasse des Pêcheurs;DES PECHEURS;PECHEURS;48409020
PASSAGE;Passage de la Fauvette;DE LA FAUVETTE;FAUVETTE;28175299
PASSAGE;Passage du Taillandier;DU TAILLANDIER;TAILLANDIER;48409021
PLACE;Place de la Gare;DE LA GARE;GARE;40801085
PLACE;Place des Tilleuls;DES TILLEULS;TILLEULS;549432417
QUAI;Quai René Richard;RENE RICHARD;RICHARD;27050717,27160329,27160331,131447923,131447924,294342662,320748027,320748028
QUAI;Quai des Vallées;DES VALLEES;VALLEES;659350725
ROUTE;Route de Barbeau;DE BARBEAU;BARBEAU;27160316,27160384,277836993,277836995,608674742
ROUTE;Route de Fontaine-le-Port;DE FONTAINE LE PORT;PORT;28174581,525190796,525190797
ROUTE;Route de Féricy;DE FERICY;FERICY;77628984
ROUTE;Route de Sivry;DE SIVRY;SIVRY;29158440
ROUTE;Route du Chatelet;DU CHATELET;CHATELET;202778369
ROUTE;Route du Zig-Zag;DU ZIG ZAG;ZAG;277836997
RUE;Rue Curie;CURIE;CURIE;20004059,525190800
RUE;Rue Georges Clemenceau;GEORGES CLEMENCEAU;CLEMENCEAU;131447935
RUE;Rue Jean Moulin;JEAN MOULIN;MOULIN;28175207
RUE;Rue Madeleine Michelis;MADELEINE MICHELIS;MICHELIS;28175289,48409014
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;28175153
RUE;Rue de Bellevue;DE BELLEVUE;BELLEVUE;28175539,28175562
RUE;Rue de Féricy;DE FERICY;FERICY;28175816
RUE;Rue de Massoury;DE MASSOURY;MASSOURY;5889833,202566800
RUE;Rue de la Coudre;DE LA COUDRE;COUDRE;28175780
RUE;Rue de la Forêt;DE LA FORET;FORET;131447946,277836998
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;28175234,28175312,131447938
RUE;Rue de la Vallée;DE LA VALLEE;VALLEE;28174536,48410038,48410041,48410042,131447939,131447940
RUE;Rue de la Vieille Montagne;DE LA VIEILLE MONTAGNE;MONTAGNE;48410037,48410039
RUE;Rue des Cascades;DES CASCADES;CASCADES;549148151,549148154,549148156
RUE;Rue des Grillons;DES GRILLONS;GRILLONS;41675640
RUE;Rue des Passe-Loups;DES PASSE LOUPS;LOUPS;28251293
RUE;Rue des Pêcheurs;DES PECHEURS;PECHEURS;48409013
RUE;Rue des Sablons;DES SABLONS;SABLONS;28175650,48411171
RUE;Rue du Chemin de Fer;DU CHEMIN DE FER;FER;28175189
RUE;Rue du Général Roux;DU GENERAL ROUX;ROUX;28183118
RUE;Rue du Parc;DU PARC;PARC;29427086,525190798,525190799
RUE;Rue du Vieux Moulin;DU VIEUX MOULIN;MOULIN;26812774
RUELLE;Ruelle de la Fontaine;DE LA FONTAINE;FONTAINE;48411531
RUELLE;Ruelle des Sablons;DES SABLONS;SABLONS;48411170
;Sente des Rossignols;SENTE DES ROSSIGNOLS;ROSSIGNOLS;48409016,653569196
SENTIER;Sentier de l'Hermitage;DE L HERMITAGE;HERMITAGE;48410338,48410339
