voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Perdu;PERDU;PERDU;502145316
CHEMIN;Chemin Vert de la Mare Colin;VERT DE LA MARE COLIN;COLIN;174655740
CHEMIN;Chemin de Saint-Léger à La Millière;DE SAINT LEGER A LA MILLIERE;MILLIERE;118208535
CHEMIN;Chemin de la Basse Boissière;DE LA BASSE BOISSIERE;BOISSIERE;25112838
CHEMIN;Chemin de la Buissonnerie;DE LA BUISSONNERIE;BUISSONNERIE;38621313
CHEMIN;Chemin de la Haute Boissière;DE LA HAUTE BOISSIERE;BOISSIERE;76598530
CHEMIN;Chemin de la Vallée Juphine;DE LA VALLEE JUPHINE;JUPHINE;440218292
CHEMIN;Chemin des Chartreux;DES CHARTREUX;CHARTREUX;229792162,229792164,229792167
CHEMIN;Chemin des Fontenelles;DES FONTENELLES;FONTENELLES;38485201,222729254,227062961,256350955
CHEMIN;Chemin des Grands Prés;DES GRANDS PRES;PRES;502145320
CHEMIN;Chemin des Prés;DES PRES;PRES;223241257
CHEMIN;Chemin du Vieil Étang;DU VIEIL ETANG;ETANG;502145322,502145323
;Grande Rue;GRANDE RUE;RUE;23200131,318394642,318394643
;Gué;GUE;GUE;227062960
ROUTE;Route de Saint-Rémy-l'Honoré;DE SAINT REMY L HONORE;HONORE;23468619,318394644
ROUTE;Route de l'Étang Rompu;DE L ETANG ROMPU;ROMPU;76598532
ROUTE;Route des Mesnuils;DES MESNUILS;MESNUILS;231129997
ROUTE;Route du Haut Cornu;DU HAUT CORNU;CORNU;109642258
RUE;Rue Chenotel;CHENOTEL;CHENOTEL;23458919
RUE;Rue Montorgueil;MONTORGUEIL;MONTORGUEIL;23458484
RUE;Rue Neuve;NEUVE;NEUVE;23472820
RUE;Rue au Bouet;AU BOUET;BOUET;23472683
RUE;Rue de Beauregard;DE BEAUREGARD;BEAUREGARD;23472860,229792161,324511110
RUE;Rue de la Borne;DE LA BORNE;BORNE;23459055,114432723,375699964
RUE;Rue de la Millière;DE LA MILLIERE;MILLIERE;118208516
RUE;Rue de la Résidence;DE LA RESIDENCE;RESIDENCE;23707149
RUE;Rue de la Vallée;DE LA VALLEE;VALLEE;23691733
RUE;Rue des Champs;DES CHAMPS;CHAMPS;23707136,375699967
RUE;Rue des Essarts;DES ESSARTS;ESSARTS;23472691
RUE;Rue des Mottes;DES MOTTES;MOTTES;174655916
RUE;Rue des Pâtis;DES PATIS;PATIS;120511650
RUE;Rue du Coteau;DU COTEAU;COTEAU;23470112
RUE;Rue du Moulin;DU MOULIN;MOULIN;23691770
;Sente;SENTE;SENTE;229792166
