voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de la Butte Ronde;DE LA BUTTE RONDE;RONDE;74171578,333429203
ALLEE;Allée de la Grande Pièce;DE LA GRANDE PIECE;PIECE;379932511
ALLEE;Allée des Airs;DES AIRS;AIRS;335436758
ALLEE;Allée des Saules;DES SAULES;SAULES;380006805
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;380006806
ALLEE;Allée du Routoir;DU ROUTOIR;ROUTOIR;380006807,380006808
CHEMIN;Chemin de Trotigny;DE TROTIGNY;TROTIGNY;81204286
CHEMIN;Chemin de la Butte;DE LA BUTTE;BUTTE;74172244,187362319
CHEMIN;Chemin des Ambésis;DES AMBESIS;AMBESIS;326145740
CHEMIN;Chemin des Fours à Chaux;DES FOURS A CHAUX;CHAUX;74979264,326145742
CHEMIN;Chemin des Écoliers;DES ECOLIERS;ECOLIERS;72443233,187362591
DESCENTE;Descente à Mémé;A MEME;MEME;74754359
DESCENTE;Descente à Pépé;A PEPE;PEPE;439010381
PLACE;Place du Mesnil Sevin;DU MESNIL SEVIN;SEVIN;380006809,407181261
ROUTE;Route de Dampierre;DE DAMPIERRE;DAMPIERRE;141834606
ROUTE;Route de Versailles;DE VERSAILLES;VERSAILLES;24818127,24818128
ROUTE;Route des 17 Tournants;DES 17 TOURNANTS;TOURNANTS;187362592
RUE;Rue Ernest et Paul Picard;ERNEST ET PAUL PICARD;PICARD;176797920
RUE;Rue de Saint-Laurent;DE SAINT LAURENT;LAURENT;22824387,379932510
RUE;Rue de la Grand' Maison;DE LA GRAND  MAISON;MAISON;72268972
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;141834636,184118446
RUE;Rue de la Mare;DE LA MARE;MARE;23582204
RUE;Rue de la Motte;DE LA MOTTE;MOTTE;22824396
RUE;Rue de la Roncerie;DE LA RONCERIE;RONCERIE;22824402,72268949,333429204
RUE;Rue des Grands Prés;DES GRANDS PRES;PRES;68420391,93079270
RUE;Rue des Sources;DES SOURCES;SOURCES;149036116
RUE;Rue du Bel Air;DU BEL AIR;AIR;22824394
RUE;Rue du Peuplier;DU PEUPLIER;PEUPLIER;24818138,324263209
RUELLE;Ruelle aux Bœufs;AUX BŒUFS;BŒUFS;180270820,324348497
;Tiraid;TIRAID;TIRAID;435851227,435851228
