voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Latéral au Chemin de Fer;LATERAL AU CHEMIN DE FER;FER;71324332
CHEMIN;Chemin d'Ormillard;D ORMILLARD;ORMILLARD;155696131
CHEMIN;Chemin d'Épernon;D EPERNON;EPERNON;107859373
CHEMIN;Chemin de Bailly;DE BAILLY;BAILLY;115566245
CHEMIN;Chemin de Guineveau;DE GUINEVEAU;GUINEVEAU;136855827,161751279
CHEMIN;Chemin de Sainte-Mesme à Rochefort;DE SAINTE MESME A ROCHEFORT;ROCHEFORT;71324336,71324337,105016425,136909596,304350261,304350262
CHEMIN;Chemin de l'Église;DE L EGLISE;EGLISE;105021935
CHEMIN;Chemin des Fontaines Bouillantes;DES FONTAINES BOUILLANTES;BOUILLANTES;136855828
CHEMIN;Chemin du Moulin de Corpeau;DU MOULIN DE CORPEAU;CORPEAU;71324339,182794204,304350264,304350265,624260511
GRANDE RUE;Grande Rue;;EPERNON;110025061
;L'Aquitaine;L AQUITAINE;AQUITAINE;4319890,128254691,128254692,128254695,469790941
;L'Océane;L OCEANE;OCEANE;198798833,198798834
ROUTE;Route Neuve;NEUVE;MINOS;136854900
ROUTE;Route d'Orléans;D ORLEANS;ORLEANS;143759117
ROUTE;Route de Denisy;DE DENISY;DENISY;110034862,161751286,161751289,161751290,161751293,169771572
ROUTE;Route de Dourdan;DE DOURDAN;DOURDAN;124981716
ROUTE;Route de la Chainaie;DE LA CHAINAIE;CHAINAIE;137153118
ROUTE;Route des Grès;DES GRES;GRES;138638194
ROUTE;Route du Bréau;DU BREAU;BREAU;89155016
ROUTE;Route du Cordon;DU CORDON;CORDON;137153123,138638196,138638201
ROUTE;Route du Midi;DU MIDI;MIDI;105015480,161751296
RUE;Rue Charles Legaigneur;CHARLES LEGAIGNEUR;LEGAIGNEUR;143426717
RUE;Rue Deslandres;DESLANDRES;LEGAIGNEUR;143426719
RUE;Rue Fernand Laigneau;FERNAND LAIGNEAU;LAIGNEAU;143426722
RUE;Rue Julien Minos;JULIEN MINOS;MINOS;136853191,136855829,136909611,161751303
RUE;Rue Malhomme;MALHOMME;BAILLY;115566246
RUE;Rue Saint-Pré;SAINT PRE;PRE;155696134,155696144
RUE;Rue des Bois;DES BOIS;BOIS;143426724
RUE;Rue des Jardins;DES JARDINS;JARDINS;161751313
RUE;Rue du Buisson;DU BUISSON;BUISSON;89155012
