voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de l'Église;DE L EGLISE;EGLISE;102950509,468356772
CHEMIN;Chemin de la Baraudière;DE LA BARAUDIERE;BARAUDIERE;197701484
CHEMIN;Chemin des Terriers;DES TERRIERS;TERRIERS;102950394
CHEMIN;Chemin du Grand Freigné;DU GRAND FREIGNE;FREIGNE;102950535,197701575
CHEMIN RURAL;Chemin rural dit de l'Audonnerie;DIT DE L AUDONNERIE;AUDONNERIE;102950424
CHEMIN RURAL;Chemin rural dit de la Junte;DIT DE LA JUNTE;JUNTE;173230042
CHEMIN RURAL;Chemin rural dit des Prés Michonneau;DIT DES PRES MICHONNEAU;MICHONNEAU;173230043
;Hauts de Gâtine;HAUTS DE GATINE;GATINE;102869552
IMPASSE;Impasse de la Poste;DE LA POSTE;POSTE;113526066
PLACE;Place du 14 Juillet 1836;DU 14 JUILLET 1836;1836;549975479,549975481
ROUTE;Route de Niort;DE NIORT;NIORT;604482895
ROUTE;Route de Parthenay;DE PARTHENAY;PARTHENAY;170858600,170858601
ROUTE;Route de la Chapelle Seguin;DE LA CHAPELLE SEGUIN;SEGUIN;102950439
ROUTE;Route de la Chapelle-Seguin;DE LA CHAPELLE SEGUIN;SEGUIN;204934569
ROUTE;Route du Beugnon;DU BEUGNON;BEUGNON;194118489
RUE;Rue Raymond Migaud;RAYMOND MIGAUD;MIGAUD;102950520,102950541
RUE;Rue de Saint-Paul;DE SAINT PAUL;PAUL;470176520,470176522
RUE;Rue de l'Audonnerie;DE L AUDONNERIE;AUDONNERIE;102950402,102950471
RUE;Rue de la Bergerie;DE LA BERGERIE;BERGERIE;102950544
RUE;Rue de la Dandinerie;DE LA DANDINERIE;DANDINERIE;102869553,470176521
RUE;Rue de la Forêt;DE LA FORET;FORET;102869557
RUE;Rue de la Foye;DE LA FOYE;FOYE;102950464
RUE;Rue de la Jolinière;DE LA JOLINIERE;JOLINIERE;102950418,102950501
RUE;Rue de la Morinière;DE LA MORINIERE;MORINIERE;70030891
RUE;Rue de la Plaisance;DE LA PLAISANCE;PLAISANCE;102950420
RUE;Rue de la Poste;DE LA POSTE;POSTE;102950415
RUE;Rue de la Promenade;DE LA PROMENADE;PROMENADE;102869559,102950478
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;102869551
RUE;Rue de la Sauzaie;DE LA SAUZAIE;SAUZAIE;102869554
RUE;Rue de la Taillée;DE LA TAILLEE;TAILLEE;102869549
RUE;Rue des Fleurs;DES FLEURS;FLEURS;102950409,102950485,102950525
RUE;Rue des Écoliers;DES ECOLIERS;ECOLIERS;102950523
RUE;Rue dit de la Sauzaie;DIT DE LA SAUZAIE;SAUZAIE;102869550
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;102950390
RUE;Rue du Collège;DU COLLEGE;COLLEGE;102950427,102950510,554059063
RUE;Rue du Souvenir;DU SOUVENIR;SOUVENIR;102869558
