voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Chênes;DES CHENES;CHENES;161918985
ALLEE;Allée des Portes du Bocage;DES PORTES DU BOCAGE;BOCAGE;440516045
ALLEE;Allée des Tourterelles;DES TOURTERELLES;TOURTERELLES;161919012
CHEMIN;Chemin de La Gallardière à La Croix de Pierre;DE LA GALLARDIERE A LA CROIX DE PIERRE;PIERRE;161790163
IMPASSE;Impasse de La Nève;DE LA NEVE;NEVE;161918987
IMPASSE;Impasse des Grands Chênes;DES GRANDS CHENES;CHENES;613504930
IMPASSE;Impasse des Merisiers;DES MERISIERS;MERISIERS;421658607
IMPASSE;Impasse des Peupliers;DES PEUPLIERS;PEUPLIERS;161918989
IMPASSE;Impasse du Haut Bourg Saint-Marsault;DU HAUT BOURG SAINT MARSAULT;MARSAULT;339971129
LOTISSEMENT;Lotissement de L'Avenir;DE L AVENIR;AVENIR;421657598
PLACE;Place Georges Clemenceau;GEORGES CLEMENCEAU;CLEMENCEAU;549975452,549975453
ROUTE;Route de Courlay;DE COURLAY;COURLAY;566126000
ROUTE;Route de Montcoutant;DE MONTCOUTANT;MONTCOUTANT;566126001,587026300
ROUTE;Route de Montigny à Cirières;DE MONTIGNY A CIRIERES;CIRIERES;161309685
RUE;Rue Barault;BARAULT;BARAULT;161809378
RUE;Rue Ernest Perochon;ERNEST PEROCHON;PEROCHON;161709946
RUE;Rue Ernest Pérochon;ERNEST PEROCHON;PEROCHON;366490237,657395223
RUE;Rue Jacques Bujault;JACQUES BUJAULT;BUJAULT;161809382
RUE;Rue Joseph Cacault;JOSEPH CACAULT;CACAULT;343700781
RUE;Rue Maréchal de Lattre de Tassigny;MARECHAL DE LATTRE DE TASSIGNY;TASSIGNY;175540466,203076729,203076730,203076731,566126004
RUE;Rue Saint-André;SAINT ANDRE;ANDRE;70188647
RUE;Rue de Beauchêne;DE BEAUCHENE;BEAUCHENE;161911012,263410171,263410172
RUE;Rue de Bellevue;DE BELLEVUE;BELLEVUE;189674996
RUE;Rue de L'Horizon;DE L HORIZON;HORIZON;188813581
RUE;Rue de L'Orée du Bois;DE L OREE DU BOIS;BOIS;421658608
RUE;Rue de L'Ouche;DE L OUCHE;OUCHE;161809389
RUE;Rue de La Fontaine;DE LA FONTAINE;FONTAINE;70188645
RUE;Rue de La Maréchalerie;DE LA MARECHALERIE;MARECHALERIE;421653969
RUE;Rue de La Tricoise;DE LA TRICOISE;TRICOISE;421653970
RUE;Rue de La Vieille Voie;DE LA VIEILLE VOIE;VOIE;161809390
RUE;Rue de Saint-Pierre;DE SAINT PIERRE;PIERRE;613504910
RUE;Rue de l'Église;DE L EGLISE;EGLISE;161809388
RUE;Rue de la Vallée de Lière;DE LA VALLEE DE LIERE;LIERE;189674994
RUE;Rue des Lavandières;DES LAVANDIERES;LAVANDIERES;161709947,566126005
RUE;Rue des Rossignols;DES ROSSIGNOLS;ROSSIGNOLS;161709948
RUE;Rue des Vieux Métiers;DES VIEUX METIERS;METIERS;566126006
RUE;Rue des Écoliers;DES ECOLIERS;ECOLIERS;188813568
RUE;Rue du Beausoleil;DU BEAUSOLEIL;BEAUSOLEIL;161709951
RUE;Rue du Bois Caillet;DU BOIS CAILLET;CAILLET;421658609
RUE;Rue du Bois Saint-Joseph;DU BOIS SAINT JOSEPH;JOSEPH;161918991
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;189674995,613504912
RUE;Rue du Chanoine Turpault;DU CHANOINE TURPAULT;TURPAULT;161915488
RUE;Rue du Docteur Goupille;DU DOCTEUR GOUPILLE;GOUPILLE;161918994
RUE;Rue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;161809391
RUE;Rue du Maréchal Leclerc;DU MARECHAL LECLERC;LECLERC;161809393
RUE;Rue du Monseigneur Vion;DU MONSEIGNEUR VION;VION;161915489
RUE;Rue du Petit Château;DU PETIT CHATEAU;CHATEAU;161809395
RUE;Rue du Plessis Mornay;DU PLESSIS MORNAY;MORNAY;161809397
RUE;Rue du Président Saillard du Rivault;DU PRESIDENT SAILLARD DU RIVAULT;RIVAULT;161915491
RUE;Rue du Puy Cantin;DU PUY CANTIN;CANTIN;189674990,189674991
RUE;Rue du Rava;DU RAVA;RAVA;189674993
RUE;Rue du Stade;DU STADE;STADE;613504914
SENTIER;Sentier des Lutins;DES LUTINS;LUTINS;440515457
