voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Aux Princes;AUX PRINCES;PRINCES;204910656,264241347,264241348
ALLEE;Allée de La Sèvre;DE LA SEVRE;SEVRE;164059730
ALLEE;Allée de la Chapelle;DE LA CHAPELLE;CHAPELLE;216924093
ALLEE;Allée de la Mairie;DE LA MAIRIE;MAIRIE;549975473
ALLEE;Allée des Chardonnerets;DES CHARDONNERETS;CHARDONNERETS;585066799
ALLEE;Allée des Noyers;DES NOYERS;NOYERS;164059727
AVENUE;Avenue de Paris;DE PARIS;PARIS;81756633,175582946,662024066,662024075
AVENUE;Avenue de l'Espoir;DE L ESPOIR;ESPOIR;81756596
AVENUE;Avenue de l'Industrie;DE L INDUSTRIE;INDUSTRIE;81756966,466354768
AVENUE;Avenue de la Libération;DE LA LIBERATION;LIBERATION;188674607
AVENUE;Avenue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;81756884
AVENUE;Avenue du Maréchal Juin;DU MARECHAL JUIN;JUIN;81756649,232329230,232329231
AVENUE;Avenue du Maréchal Leclerc;DU MARECHAL LECLERC;LECLERC;81756672,81756755,81756937,175582951
AVENUE;Avenue du Maréchal de Lattre de Tassingy;DU MARECHAL DE LATTRE DE TASSINGY;TASSINGY;81756643,81756808,175582952,659558637
AVENUE;Avenue du Pré Byre;DU PRE BYRE;BYRE;81756826
CHEMIN RURAL;Chemin Rural de Bois Girard;DE BOIS GIRARD;GIRARD;172495171
CHEMIN RURAL;Chemin Rural de Bois Girard à la Peltrie;DE BOIS GIRARD A LA PELTRIE;PELTRIE;172495172,172495173
CHEMIN RURAL;Chemin Rural de la Chemillardière;DE LA CHEMILLARDIERE;CHEMILLARDIERE;172508566,172508567,172508568
CHEMIN RURAL;Chemin Rural de la Ferlandière à la Boucherie;DE LA FERLANDIERE A LA BOUCHERIE;BOUCHERIE;172495176
CHEMIN RURAL;Chemin Rural des Pierres;DES PIERRES;PIERRES;549975471
CHEMIN RURAL;Chemin Rural du Creux;DU CREUX;CREUX;173664159
CHEMIN RURAL;Chemin Rural du Petit-Moulin à la Savarière;DU PETIT MOULIN A LA SAVARIERE;SAVARIERE;172495195
CHEMIN;Chemin de Recoignot;DE RECOIGNOT;RECOIGNOT;109991481
CHEMIN;Chemin de la Croix;DE LA CROIX;CROIX;109447935,109733480
CHEMIN;Chemin de la Croix à la Parie;DE LA CROIX A LA PARIE;PARIE;109395715,188396603
CHEMIN;Chemin de la Folie;DE LA FOLIE;FOLIE;109650994,109650996
CHEMIN;Chemin de la Forêt;DE LA FORET;FORET;216924089
CHEMIN;Chemin de la Petière;DE LA PETIERE;PETIERE;549975459
CHEMIN;Chemin de la Vergnaie;DE LA VERGNAIE;VERGNAIE;109395747
CHEMIN;Chemin des 3 Maisons;DES 3 MAISONS;MAISONS;549975465
CHEMIN;Chemin des Cosses;DES COSSES;COSSES;190492814
CHEMIN;Chemin des Vacanciers;DES VACANCIERS;VACANCIERS;388764503
CHEMIN;Chemin dit de la Condaugerie;DIT DE LA CONDAUGERIE;CONDAUGERIE;81756628
CHEMIN;Chemin du Chiron;DU CHIRON;CHIRON;81756625
CHEMIN;Chemin du Colombier;DU COLOMBIER;COLOMBIER;187078698
CHEMIN;Chemin du Couard;DU COUARD;COUARD;172495178
CHEMIN;Chemin du Muguet;DU MUGUET;MUGUET;203993628
CHEMIN;Chemin du Paradis;DU PARADIS;PARADIS;164059729
CHEMIN;Chemin du Rava;DU RAVA;RAVA;585066790
CHEMIN RURAL;Chemin rural de la Barillonnière au Noirvault;DE LA BARILLONNIERE AU NOIRVAULT;NOIRVAULT;109650992
COURS;Cours Clemenceau;CLEMENCEAU;CLEMENCEAU;81756620,175582955
COURS;Cours des Roses;DES ROSES;ROSES;81756613
ILOT;Ilôt de l'Egaille;DE L EGAILLE;EGAILLE;81756889
IMPASSE;Impasse Beauséjour;BEAUSEJOUR;BEAUSEJOUR;81756632
IMPASSE;Impasse de La Barillère;DE LA BARILLERE;BARILLERE;389394028
IMPASSE;Impasse de la Boatière;DE LA BOATIERE;BOATIERE;81756927
IMPASSE;Impasse de la Cure;DE LA CURE;CURE;550262590,550262594
IMPASSE;Impasse de la Javrelière;DE LA JAVRELIERE;JAVRELIERE;597491375
IMPASSE;Impasse de la Maison Neuve;DE LA MAISON NEUVE;NEUVE;549975467
IMPASSE;Impasse de la Petite Naulière;DE LA PETITE NAULIERE;NAULIERE;168746671
IMPASSE;Impasse de la Touche;DE LA TOUCHE;TOUCHE;81756688
IMPASSE;Impasse des Bruyères;DES BRUYERES;BRUYERES;550262589
IMPASSE;Impasse des Chênes;DES CHENES;CHENES;81756678
IMPASSE;Impasse des Fleurs;DES FLEURS;FLEURS;380483586
IMPASSE;Impasse des Jardins;DES JARDINS;JARDINS;81756920
IMPASSE;Impasse des Métiers;DES METIERS;METIERS;81756571
IMPASSE;Impasse des Roseaux;DES ROSEAUX;ROSEAUX;81756588
IMPASSE;Impasse des Vents;DES VENTS;VENTS;388764504
IMPASSE;Impasse des Vergers;DES VERGERS;VERGERS;81756941
IMPASSE;Impasse du Calvaire;DU CALVAIRE;CALVAIRE;550262595
IMPASSE;Impasse du Champ du Bois;DU CHAMP DU BOIS;BOIS;81756655,662024088
IMPASSE;Impasse du Château d'Eau;DU CHATEAU D EAU;EAU;81756812
IMPASSE;Impasse du Moulin Jacquet;DU MOULIN JACQUET;JACQUET;81756830
IMPASSE;Impasse du Petit Château;DU PETIT CHATEAU;CHATEAU;216924097
IMPASSE;Impasse du Tilleul;DU TILLEUL;TILLEUL;550262591
PLACE;Place de l'Hôtel de Ville;DE L HOTEL DE VILLE;VILLE;232355713
PLACE;Place de l'Église;DE L EGLISE;EGLISE;164059717,232355714
PLACE;Place des Acacias;DES ACACIAS;ACACIAS;550262593
PLACE;Place des Halles;DES HALLES;HALLES;306180269,306185120
ROUTE;Route de Largeasse;DE LARGEASSE;LARGEASSE;585066791
ROUTE;Route de Moncoutant à Bressuire;DE MONCOUTANT A BRESSUIRE;BRESSUIRE;172508569,172508570,616293800,662024105
ROUTE;Route de Parthenay;DE PARTHENAY;PARTHENAY;81756759,605849744,605849745
ROUTE;Route de l'Audonnière;DE L AUDONNIERE;AUDONNIERE;161031027
ROUTE;Route du Stade;DU STADE;STADE;109395750
RUE;Rue Château Gaillard;CHATEAU GAILLARD;GAILLARD;183899001
RUE;Rue Daniel Fradin;DANIEL FRADIN;FRADIN;81756704,466354475
RUE;Rue El Tiemblo;EL TIEMBLO;TIEMBLO;388753394
RUE;Rue Ernest Perochon;ERNEST PEROCHON;PEROCHON;164059695
RUE;Rue Ernest Pérochon;ERNEST PEROCHON;PEROCHON;81756948
RUE;Rue Ferdinand Morin;FERDINAND MORIN;MORIN;81756608,648235296,648235299,662024062
RUE;Rue Georges Brassens;GEORGES BRASSENS;BRASSENS;81756852
RUE;Rue Henri Gourdon;HENRI GOURDON;GOURDON;81756616
RUE;Rue Jean Daguise;JEAN DAGUISE;DAGUISE;81756907
RUE;Rue Jean Moulin;JEAN MOULIN;MOULIN;81756871
RUE;Rue Jeanne d'Arc;JEANNE D ARC;ARC;81756724
RUE;Rue Jules Ferry;JULES FERRY;FERRY;81756685
RUE;Rue Louis Suire;LOUIS SUIRE;SUIRE;173553859
RUE;Rue New Ross;NEW ROSS;ROSS;388753395
RUE;Rue Puichaud Julienne;PUICHAUD JULIENNE;JULIENNE;81756983
RUE;Rue Robert Schuman;ROBERT SCHUMAN;SCHUMAN;388753396
RUE;Rue Saint-Gervais;SAINT GERVAIS;GERVAIS;81756734
RUE;Rue Sainte-Émilie;SAINTE EMILIE;EMILIE;549975469
RUE;Rue Vohenstrauss;VOHENSTRAUSS;VOHENSTRAUSS;388753397,388758016
RUE;Rue de Barbechat;DE BARBECHAT;BARBECHAT;200668179
RUE;Rue de L'Epuchère;DE L EPUCHERE;EPUCHERE;306180267
RUE;Rue de Panama;DE PANAMA;PANAMA;173553860
RUE;Rue de Puits Mary;DE PUITS MARY;MARY;183899032
RUE;Rue de Puy Mary;DE PUY MARY;MARY;549975463
RUE;Rue de Verdun;DE VERDUN;VERDUN;81756607
RUE;Rue de l'Aubenelière;DE L AUBENELIERE;AUBENELIERE;81756593
RUE;Rue de l'Avant-Deux;DE L AVANT DEUX;DEUX;81756943,662024068
RUE;Rue de l'Ormeau;DE L ORMEAU;ORMEAU;597491378
RUE;Rue de l'Ouine;DE L OUINE;OUINE;109733482
RUE;Rue de l'École;DE L ECOLE;ECOLE;109395740
RUE;Rue de l'Église;DE L EGLISE;EGLISE;607411967,607411983
RUE;Rue de la Barillière;DE LA BARILLIERE;BARILLIERE;81756954
RUE;Rue de la Boatière;DE LA BOATIERE;BOATIERE;81756932
RUE;Rue de la Bretonne;DE LA BRETONNE;BRETONNE;306180263
RUE;Rue de la Burelière;DE LA BURELIERE;BURELIERE;183899031
RUE;Rue de la Caillère;DE LA CAILLERE;CAILLERE;81756591
RUE;Rue de la Condaugerie;DE LA CONDAUGERIE;CONDAUGERIE;81756664
RUE;Rue de la Contrie;DE LA CONTRIE;CONTRIE;81756675
RUE;Rue de la Croix;DE LA CROIX;CROIX;109395739
